Genus1974,Family1974
Ispidina,Alcedinidae
Ithaginis,Phasianidae
Ixobrychus,Ardeidae
Ixocincla,Pycnonotidae
Ixoreus,Turdidae
Jabiru,Ciconiidae
Jabouilleia,Timaliidae
Jacamaralcyon,Galbulidae
Jacamerops,Galbulidae
Lophostrix,Strigidae
Junco,Fringillidae
Jynx,Jyngidae
Kalochelidon,Hirundinidae
Kaupifalco,Accipitridae
Kenopia,Timaliidae
Ketupa,Strigidae
Klais,Trochilidae
Knipolegus,Tyrannidae
Kupeornis,Timaliidae
Lacedo,Alcedinidae
Lafresnaya,Trochilidae
Lagonosticta,Ploceidae
Lagopus,Tetraonidae
Lalage,Campephagidae
Lampornis,Trochilidae
Lampribis,Threskiornithidae
Lamprolaima,Trochilidae
Lamprolia,Muscicapidae
Lampropsar,Icteridae
Lamprospiza,Thraupidae
Laniarius,Laniidae
Laniisoma,Cotingidae
Lanio,Thraupidae
Laniocera,Cotingidae
Lanioturdus,Laniidae
Larosterna,Laridae
Larus,Laridae
Laterallus,Rallidae
Lathamus,Psittacidae
Latoucheornis,Fringillidae
Petrochelidon,Hirundinidae
Legatus,Tyrannidae
Leiothrix,Timaliidae
Leipoa,Megapodiidae
Leistes,Icteridae
Leonardina,Timaliidae
Lepidocolaptes,Dendrocolaptidae
Lepidopyga,Trochilidae
Leptasthenura,Furnariidae
Leptodon,Accipitridae
Leptopoecile,Sylviidae
Leptopogon,Tyrannidae
Leptopterus,Vangidae
Leptoptilos,Ciconiidae
Leptosittaca,Psittacidae
Leptosomus,Leptosomatidae
Leptotila,Columbidae
Leptotriccus,Tyrannidae
Lerwa,Phasianidae
Lesbia,Trochilidae
Lessonia,Tyrannidae
Leucippus,Trochilidae
Leucochloris,Trochilidae
Leuconerpes,Picidae
Leucopeza,Parulidae
Leucophaeus,Laridae
Leucopsar,Sturnidae
Leucopternis,Accipitridae
Leucosarcia,Columbidae
Leucosticte,Fringillidae
Leucotreron,Columbidae
Lichmera,Meliphagidae
Limicola,Scolopacidae
Limnocorax,Rallidae
Limnoctites,Furnariidae
Limnothlypis,Parulidae
Limosa,Scolopacidae
Linurgus,Fringillidae
Liocichla,Timaliidae
Lioptilornis,Timaliidae
Lioptilus,Timaliidae
Liosceles,Rhinocryptidae
Lipaugus,Cotingidae
Lissotis,Otididae
Lobibyx,Charadriidae
Lobipes,Phalaropodidae
Lobipluvia,Charadriidae
Loboparadisea,Paradisaeidae
Lochmias,Furnariidae
Locustella,Sylviidae
Loddigesia,Trochilidae
Lonchura,Ploceidae
Lophaetus,Accipitridae
Tockus,Bucerotidae
Lophodytes,Anatidae
Lophoictinia,Accipitridae
Lopholaimus,Columbidae
Lophonetta,Anatidae
Lophophaps,Columbidae
Lophophorus,Phasianidae
Lophorina,Paradisaeidae
Lophornis,Trochilidae
Lophortyx,Phasianidae
Lophospingus,Fringillidae
Lophotibis,Threskiornithidae
Lophotis,Otididae
Lophotriccus,Tyrannidae
Lophozosterops,Zosteropidae
Loria,Paradisaeidae
Loriculus,Psittacidae
Loxia,Fringillidae
Loxigilla,Fringillidae
Psittirostra,Drepanididae
Loxipasser,Fringillidae
Loxops,Drepanididae
Lullula,Alaudidae
Lunda,Alcidae
Lurocalis,Caprimulgidae
Lusciniola,Sylviidae
Lybius,Capitonidae
Lycocorax,Paradisaeidae
Lymnocryptes,Scolopacidae
Lyrurus,Tetraonidae
Lysurus,Fringillidae
Macgregoria,Paradisaeidae
Machaerhamphus,Accipitridae
Machaerirhynchus,Muscicapidae
Machaeropterus,Pipridae
Machetornis,Tyrannidae
Mackenziaena,Formicariidae
Macroagelaius,Icteridae
Macrocephalon,Megapodiidae
Macrodipteryx,Caprimulgidae
Macronectes,Procellariidae
Macronous,Timaliidae
Macronyx,Motacillidae
Macropsalis,Caprimulgidae
Macropygia,Columbidae
Macrosphenus,Sylviidae
Madanga,Zosteropidae
Malaconotus,Laniidae
Malacopteron,Timaliidae
Malacoptila,Bucconidae
Malacorhynchus,Anatidae
Malia,Timaliidae
Malimbus,Ploceidae
Malurus,Sylviidae
Manacus,Pipridae
Mandingoa,Ploceidae
Manorina,Meliphagidae
Manucodia,Paradisaeidae
Margaroperdix,Phasianidae
Margarornis,Furnariidae
Masius,Pipridae
Mecocerculus,Tyrannidae
Megabyas,Muscicapidae
Megaceryle,NA
Megacrex,Rallidae
Megadyptes,Spheniscidae
Megalaima,Capitonidae
Megaloprepia,Columbidae
Megalurulus,Sylviidae
Megalurus,Sylviidae
Megapodius,Megapodiidae
Megarhynchus,Tyrannidae
Megastictus,Formicariidae
Megatriorchis,Accipitridae
Megaxenops,Furnariidae
Meiglyptes,Picidae
Melaenornis,Muscicapidae
Melampitta,Timaliidae
Melanerpes,Picidae
Parus,Paridae
Melanitta,Anatidae
Melanocharis,Dicaeidae
Melanochlora,Paridae
Melanocorypha,Alaudidae
Melanodera,Fringillidae
Petroica,Muscicapidae
Melanopareia,Rhinocryptidae
Melanoperdix,Phasianidae
Melanophoyx,Ardeidae
Melanoploceus,Ploceidae
Melanopteryx,Ploceidae
Melanoptila,Mimidae
Melanospiza,Fringillidae
Melanotis,Mimidae
Melanotrochilus,Trochilidae
Meleagris,Meleagrididae
Meliarchus,Meliphagidae
Melichneutes,Indicatoridae
Melidectes,Meliphagidae
Melidora,Alcedinidae
Melierax,Accipitridae
Melignomon,Indicatoridae
Melilestes,Meliphagidae
Melipotes,Meliphagidae
Melithreptus,Meliphagidae
Melittophagus,Meropidae
Mellisuga,Trochilidae
Melocichla,Sylviidae
Melophus,Fringillidae
Melopsittacus,Psittacidae
Melopyrrha,Fringillidae
Melospiza,Fringillidae
Melozone,Fringillidae
Menura,Menuridae
Merganetta,Anatidae
Mergellus,Anatidae
Mergus,Anatidae
Meropogon,Meropidae
Merops,Meropidae
Platycichla,Turdidae
Merulaxis,Rhinocryptidae
Mesembrinibis,Threskiornithidae
Mesoenas,Mesoenatidae
Mesopicos,Picidae
Metabolus,Muscicapidae
Metallura,Trochilidae
Netta,Anatidae
Metopidius,Jacanidae
Metopothrix,Furnariidae
Metriopelia,Columbidae
Micrastur,Falconidae
Micrathene,Strigidae
Microbates,Sylviidae
Microcerculus,Troglodytidae
Microchera,Trochilidae
Microcochlearius,Tyrannidae
Mycrodynamis,Cuculidae
Microeca,Muscicapidae
Microgoura,Columbidae
Microhierax,Falconidae
Microligea,Parulidae
Micromacronus,Timaliidae
Micromonacha,Bucconidae
Micropalama,Scolopacidae
Micropanyptila,Apodidae
Microparra,Jacanidae
Micropsitta,Psittacidae
Micropternus,Picidae
Micropygia,Rallidae
Microrhopias,Formicariidae
Microstilbon,Trochilidae
Milvago,Falconidae
Milvus,Accipitridae
Turdus,Turdidae
Mimodes,Mimidae
Mimus,Mimidae
Minla,Timaliidae
Mino,Sturnidae
Mionectes,Tyrannidae
Mitrephanes,Tyrannidae
Mitrospingus,Thraupidae
Mniotilta,Parulidae
Modulatrix,Turdidae
Moho,Meliphagidae
Mohoua,Sylviidae
Molothrus,Icteridae
Momotus,Momotidae
Monachella,Muscicapidae
Monarcha,Muscicapidae
Monasa,Bucconidae
Monticola,Turdidae
Montifringilla,Ploceidae
Morococcyx,Cuculidae
Morphnus,Accipitridae
Morus,Sulidae
Motacilla,Motacillidae
Moupinia,Timaliidae
Mulleripicus,Picidae
Muscicapa,Muscicapidae
Muscicapelli,Muscicapidae
Muscigralla,Tyrannidae
Muscipipra,Tyrannidae
Muscisaxicola,Tyrannidae
Muscivora,Tyrannidae
Musophaga,Musophagidae
Myadestes,Turdidae
Mycteria,Ciconiidae
Myiagra,Muscicapidae
Myiarchus,Tyrannidae
Myiobius,Tyrannidae
Myioborus,Parulidae
Myioceyx,Alcedinidae
Myiodynastes,Tyrannidae
Myiolestes,NA
Myiopagis,Tyrannidae
Myioparus,Muscicapidae
Myiopsitta,Psittacidae
Myiornis,Tyrannidae
Myiotheretes,Tyrannidae
Myiotriccus,Tyrannidae
Myiozetetes,Tyrannidae
Myophonus,Turdidae
Myopornis,Muscicapidae
Myornis,Rhinocryptidae
Myospiza,Fringillidae
Myrmeciza,Formicariidae
Myrmecocichla,Turdidae
Myrmia,Trochilidae
Myrmoborus,Formicariidae
Myrmochanes,Formicariidae
Myrmorchilus,Formicariidae
Myrmornis,Formicariidae
Myrmothera,Formicariidae
Myrmotherula,Formicariidae
Myrtis,Trochilidae
Mystacornis,Timaliidae
Myza,Meliphagidae
Myzantha,Meliphagidae
Myzornis,Timaliidae
Namibornis,Muscicapidae
Nandayus,Psittacidae
Nannopsittaca,Psittacidae
Nannopterum,Phalacrocoracidae
Napothera,Timaliidae
Nasica,Dendrocolaptidae
Necrosyrtes,Accipitridae
Neiothraupis,Thraupidae
Neisna,Ploceidae
Ploceus,Ploceidae
Nemosia,Thraupidae
Neochelidon,Hirundinidae
Neochen,Anatidae
Neochloe,Vireonidae
Neochmia,Ploceidae
Neocichla,Sturnidae
Neocossyphus,Turdidae
Neocrex,Rallidae
Neoctantes,Formicariidae
Neodrepanis,Philepittidae
Polihierax,Falconidae
Neolestes,Pycnonotidae
Neomixis,Timaliidae
Neomorphus,Cuculidae
Neopelma,Pipridae
Neophema,Psittacidae
Neophron,Accipitridae
Neopipo,Pipridae
Neopsittacus,Psittacidae
Neositta,Neosittidae
Neospiza,Fringillidae
Neotis,Otididae
Neoxolmis,Tyrannidae
Nesasio,Strigidae
Nesillas,Sylviidae
Nesocharis,Ploceidae
Nesocichla,Turdidae
Nesoclopeus,Rallidae
Nesoctites,Picidae
Nesofregetta,Hydrobatidae
Nesomimus,Mimidae
Nesonetta,NA
Nesopelia,Columbidae
Nesophylax,Rallidae
Nesopsar,Icteridae
Nesospingus,Thraupidae
Nesospiza,Fringillidae
Nesotriccus,Tyrannidae
Nestor,Psittacidae
Nettapus,Anatidae
Newtonia,Muscicapidae
Nicator,Laniidae
Nigrita,Ploceidae
Nilaus,Laniidae
Niltalva,Muscicapidae
Ninox,Strigidae
Nipponia,Threskiornithidae
Nonnula,Bucconidae
Psephotus,Psittacidae
Notharchus,Bucconidae
Nothocercus,Tinamidae
Nothocrax,Cracidae
Nothoprocta,Tinamidae
Nothura,Tinamidae
Notiochelidon,Hirundinidae
Notiomystis,Meliphagidae
Notiospiza,Ploceidae
Notornis,Rallidae
Nucifraga,Corvidae
Numenius,Scolopacidae
Numida,Numididae
Nuttallornis,Tyrannidae
Nyctanassa,Ardeidae
Nyctea,Strigidae
Nyctibius,Nyctibiidae
Nycticryphes,Rostratulidae
Nyctidromus,Caprimulgidae
Nyctiphrynus,Caprimulgidae
Nyctiprogne,Caprimulgidae
Nyctyornis,Meropidae
Nymphicus,Psittacidae
Nystalus,Bucconidae
Oceanites,Hydrobatidae
Oceanodroma,Hydrobatidae
Upucerthia,Furnariidae
Ochthoeca,Tyrannidae
Ochthornis,Tyrannidae
Ocreatus,Trochilidae
Oculocincta,Zosteropidae
Ocyalus,Icteridae
Ocyphaps,Columbidae
Odontophorus,Phasianidae
Odontorchilus,Troglodytidae
Toxorhamphus,Meliphagidae
Oena,Columbidae
Oenanthe,Turdidae
Ognorhynchus,Psittacidae
Tesia,Sylviidae
Oncostoma,Tyrannidae
Onychognathus,Sturnidae
Onychorhynchus,Tyrannidae
Ophrysia,Phasianidae
Opisthocomus,Opisthocomidae
Opisthoprora,Trochilidae
Opopsitta,Psittacidae
Oporornis,Parulidae
Oroaetus,Accipitridae
Orchesticus,Thraupidae
Oreocharis,Dicaeidae
Oreocincla,Turdidae
Oreoica,Muscicapidae
Oreomanes,Coerebidae
Oreonympha,Trochilidae
Oreophasis,Cracidae
Oreopholus,Charadriidae
Oreophylax,Furnariidae
Oreopsar,Icteridae
Oreopsittacus,Psittacidae
Oreornis,Meliphagidae
Oreortyx,Phasianidae
Oreoscoptes,Mimidae
Oreoscopus,Sylviidae
Oreostruthus,Ploceidae
Oreothraupis,Fringillidae
Oreotriccus,Tyrannidae
Oreotrochilus,Trochilidae
Origma,Sylviidae
Oriolia,Vangidae
Oriolus,Oriolidae
Oriturus,Fringillidae
Ornithion,Tyrannidae
Ortalis,Cracidae
Orthogonys,Thraupidae
Orthonyx,Timaliidae
Orthorhyncus,Trochilidae
Orthotomus,Sylviidae
Ortygospiza,Ploceidae
Rallus,Rallidae
Ortyxelos,Turnicidae
Oryzoborus,Fringillidae
Othyphantes,Ploceidae
Otidiphaps,Columbidae
Otis,Otididae
Otophanes,Caprimulgidae
Oxylabes,Timaliidae
Oxypogon,Trochilidae
Oxyruncus,Oxyruncidae
Oxyura,Anatidae
Pachycare,Muscicapidae
Pachycephala,Muscicapidae
Pachycephalopsis,Muscicapidae
Pachycoccyx,Cuculidae
Pachyphantes,Ploceidae
Pachyptila,Procellariidae
Pachyramphus,Cotingidae
Padda,Ploceidae
Pagodroma,Procellariidae
Pagophila,Laridae
Palmeria,Drepanididae
Pandion,Pandionidae
Panterpe,Trochilidae
Panurus,Paradoxornithidae
Panyptila,Apodidae
Paphosia,Trochilidae
Parabuteo,Accipitridae
Paradigalla,Paradisaeidae
Paradisaea,Paradisaeidae
Paradoxornis,Paradoxornithidae
Paramythia,Dicaeidae
Pardalotus,Dicaeidae
Pareudiastes,Rallidae
Parisoma,Sylviidae
Parmoptila,Ploceidae
Paroaria,Fringillidae
Parophasma,Muscicapidae
Parotia,Paradisaeidae
Parula,Parulidae
Passer,Ploceidae
Passerculus,Fringillidae
Passerella,Fringillidae
Passerina,Fringillidae
Patagona,Trochilidae
Pavo,Phasianidae
Pedilorhynchus,Muscicapidae
Pedioecetes,Tetraonidae
Pedionomus,Pedionomidae
Pelagodroma,Hydrobatidae
Pelargopsis,Alcedinidae
Pelecanoides,Pelecanoididae
Pelecanus,Pelecanidae
Pellorneum,Timaliidae
Peltohyas,Glareolidae
Peltops,Muscicapidae
Penelope,Cracidae
Penelopides,Bucerotidae
Penelopina,Cracidae
Poecilodryas,Muscicapidae
Peneothello,Muscicapidae
Pentholaea,Turdidae
Percnostola,Formicariidae
Perdix,Phasianidae
Pericrocotus,Campephagidae
Periporphyrus,Fringillidae
Perisoreus,Corvidae
Perissocephalus,Cotingidae
Pernis,Accipitridae
Petronia,Ploceidae
Petrophassa,Columbidae
Peucedramus,Parulidae
Pezites,Icteridae
Pezopetes,Fringillidae
Pezoporus,Psittacidae
Phacellodomus,Furnariidae
Phaenicophilus,Thraupidae
Phaenostictus,Formicariidae
Phaeochroa,Trochilidae
Phaeomyias,Tyrannidae
Phaeoprogne,Hirundinidae
Phaeornis,Turdidae
Phaeotriccus,Tyrannidae
Phaethon,Phaethontidae
Phaethornis,Trochilidae
Phaetusa,Laridae
Phainopepla,Ptilogonatidae
Phainoptila,Ptilogonatidae
Phalaenoptilus,Caprimulgidae
Phalaropus,Phalaropodidae
Phalcoboenus,Falconidae
Phapitreron,Columbidae
Phaps,Columbidae
Pharomachrus,Trogonidae
Phasianus,Phasianidae
Phasidus,Numididae
Phegornis,Charadriidae
Pheucticus,Fringillidae
Phibalura,Cotingidae
Phigys,Psittacidae
Philacte,Anatidae
Philemon,Meliphagidae
Philentoma,Muscicapidae
Philepitta,Philepittidae
Philetairus,Ploceidae
Philodice,Trochilidae
Philohela,Scolopacidae
Philomachus,Scolopacidae
Philortyx,Phasianidae
Philydor,Furnariidae
Phimosus,Threskiornithidae
Phlegopsis,Formicariidae
Phloeoceastes,Picidae
Phleocryptes,Furnariidae
Phlogophilus,Trochilidae
Phlogothraupis,Thraupidae
Phodilus,Tytonidae
Phoebetria,Diomedeidae
Phoenicircus,Cotingidae
Phoeniconaias,Phoenicopteridae
Phoenicoparrus,Phoenicopteridae
Phoenicopterus,Phoenicopteridae
Phoeniculus,Phoeniculidae
Phoenicurus,Turdidae
Pholidornis,Hyliadae
Phonygammus,Paradisaeidae
Phormoplectes,Ploceidae
Phragmaticola,Sylviidae
Phrygilus,Fringillidae
Phylidonyris,Meliphagidae
Phyllanthus,Timaliidae
Phyllastrephus,Pycnonotidae
Phyllolais,Sylviidae
Phyllomyias,Tyrannidae
Phylloscartes,Tyrannidae
Phylloscopus,Sylviidae
Phytotoma,Phytotomidae
Piaya,Cuculidae
Pica,Corvidae
Picathartes,Sturnidae
Picoides,Picidae
Piculus,Picidae
Picumnus,Picidae
Picus,Picidae
Piezorhina,Fringillidae
Piezorhynchus,Muscicapidae
Pilherodius,Ardeidae
Pinaroloxias,Fringillidae
Pinarornis,Turdidae
Pinicola,Fringillidae
Pionites,Psittacidae
Pionopsitta,Psittacidae
Pionus,Psittacidae
Pipilo,Fringillidae
Pipra,Pipridae
Pipraeidea,Thraupidae
Pipreola,Cotingidae
Piprites,Pipridae
Pipromorpha,Tyrannidae
Piranga,Thraupidae
Pirenestes,Ploceidae
Pitangus,Tyrannidae
Pithecophaga,Accipitridae
Pithys,Formicariidae
Pitohui,Muscicapidae
Pitta,Pittidae
Pittasoma,Formicariidae
Pitylus,Fringillidae
Pityriasis,Sturnidae
Platalea,Threskiornithidae
Platycercus,Psittacidae
Platylophus,Corvidae
Platypsaris,Cotingidae
Platyrinchus,Tyrannidae
Platysmurus,Corvidae
Platysteira,Muscicapidae
Plectorhyncha,Meliphagidae
Plectrophenax,Fringillidae
Plectropterus,Anatidae
Plegadis,Threskiornithidae
Plocepasser,Ploceidae
Pluvialis,Charadriidae
Pluvianellus,Charadriidae
Pluvianus,Glareolidae
Pnoepyga,Timaliidae
Podager,Caprimulgidae
Podargus,Podargidae
Podica,Heliornithidae
Podiceps,Podicipedidae
Podilymbus,Podicipedidae
Podeces,Corvidae
Poecilotriccus,Tyrannidae
Poecilurus,Furnariidae
Poeoptera,Sturnidae
Poephila,Ploceidae
Pogoniulus,Capitonidae
Pogonocichla,Turdidae
Pogonotriccus,Tyrannidae
Poicephalus,Psittacidae
Poleamaetus,Accipitridae
Poliolais,Sylviidae
Porzana,Rallidae
Polioptila,Sylviidae
Polyboroides,Accipitridae
Polyborus,Falconidae
Polyonymus,Trochilidae
Polyplancta,Trochilidae
Polyplectron,Phasianidae
Polysticta,Anatidae
Polystictus,Tyrannidae
Polytelis,Psittacidae
Polytmus,Trochilidae
Pomareopsis,Grallinidae
Pomatorhinus,Timaliidae
Pooecetes,Fringillidae
Poospiza,Fringillidae
Popelairia,Trochilidae
Porphyrio,Rallidae
Porphyriops,Rallidae
Porphyriornis,Rallidae
Porphyrolaema,Cotingidae
Porphyrospiza,Fringillidae
Porphyrula,Rallidae
Premnoplex,Furnariidae
Premnornis,Furnariidae
Prioniturus,Psittacidae
Prionodura,Ptilonorhynchidae
Prionops,Prionopidae
Priotelus,Trogonidae
Probosciger,Psittacidae
Procellaria,Procellariidae
Procelsterna,Laridae
Procnias,Cotingidae
Prodotiscus,Indicatoridae
Progne,Hirundinidae
Promerops,Meliphagidae
Prosopeia,Psittacidae
Prosthemadera,Meliphagidae
Protonotaria,Parulidae
Prunella,Prunellidae:
Psalidoprocne,Hirundinidae
Psaltria,Paridae
Psaltriparus,Paridae
Psammathia,Sylviidae
Psarisonus,Eurylaimidae
Psarocolius,Icteridae
Pselliophorus,Fringillidae
Pseudalaemon,Alaudidae
Pseudattila,Cotingidae
Pseudeos,Psittacidae
Pseudibis,Threskiornithidae
Pseudoalcippe,Timaliidae
Pseudobias,Muscicapidae
Pseudocalyptomena,Eurylaimidae
Pseudochelidon,Hirundinidae
Pseudocolaptes,Furnariidae
Pseudocolopteryx,Tyrannidae
Pseudocossyphus,Turdidae
Pseudodacnis,Thraupidae
Pseudoleistes,Icteridae
Pseudonestor,Drepanididae
Pseudonigrita,Ploceidae
Pseudoscops,Strigidae
Pseudoseisura,Furnariidae
Tringa,Scolopacidae
Pseudotriccus,Tyrannidae
Psilopogon,Capitonidae
Psilorhamphus,Rhinocryptidae
Psilorhinus,Corvidae
Psittacella,Psittacidae
Psittacula,Psittacidae
Psittaculirostris,Psittacidae
Psittacus,Psittacidae
Psittinus,Psittacidae
Psittrichas,Psittacidae
Psophia,Psophiidae
Zoothera,Turdidae
Psophodes,Timaliidae
Pteridophora,Paradisaeidae
Pternistis,Phasianidae
Pterocnemia,Rheidae
Pterodroma,Procellariidae
Pteroglossus,Ramphastidae
Pteronetta,Anatidae
Pterophanes,Trochilidae
Pteropodocys,Campephagidae
Pteroptochos,Rhinocryptidae
Pteruthius,Timaliidae
Ptilocichla,Timaliidae
Ptilogonys,Ptilogonatidae
Ptilolaemus,Bucerotidae
Ptilonorhynchus,Ptilonorhynchidae
Ptilopachus,Phasianidae
Ptiloprora,Meliphagidae
Ptiloris,Paradisaeidae
Ptilostomus,Corvidae
Ptochoptera,Trochilidae
Ptychoramphus,Alcidae
Ptyrticus,Timaliidae
Pucrasia,Phasianidae
Pulsatrix,Strigidae
Purpureicephalus,Psittacidae
Pycnoptilus,Sylviidae
Pycnopygius,Meliphagidae
Pygarrhichas,Furnariidae
Pygiptila,Formicariidae
Pyriglena,Formicariidae
Pyrocephalus,Tyrannidae
Pyroderus,Cotingidae
Pyrope,Tyrannidae
Pyrrhocoma,Thraupidae
Pyrrhocorax,Corvidae
Pyrrholaemus,Sylviidae
Pyrrhomyias,Tyrannidae
Pyrrhoplectes,Fringillidae
Pyrrhula,Fringillidae
Pyrrhuloxia,Fringillidae
Pyrrhuphonia,Thraupidae
Pyrrhura,Psittacidae
Pyrrhurus,Pycnonotidae
Pytilia,Ploceidae
Pytonoprogne,Hirundinidae
Quelea,Ploceidae
Querula,Cotingidae
Quiscalus,Icteridae
Rallicula,Rallidae
Rallina,Rallidae
Ramphastos,Ramphastidae
Ramphocaenus,Sylviidae
Ramphocelus,Thraupidae
Rhamphocharis,Dicaeidae
Ramphocinclus,Mimidae
Ramphocoris,Alaudidae
Ramphodon,Trochilidae
Ramphomicron,Trochilidae
Ramphotrigon,Tyrannidae
Randia,Sylviidae
Recurvirostra,Recurvirostridae
Regulus,Sylviidae
Reinarda,Apodidae
Remiz,Paridae
Rhabdornis,Neosittidae
Rhagologus,Muscicapidae
Rhamphococcyx,Cuculidae
Rhamphomantis,Cuculidae
Rhea,Rheidae
Rhegmatorhina,Formicariidae
Rheinardia,Phasianidae
Rhinocrypta,Rhinocryptidae
Rhinomyias,Muscicapidae
Rhinoplax,Bucerotidae
Rhinopomastus,Phoeniculidae
Rhinoptynx,Strigidae
Rhipidura,Muscicapidae
Rhizothera,Phasianidae
Rhodinocichla,Thraupidae
Rhodopis,Trochilidae
Rhodospingus,Fringillidae
Rhodostethia,Laridae
Rhodothraupis,Fringillidae
Rhopocichla,Timaliidae
Rhopodytes,Cuculidae
Rhynchostruthus,Fringillidae
Rhopophilus,Sylviidae
Rhopornis,Formicariidae
Rhyacornis,Turdidae
Rhynchocyclus,Tyrannidae
Rhynchophanes,Fringillidae
Rhynchopsitta,Psittacidae
Rhynchortyx,Phasianidae
Rhynchospiza,Fringillidae
Rhynchotus,Tinamidae
Rhynochetos,Rhynochetidae
Rhyticeros,Bucerotidae
Rhytipterna,Cotingidae
Ridgwayia,Turdidae
Rimator,Timaliidae
Riparia,Hirundinidae
Rissa,Laridae
Rollulus,Phasianidae
Roraimia,Furnariidae
Rostratula,Rostratulidae
Rostrhamus,Accipitridae
Rougetius,Rallidae
Rowettia,Fringillidae
Rukia,Zosteropidae
Rupicola,Cotingidae
Ruwenzorornis,Musophagidae
Rynchops,Rynchopidae
Sagittarius,Sagittariidae
Sakesphorus,Formicariidae
Salpinctes,Troglodytidae
Salpornis,Certhiidae
Saltator,Fringillidae
Saltatricula,Fringillidae
Salvadorina,Anatidae
Sapayoa,Pipridae
Sapheopico,Picidae
Sappho,Trochilidae
Sarciophorus,Charadriidae
Sarcogyps,Accipitridae
Sarcops,Sturnidae
Sarcoramphus,Cathartidae
Sarkidiornis,Anatidae
Saroglossa,Sturnidae
Sarothrura,Rallidae
Sasia,Picidae
Satrapa,Tyrannidae
Saurothera,Cuculidae
Saxicola,Turdidae
Saxicoloides,Turdidae
Sayornis,Tyrannidae
Scaphidura,Icteridae
Scardafella,Columbidae
Sceloglaux,Strigidae
Scelorchilus,Rhinocryptidae
Scenopoeetes,Ptilonorhynchidae
Schetba,Vangidae
Schiffornis,Pipridae
Schistes,Trochilidae
Schistoclamys,Thraupidae
Schizoeaca,Furnariidae
Schoenicola,Sylviidae
Schoeniophylax,Furnariidae
Scisserostrum,Sturnidae
Sclerurus,Furnariidae
Scolopax,Scolopacidae
Scoptelus,Phoeniculidae
Scopus,Scopidae
Scotocerca,Sylviidae
Scotopelia,Strigidae
Scotornis,Caprimulgidae
Scytalopus,Rhinocryptidae
Scythrops,Cuculidae
Seicercus,Sylviidae
Seisura,Muscicapidae
Seiurus,Parulidae
Selasphorus,Trochilidae
Selenidera,Ramphastidae
Seleucidis,Paradisaeidae
Semeiophorus,Caprimulgidae
Semioptera,Paradisaeidae
Semnornis,Capitonidae
Sephanoides,Trochilidae
Sericornis,Sylviidae
Sericossypha,Thraupidae
Sericotes,Trochilidae
Xanthomelus,Ptilonorhynchidae
Serilophus,Eurylaimidae
Serpophaga,Tyrannidae
Setophaga,Parulidae
Setornis,Pycnonotidae
Sheppardia,Turdidae
Sialia,Turdidae
Sicalis,Fringillidae
Sigelus,Muscicapidae
Sigmodus,Prionopidae
Simoxenops,Furnariidae
Sipia,Formicariidae
Siptornis,Furnariidae
Siptornopsis,Furnariidae
Sirystes,Tyrannidae
Sitagra,Ploceidae
Sitta,Sittidae
Sittasomus,Dendrocolaptidae
Smaragdolanius,Vireolaniidae
Smicrornis,Sylviidae
Smithornis,Eurylaimidae
Snethlagea,Tyrannidae
Somateria,Anatidae
Sorella,Ploceidae
Spartonoica,Furnariidae
Spreo,Sturnidae
Speirops,Zosteropidae
Spelaeornis,Timaliidae
Speotyto,Strigidae
Spermophaga,Ploceidae
Sphecotheres,Oriolidae
Spheniscus,Spheniscidae
Sphenocichla,Timaliidae
Sphenoeacus,Sylviidae
Sphenorhynchus,Ciconiidae
Sphenostoma,Timaliidae
Sphyrapicus,Picidae
Spiloptila,Sylviidae
Spilornis,Accipitridae
Spindalis,Thraupidae
Spinus,Fringillidae
Spiza,Fringillidae
Spizastur,Accipitridae
Spizella,Fringillidae
Spiziapteryx,Falconidae
Spizixos,Pycnonotidae
Spizocorys,Alaudidae
Sporophila,Fringillidae
Sporopipes,Ploceidae
Stachyris,Timaliidae
Starnoenas,Columbidae
Steatornis,Steatornithidae
Steganopus,Phalaropodidae
Steganura,Ploceidae
Stelgidopteryx,Hirundinidae
Stellula,Trochilidae
Stenostira,Muscicapidae
Stephanibyx,Charadriidae
Stephanoaetus,Accipitridae
Stephanophorus,Thraupidae
Stephanoxis,Trochilidae
Stercorarius,Stercorariidae
Sterna,Laridae
Sternoclyta,Trochilidae
Stictonetta,Anatidae
Stigmatura,Tyrannidae
Stiltia,Glareolidae
Stipiturus,Sylviidae
Stizoptera,Ploceidae
Stizorhina,Muscicapidae
Stomiopera,Meliphagidae
Strepera,Cracticidae
Streptocitta,Sturnidae
Streptopelia,Columbidae
Streptoprocne,Apodidae
Strigops,Psittacidae
Strix,Strigidae
Struthidea,Grallinidae
Struthio,Struthionidae
Sturnella,Icteridae
Sturnus,Sturnidae
Sublegatus,Tyrannidae
Suiriri,Tyrannidae
Sula,Sulidae
Surnia,Strigidae
Surniculus,Cuculidae
Sylvia,Sylviidae
Sylvietta,Sylviidae
Sylviorthorhyncus,Furnariidae
Sylviparus,Paridae
Symplectes,Ploceidae
Synallaxis,Furnariidae
Syndactyla,Furnariidae
Synoicus,Phasianidae
Synthliboramphus,Alcidae
Sypheotides,Otididae
Syrigma,Ardeidae
Syrmaticus,Phasianidae
Syrrhaptes,Pteroclidae
Taccocua,Cuculidae
Tachornis,Apodidae
Tachuris,Tyrannidae
Tachycineta,Hirundinidae
Tachyeres,Anatidae
