Genus1974,Family1974
Bowdleria,Sylviidae
Brachygalba,Galbulidae
Brachypteracias,Coraciidae
Brachypteryx,Turdidae
Brachycope,Ploceidae
Brachyramphus,Alcidae
Bradornis,Muscicapidae
Bradypterus,Sylviidae
Branta,Anatidae
Brotogeris,Psittacidae
Bubo,Strigidae
Bubulcus,Ardeidae
Bubalornis,Ploceidae
Rhodopechys,Fringillidae
Buccanodon,Capitonidae
Bucco,Bucconidae
Bucephala,Anatidae
Buceros,Bucerotidae
Bucorvus,Bucerotidae
Bugeranus,Gruidae
Bulweria,Procellariidae
Buphagus,Sturnidae
Burhinus,Burhinidae
Prinia,Sylviidae
Busarellus,Accipitridae
Butastur,Accipitridae
Buteogallus,Accipitridae
Buthraupis,Thraupidae
Butorides,Ardeidae
Treron,Columbidae
Bycanistes,Bucerotidae
Cacatua,Psittacidae
Cacicus,Icteridae
Cacomantis,Cuculidae
Calamanthus,Sylviidae
Calamocichla,Sylviidae
Calamoector,Sylviidae
Calamonastes,Sylviidae
Calamonastides,Sylviidae
Calamospiza,Fringillidae
Calandrella,Alaudidae
Calcarius,Fringillidae
Calendula,Alaudidae
Nycticorax,Ardeidae
Calicalicus,Vangidae
Calidris,Scolopacidae
Caliechthrus,Cuculidae
Callacanthis,Fringillidae
Callaeas,Callaeidae
Callichelidon,Hirundinidae
Calliphax,Trochilidae
Calliphlox,Trochilidae
Callipepla,Phasianidae
Callocephalon,Psittacidae
Calocitta,Corvidae
Calochaetes,Thraupidae
Caloenas,Columbidae
Puffinus,Procellariidae
Calorhamphus,Capitonidae
Caloperdix,Phasianidae
Calothorax,Trochilidae
Calypte,Trochilidae
Calyptocichla,Pycnonotidae
Calyptomena,Eurylaimidae
Calyptophilus,Thraupidae
Calyptorhynchus,Psittacidae
Calyptura,Cotingidae
Camarhynchus,Fringillidae
Camaroptera,Sylviidae
Campephaga,Campephagidae
Campephilus,Picidae
Campethera,Picidae
Camphochaera,Campephagidae
Camptostoma,Tyrannidae
Campylopterus,Trochilidae
Campylorhamphus,Dendrocolaptidae
Campylorhynchus,Troglodytidae
Canachites,Tetraonidae
Canirallus,Rallidae
Capella,Scolopacidae
Capito,Capitonidae
Caprimulgus,Caprimulgidae
Capsiempis,Tyrannidae
Cardellina,Parulidae
Cardinalis,Fringillidae
Carduelis,Fringillidae
Cariama,Cariamidae
Threskiornis,Threskiornithidae
Carpococcyx,Cuculidae
Carpodacus,Fringillidae
Carpodectes,Cotingidae
Carpornis,Cotingidae
Carpospiza,Ploceidae
Caryothraustes,Fringillidae
Tadorna,Anatidae
Casiornis,Cotingidae
Casmerodius,Ardeidae
Cassiculus,Icteridae
Cassidix,Icteridae
Spizaetus,Accipitridae
Casuarius,Casuariidae
Catamblyrhynchus,Catamblyrhynchidae
Catamenia,Fringillidae
Cataponera,Turdidae
Catharacta,Stercorariidae
Catharopeza,Parulidae
Cathartes,Cathartidae
Catharus,Turdidae
Catherpes,Troglodytidae
Catoptrophorus,Scolopacidae
Catreus,Phasianidae
Hirundo,Hirundinidae
Celeus,Picidae
Cephalopterus,Cotingidae
Cephalopyrus,Paridae
Cepphus,Alcidae
Centrocercus,Tetraonidae
Centropelma,Podicipedidae
Centropus,Cuculidae
Centurus,Picidae
Ceratogymna,Bucerotidae
Ceratotriccus,Tyrannidae
Cercibis,Threskiornithidae
Cercococcyx,Cuculidae
Cercomacra,Formicariidae
Cercomela,Turdidae
Cereopsis,Anatidae
Cerorhinca,Alcidae
Certhia,Certhidae
