"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974","Genus2023","Genus1974"
"296","Branta canadensis","Canada Goose","t’aawák","Anatidae","Anseriformes",50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,"Branta canadensis","Branta canadensis","Canada Goose","Anatidae","Tlingit",103,"Anseriformes","Branta","Branta"
"297","Chordeiles minor","Common Nighthawk","yaanashgeigí","Caprimulgidae","Caprimulgiformes",12.7,6.1,3.3,2.7,16.7,192.8,118.7,76.6,60.7,104,79.3,"Chordeiles minor","Chordeiles minor","Common Nighthawk","Caprimulgidae","Tlingit",104,"Caprimulgiformes","Chordeiles","Chordeiles"
"298","Junco hyemalis","Dark-eyed Junco","t’áat’","Passerellidae","Passeriformes",11.6,7.8,4.5,5.3,21.1,75.2,16.4,58.6,21.9,63.8,19.5,"Junco hyemalis","Junco hyemalis","Northern Junco","Fringillidae","Tlingit",105,"Passeriformes","Junco","Junco"
"299","Catharus minimus","Gray-cheeked Thrush","ts’ats’ée tlein","Turdidae","Passeriformes",16.4,9.2,4.5,4,30,100.8,30.7,68.9,30.8,69.2,31.6,"Catharus minimus","Catharus minimus","Gray-cheeked Thrush","Turdidae","Tlingit",106,"Passeriformes","Catharus","Catharus"
"300","Bubo virginianus","Great Horned Owl","tsísk’w","Strigidae","Strigiformes",42.2,22.5,14.9,22.8,70.1,351.7,112.9,240.9,32,188.4,1354.5,"Bubo virginianus","Bubo virginianus","Great Horned Owl","Strigidae","Tlingit",107,"Strigiformes","Bubo","Bubo"
"301","Brachyramphus marmoratus","Marbled Murrelet","káax","Alcidae","Charadriiformes",24.9,14.4,4.1,5.8,15.2,123.5,72.2,51.2,58.4,31,220,"Brachyramphus marmoratus","Brachyramphus marmoratus","Marbled Murrelet","Alcidae","Tlingit",108,"Charadriiformes","Brachyramphus","Brachyramphus"
"302","Zenaida macroura","Mourning Dove","gus’yá kindachooneidí","Columbidae","Columbiformes",19.6,9.3,2.7,3.4,19.6,144.4,53.1,91.6,36.6,122.2,118.9,"Zenaida macroura","Zenaida macroura","Mourning Dove","Columbidae","Tlingit",109,"Columbiformes","Zenaida","Zenaida"
"303","Colaptes auratus","Northern Flicker","kóon","Picidae","Piciformes",40.2,29.4,8.5,7.9,28.7,156.9,38.3,119.2,24.3,109.5,131.5,"Colaptes auratus","Colaptes auratus","Common Flicker","Picidae","Tlingit",110,"Piciformes","Colaptes","Colaptes"
"304","Accipiter striatus","Sharp-shinned Hawk","k’ákw","Accipitridae","Accipitriformes",18.3,10.1,7.3,9.4,49.9,181.6,56.6,126.8,30.7,134.3,130.6,"Accipiter striatus","Accipiter striatus","Sharp-shinned Hawk","Accipitridae","Tlingit",111,"Falconiformes","Accipiter","Accipiter"
"305","Melanitta deglandi","White-winged Scoter","wakkals’óox’ gáaxw","Anatidae","Anseriformes",46.8,28.9,27.2,14.7,42.8,270,134.5,135.5,49.8,76.5,1800.2,"Melanitta fusca","Melanitta deglandi","White-winged Scoter","Anatidae","Tlingit",112,"Anseriformes","Melanitta","Melanitta"
"306","Lagopus lagopus","Willow Ptarmigan","x’eis’awáa","Phasianidae","Galliformes",22.8,11.5,9.1,10.8,35.6,195.6,75.7,118.3,39,108.8,566.9,"Lagopus lagopus","Lagopus lagopus","Willow Ptarmigan","Tetraonidae","Tlingit",113,"Galliformes","Lagopus","Lagopus"
"307","Patagioenas fasciata","Band-tailed Pigeon","gus’yá kindachooneidí","Columbidae","Columbiformes",25.5,15.1,6,6.1,26.5,205.4,73.8,131.3,36,141.5,366.3,"Patagioenas fasciata","Columba fasciata","Band-tailed Pigeon","Columbidae","Tlingit",114,"Columbiformes","Patagioenas","Columba"
"308","Pica hudsonia","Black-billed Magpie","ts’eigeenéi","Corvidae","Passeriformes",38.6,24.7,11.1,12.9,47.7,202.8,49.6,152.1,24.6,262,177.1,"Pica pica","Pica pica","Black-billed Magpie","Corvidae","Tlingit",115,"Passeriformes","Pica","Pica"
"309","Setophaga petechia","Yellow Warbler","asx’aansháach’i","Parulidae","Passeriformes",11.7,8,3.4,3.2,20,60.2,14.1,45.7,23.6,43.3,10.2,"Dendroica petechia","Dendroica petechia","Yellow Warbler","Parulidae","Tlingit",116,"Passeriformes","Setophaga","Dendroica"
"310","Picoides dorsalis","American Three-toed Woodpecker","gandaadagóogu","Picidae","Piciformes",26.9,22.7,8.6,6.8,19.3,118.2,34.1,87.4,28,77.8,65.5,"Picoides dorsalis","Picoides tridactylus","Northern Three-toed Woodpecker","Picidae","Tlingit",117,"Piciformes","Picoides","Picoides"
"311","Branta hutchinsii","Cackling Goose","t’aawák","Anatidae","Anseriformes",42.1,20.9,17.1,12.3,71,396.3,176.6,219.7,44.5,120.7,2811.7,"Branta hutchinsii","Branta canadensis","Canada Goose","Anatidae","Tlingit",118,"Anseriformes","Branta","Branta"
"312","Hydrobates leucorhous","Leach's Storm-Petrel","ganook","Hydrobatidae","Procellariiformes",17.8,10.6,3.1,4.5,23.1,150.4,88.2,62,58.8,75.4,36.7,"Oceanodroma leucorhoa","Oceanodroma leucorhoa","Leach's Storm Petrel","Hydrobatidae","Tlingit",119,"Procellariiformes ","Hydrobates","Oceanodroma"
"313","Larus brachyrhynchus","Short-billed Gull","kootl’éet’aa","Laridae","Charadriiformes",47.8,16.6,5.5,10.1,49.4,351,206.2,145.9,58.6,133.8,412.5,"Larus canus","Larus canus","Mew Gull","Laridae","Tlingit",120,"Charadriiformes","Larus","Larus"
"314","Accipiter atricapillus","American Goshawk","k’ákw","Accipitridae","Accipitriformes",33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866,"Accipiter gentilis","Accipiter gentilis","Goshawk","Accipitridae","Tlingit",121,"Falconiformes","Accipiter","Accipiter"
"315","Circus hudsonius","Northern Harrier","k’ákw","Accipitridae","Accipitriformes",31.1,17.2,10.1,13.2,82,360.9,161.1,199.8,44.7,212.9,393,"Circus cyaneus","Circus cyaneus","Marsh Hawk","Accipitridae","Tlingit",122,"Falconiformes","Circus","Circus"
"316","Stelgidopteryx serripennis","Northern Rough-winged Swallow","séewkooshdaneit","Hirundinidae","Passeriformes",10.4,4.8,3.4,2.5,11.1,107.2,54.7,53.1,50.7,47.6,15.7,"Stelgidopteryx serripennis","Stelgidopteryx ruficollis","Rough-winged Swallow","Hirundinidae","Tlingit",123,"Passeriformes","Stelgidopteryx","Stelgidopteryx"
"317","Gavia pacifica","Pacific Loon","yeekagáaxi","Gaviidae","Gaviiformes",71.9,41.1,8.3,12.9,72.8,291.2,139,151.5,47.9,48.4,2251.1,"Gavia pacifica","Gavia arctica","Arctic Loon","Gaviidae","Tlingit",124,"Gaviiformes","Gavia","Gavia"
"318","Troglodytes pacificus","Pacific Wren","woolnáx wooshkaak","Troglodytidae","Passeriformes",11.8,8.1,2,2.5,17.4,44.2,8.4,35.8,19,30.1,9.4,"Troglodytes troglodytes","Troglodytes troglodytes","Northern Wren","Troglodytidae","Tlingit",125,"Passeriformes","Troglodytes","Troglodytes"
"319","Sphyrapicus ruber","Red-breasted Sapsucker","gandaadagóogu","Picidae","Piciformes",25.8,21.5,8,7.1,21.6,126.6,38.4,88.2,30.4,80.8,54.8,"Sphyrapicus ruber","Sphyrapicus varius","Common Sapsucker","Picidae","Tlingit",126,"Piciformes","Sphyrapicus","Sphyrapicus"
"320","Dendragapus fuliginosus","Sooty Grouse","káax’","Phasianidae","Galliformes",25.9,14.4,9.6,10.6,41.8,223.2,88.8,134.4,39.9,140,1047.3,"Dendragapus fuliginosus","Dendragapus obscurus","Blue Grouse","Tetraonidae","Tlingit",127,"Galliformes","Dendragapus","Dendragapus"
"321","Cygnus columbianus","Tundra Swan","gúkl’","Anatidae","Anseriformes",101.9,41.1,30.4,20,93.8,538.2,243.8,294.5,45.3,162.2,6378,"Cygnus columbianus","Olor columbianus","Whistling Swan","Anatidae","Tlingit",128,"Anseriformes","Cygnus","Olor"
"322","Megascops kennicottii","Western Screech-Owl","xéex","Strigidae","Strigiformes",24.4,12.9,6.8,12.7,39.9,176.8,47.9,128.8,27.1,85.2,141.8,"Megascops kennicottii","Otus asio","Common Screech Owl","Strigidae","Tlingit",129,"Strigiformes","Megascops","Otus"
"323","Gallinago delicata","Wilson's Snipe","lu.áadaa","Scolopacidae","Charadriiformes",66.9,57.7,4.6,6.6,29.4,128.4,59.5,68.5,46.5,55,112.9,"Gallinago gallinago","Capella gallinago","Common Snipe","Scolopacidae","Tlingit",130,"Charadriiformes","Gallinago","Capella"
"324",NA,NA,"ch'éeni kwlayáat'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tlingit",131,NA,NA,NA
"325",NA,NA,"chée",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tlingit",132,NA,NA,NA
"326",NA,NA,"s'awan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tlingit",133,NA,NA,NA
"327","Melanerpes formicivorus","Acorn Woodpecker","càrpìntêr","Picidae","Piciformes",26.9,20.6,8.2,7.4,21.8,139.8,40.1,103.6,28,84.5,79.6,"Melanerpes formicivorus","Melanerpes formicivorus","Acorn Woodpecker","Picidae","Zapotec",1,"Piciformes","Melanerpes","Melanerpes"
"328","Cinclus mexicanus.1","American Dipper","mguîn̲-nìs","Cinclidae","Passeriformes",21.6,11.7,3.4,4.8,29.8,89.1,23.6,65.3,26.5,51.8,56.7,"Cinclus mexicanus","Cinclus mexicanus","American Dipper","Cinclidae","Zapotec",2,"Passeriformes","Cinclus","Cinclus"
"329","Falco sparverius.1","American Kestrel","líd","Falconidae","Falconiformes",17.1,11,8.4,10.1,33.7,182.4,77.9,100.1,43.7,126.5,114.6,"Falco sparverius","Falco sparverius","American Kestrel","Falconidae","Zapotec",3,"Falconiformes","Falco","Falco"
"330","Mareca americana","American Wigeon","bǎd","Anatidae","Anseriformes",44.9,26.9,16,12.3,34.6,253.2,135.4,116.6,53.7,93.8,754.6,"Anas americana","Anas americana","American Wigeon","Anatidae","Zapotec",4,"Anseriformes","Mareca","Anas"
"331","Lampornis amethystinus","Amethyst-throated Mountain-gem","dzǐn̲g","Trochilidae","Caprimulgiformes",24.6,19,2.7,1.9,4.4,65.4,41.5,23,64.3,41.5,5.2,"Lampornis amethystinus","Lampornis amethystinus","Amethyst-throated Hummingbird","Trochilidae","Zapotec",5,"Apodiformes","Lampornis","Lampornis"
"332","Hirundo rustica.1","Barn Swallow","xlútsǐ","Hirundinidae","Passeriformes",12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,"Hirundo rustica","Hirundo rustica","Barn Swallow","Hirundinidae","Zapotec",6,"Passeriformes","Hirundo","Hirundo"
"333","Calothorax pulcher","Beautiful Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",21.4,16.4,1.3,1.6,3.9,37.1,23.2,14.2,62.1,27.4,2.7,"Calothorax pulcher","Calothorax pulcher","Beautiful Hummingbird","Trochilidae","Zapotec",7,"Apodiformes","Calothorax","Calothorax"
"334","Saucerottia beryllina","Berylline Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",21.3,17.4,2.3,2.1,5.7,53.4,32.7,21.1,60.8,31.8,4.5,"Amazilia beryllina","Amazilia beryllina","Berylline Hummingbird","Trochilidae","Zapotec",8,"Apodiformes","Saucerottia","Amazilia"
"335","Thryomanes bewickii","Bewick's Wren","nguzhǐn","Troglodytidae","Passeriformes",15.5,10.1,2.6,3,17.5,54,7.3,46.1,13.8,51.2,9.9,"Thryomanes bewickii","Thryomanes bewickii","Bewick's Wren","Troglodytidae","Zapotec",9,"Passeriformes","Thryomanes","Thryomanes"
"336","Cypseloides niger","Black Swift","xlútsǐ","Apodidae","Caprimulgiformes",9,3.7,3.4,2.4,12.5,149.4,105.2,39.3,73,59.4,39.7,"Cypseloides niger","Cypseloides niger","Black Swift","Apodidae","Zapotec",10,"Apodiformes","Cypseloides","Cypseloides"
"337","Coragyps atratus","Black Vulture","pěch","Cathartidae","Cathartiformes",60,35,14.8,16.1,76.1,410.1,58.4,352.6,14.3,180,1881.7,"Coragyps atratus","Coragyps atratus","Black Vulture","Cathartidae","Zapotec",11,"Falconiformes","Coragyps","Coragyps"
"338","Mniotilta varia","Black-and-white Warbler","wǐt","Parulidae","Passeriformes",13.7,9,2.9,3.3,17.3,68.8,17,49.7,25.5,46.6,10.9,"Mniotilta varia","Mniotilta varia","Black-and-white Warbler","Parulidae","Zapotec",12,"Passeriformes","Mniotilta","Mniotilta"
"339","Dendrocygna autumnalis","Black-bellied Whistling-Duck","pìxîx","Anatidae","Anseriformes",50.8,34.6,18.3,16.1,52.7,240.8,79.1,163.4,32.7,66,755.3,"Dendrocygna autumnalis","Dendrocygna autumnalis","Black-bellied Tree-Duck","Anatidae","Zapotec",13,"Anseriformes","Dendrocygna","Dendrocygna"
"340","Pheucticus melanocephalus","Black-headed Grosbeak","mguěy","Cardinalidae","Passeriformes",19.1,13,9.1,12.1,22.9,100.5,24.3,76,24.2,72.8,47.1,"Pheucticus melanocephalus","Pheucticus melanocephalus","Black-headed Grosbeak","Fringillidae","Zapotec",14,"Passeriformes","Pheucticus","Pheucticus"
"341","Spinus notatus","Black-headed Siskin","yěets","Fringillidae","Passeriformes",13.4,9.7,4.6,6.1,13,65.2,20.1,45.1,30.9,40.2,10.9,"Carduelis notata","Carduelis notata","Black-headed Siskin","Fringillidae","Zapotec",15,"Passeriformes","Spinus","Carduelis"
"342","Setophaga nigrescens","Black-throated Gray Warbler","wǐt","Parulidae","Passeriformes",12.1,6.9,3.4,3.7,18.2,63.2,14.8,48.5,23.4,49,8.7,"Dendroica nigrescens","Dendroica nigrescens","Black-throated Gray Warbler","Parulidae","Zapotec",16,"Passeriformes","Setophaga","Dendroica"
"343","Icterus wagleri","Black-vented Oriole","mguěy","Icteridae","Passeriformes",24.2,15.2,4.5,5.9,23.9,101.2,22.8,77.5,22.7,106.2,41.8,"Icterus wagleri","Icterus wagleri","Black-vented Oriole","Icteridae","Zapotec",17,"Passeriformes","Icterus","Icterus"
"344","Melanotis caerulescens","Blue Mockingbird","mæ̀cw-guiùu","Mimidae","Passeriformes",27.9,16.7,4.8,6.1,30.2,111.2,15.2,96,13.7,126.5,61.6,"Melanotis caerulescens","Melanotis caerulescens","Blue Mockingbird","Mimidae","Zapotec",18,"Passeriformes","Melanotis","Melanotis"
"345","Polioptila caerulea","Blue-gray Gnatcatcher","dìx","Polioptilidae","Passeriformes",11.3,7.4,2.8,2.3,15.9,50.8,9.6,40.8,19.1,49.1,5.8,"Polioptila caerulea","Polioptila caerulea","Blue-gray Gnatcatcher","Sylviidae","Zapotec",19,"Passeriformes","Polioptila","Polioptila"
"346","Lampornis clemenciae","Blue-throated Mountain-gem","dzǐn̲g","Trochilidae","Caprimulgiformes",28.4,22.5,2.5,2.3,5,73.7,47.9,24.7,66.2,49,7.6,"Lampornis clemenciae","Lampornis clemenciae","Blue-throated Hummingbird","Trochilidae","Zapotec",20,"Apodiformes","Lampornis","Lampornis"
"347","Spatula discors","Blue-winged Teal","bǎd","Anatidae","Anseriformes",47.3,31.8,15.6,12.6,29.1,178.3,98.7,84.6,53.8,66.7,359.4,"Anas discors","Anas discors","Blue-winged Teal","Anatidae","Zapotec",21,"Anseriformes","Spatula","Anas"
"348","Campylorhynchus jocosus","Boucard's Wren","mguîn̲-quiè","Troglodytidae","Passeriformes",26.1,16.6,3.8,4.8,22.1,72,9.9,62.1,13.6,67.2,27.6,"Campylorhynchus jocosus","Campylorhynchus jocosus","Boucard's Wren","Troglodytidae","Zapotec",22,"Passeriformes","Campylorhynchus","Campylorhynchus"
"349","Peucaea mystacalis","Bridled Sparrow","mtsùu","Passerellidae","Passeriformes",14.3,8.9,4.6,6.4,21.4,70.8,7.2,64.3,10,78.6,22.2,"Aimophila mystacalis","Aimophila mystacalis","Bridled Sparrow","Fringillidae","Zapotec",23,"Passeriformes","Peucaea","Aimophila"
"350","Baeolophus wollweberi","Bridled Titmouse","mguîn̲-pàyâs","Paridae","Passeriformes",9.2,6.9,3.9,4.3,16.3,64,10.6,53.5,16.5,58.5,10.4,"Baeolophus wollweberi","Parus wollweberi","Bridled Titmouse","Paridae","Zapotec",24,"Passeriformes","Baeolophus","Parus"
"351","Myadestes occidentalis","Brown-backed Solitaire","mguîn̲-guìib-tsár","Turdidae","Passeriformes",15.4,7.8,4.8,4.6,20.8,102.5,27.6,74.8,27,101.2,36.4,"Myadestes occidentalis","Myadestes obscurus","Brown-backed Solitaire","Turdidae","Zapotec",25,"Passeriformes","Myadestes","Myadestes"
"352","Selasphorus heloisa","Bumblebee Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",14.7,10.9,1.3,1.3,4.1,34.4,22.9,11.5,66.5,21,2.2,"Atthis heloisa","Atthis heloisa","Bumblebee Hummingbird","Trochilidae","Zapotec",26,"Apodiformes","Selasphorus","Atthis"
"353","Psaltriparus minimus","Bushtit","mziùud","Aegithalidae","Passeriformes",7.8,4.6,2.4,3.4,15.7,45.2,8.8,36.5,19.4,52.2,5.3,"Psaltriparus minimus","Psaltriparus minimus","Common Bushtit","Paridae","Zapotec",27,"Passeriformes","Psaltriparus","Psaltriparus"
"354","Catherpes mexicanus","Canyon Wren","nguzhǐn","Troglodytidae","Passeriformes",23.9,15.7,3.2,3.4,18.6,64.3,8.3,55.3,13.2,56,12,"Catherpes mexicanus","Catherpes mexicanus","Canyon Wren","Troglodytidae","Zapotec",28,"Passeriformes","Catherpes","Catherpes"
"355","Tyrannus vociferans","Cassin's Kingbird","cùchguêr","Tyrannidae","Passeriformes",23.8,14.9,8.5,7,19.5,128.9,41.3,89.6,31.9,96.9,45.6,"Tyrannus vociferans","Tyrannus vociferans","Cassin's Kingbird","Tyrannidae","Zapotec",29,"Passeriformes","Tyrannus","Tyrannus"
"356","Bombycilla cedrorum","Cedar Waxwing","mguîn̲-bæ̀d","Bombycillidae","Passeriformes",15.1,6.6,4.5,4.9,16.7,95.4,33.5,62,35.1,59.8,31.6,"Bombycilla cedrorum","Bombycilla cedrorum","Cedar Waxwing","Bombycillidae","Zapotec",30,"Passeriformes","Bombycilla","Bombycilla"
"357","Streptoprocne rutila","Chestnut-collared Swift","xlútsǐ","Apodidae","Caprimulgiformes",7.1,3,3.7,2,12,130,93.2,38.1,71,44.5,20.2,"Streptoprocne rutila","Cypseloides rutilus","Chestnut-collared Swift","Apodidae","Zapotec",31,"Apodiformes","Streptoprocne","Cypseloides"
"358","Spizella passerina","Chipping Sparrow","mtsùu","Passerellidae","Passeriformes",13.1,7,4,4.9,16.3,68,16.3,51,24.2,56,12.2,"Spizella passerina","Spizella passerina","Chipping Sparrow","Fringillidae","Zapotec",32,"Passeriformes","Spizella","Spizella"
"359","Petrochelidon pyrrhonota.1","Cliff Swallow","xlútsǐ","Hirundinidae","Passeriformes",11.3,5.9,4.5,3,12.6,109.3,54.2,56.4,49,49.2,21.6,"Petrochelidon pyrrhonota","Petrochelidon pyrrhonota","Cliff Swallow","Hirundinidae","Zapotec",33,"Passeriformes","Petrochelidon","Petrochelidon"
"360","Pipilo ocai","Collared Towhee","chùubây","Passerellidae","Passeriformes",18.5,10.9,6.1,8.3,30.6,84.5,9.5,74.4,11.4,97.6,61,"Pipilo ocai","Pipilo ocai","Collared Towhee","Fringillidae","Zapotec",34,"Passeriformes","Pipilo","Pipilo"
"361","Columbina passerina","Common Ground Dove","côc","Columbidae","Columbiformes",13.9,8.2,2.5,3.2,15.2,81.6,21.6,63.6,25.4,59.6,35.4,"Columbina passerina","Columbina passerina","Common Ground Dove","Columbidae","Zapotec",35,"Columbiformes","Columbina","Columbina"
"362","Corvus corax.1","Common Raven","ngǎ","Corvidae","Passeriformes",77,49.2,21.9,27.9,67.1,419.7,167.2,252.7,39.8,228.7,928,"Corvus corax","Corvus corax","Northern Raven","Corvidae","Zapotec",36,"Passeriformes","Corvus","Corvus"
"363","Accipiter cooperii","Cooper's Hawk","msì","Accipitridae","Accipitriformes",25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.7,"Accipiter cooperii","Accipiter cooperii","Cooper's Hawk","Accipitridae","Zapotec",37,"Falconiformes","Accipiter","Accipiter"
"364","Empidonax difficilis","Western Flycatcher","wǐt","Tyrannidae","Passeriformes",16.2,8.3,5.4,3.7,16.3,66.7,13.3,51.2,20.6,64,11.6,"Empidonax occidentalis","Empidonax difficilis","Western Flycatcher","Tyrannidae","Zapotec",38,"Passeriformes","Empidonax","Empidonax"
"365","Oreothlypis superciliosa","Crescent-chested Warbler","nguzhǐn","Parulidae","Passeriformes",13.7,8.6,3.3,3.6,16.4,62.3,15.4,46.9,24.7,52.9,9,"Parula superciliosa","Parula superciliosa","Crescent-chested Warbler","Parulidae","Zapotec",39,"Passeriformes","Oreothlypis","Parula"
"366","Toxostoma curvirostre","Curve-billed Thrasher","mquièts","Mimidae","Passeriformes",35.2,23.7,6.1,6.5,32.4,111.6,19.8,92.2,17.7,109.2,80.5,"Toxostoma curvirostre","Toxostoma curvirostre","Curve-billed Thrasher","Mimidae","Zapotec",40,"Passeriformes","Toxostoma","Toxostoma"
"367","Empidonax oberholseri","Dusky Flycatcher","wǐt","Tyrannidae","Passeriformes",13.5,7.8,4.6,3.2,17.5,66.6,12.5,54.1,18.7,60.6,10.4,"Empidonax oberholseri","Empidonax oberholseri","Dusky Flycatcher","Tyrannidae","Zapotec",41,"Passeriformes","Empidonax","Empidonax"
"368","Phaeoptila sordida","Dusky Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",23.4,18.7,2.3,1.9,4.3,56.1,36.4,19,65.8,32.6,4,"Cynanthus sordidus","Cynanthus sordidus","Dusky Hummingbird","Trochilidae","Zapotec",42,"Apodiformes","Phaeoptila","Cynanthus"
"369","Trogon elegans","Elegant Trogon","chòo-dzê","Trogonidae","Trogoniformes",19.6,12.3,9.1,9.9,14.6,130.7,51.7,79,39.5,160.6,70.9,"Trogon elegans","Trogon elegans","Elegant Trogon","Trogonidae","Zapotec",43,"Trogoniformes","Trogon","Trogon"
"370","Micrathene whitneyi","Elf Owl","mquí","Strigidae","Strigiformes",12.9,8,5.2,7.4,20.1,108.2,32.5,75.8,30,47,41,"Micrathene whitneyi","Micrathene whitneyi","Elf Owl","Strigidae","Zapotec",44,"Strigiformes","Micrathene","Micrathene"
"371","Lamprolaima rhami","Garnet-throated Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",21.1,15.4,2.3,2.2,3.4,78,47.5,30.3,61,46.8,7.8,"Lamprolaima rhami","Lamprolaima rhami","Garnet-throated Hummingbird","Trochilidae","Zapotec",45,"Apodiformes","Lamprolaima","Lamprolaima"
"372","Ptiliogonys cinereus","Gray Silky-flycatcher","péedrùuch","Ptiliogonatidae","Passeriformes",14.6,6.7,4.4,4.2,16.7,92.6,22.2,70.5,24,98.2,33.6,"Ptilogonys cinereus","Ptilogonys cinereus","Gray Silky-flycatcher","Ptilogonatidae","Zapotec",46,"Passeriformes","Ptiliogonys","Ptilogonys"
"373","Melanerpes hypopolius","Gray-breasted Woodpecker","càrpìntêr","Picidae","Piciformes",23,17.7,5.7,5.4,19.2,125.2,34.5,90.8,27.6,90.2,52.4,"Melanerpes hypopolius","Centurus hypopolius","Gray-breasted Woodpecker","Picidae","Zapotec",47,"Piciformes","Melanerpes","Centurus"
"374","Anser anser","Graylag Goose","gâns","Anatidae","Anseriformes",61.2,31.8,22.5,21.6,76.2,435.7,204.7,229.4,47.2,136.1,3302.4,"Anser anser","Anser anser","Graylag Goose","Anatidae","Zapotec",48,"Anseriformes","Anser","Anser"
"375","Quiscalus mexicanus","Great-tailed Grackle","mguîn̲-bǒo","Icteridae","Passeriformes",43.3,29.2,8.2,11.5,47.9,168.6,46,126.4,26.8,170.1,160.5,"Quiscalus mexicanus","Cassidix mexicanus","Great-tailed Grackle","Icteridae","Zapotec",49,"Passeriformes","Quiscalus","Cassidix"
"376","Contopus pertinax","Greater Pewee","pédrǐt","Tyrannidae","Passeriformes",23,13.4,7.8,5.6,17,108.3,30,77.6,28.3,83,27.2,"Contopus pertinax","Contopus pertinas","Coue's Flycatcher","Tyrannidae","Zapotec",50,"Passeriformes","Contopus","Contopus"
"377","Ramosomyia viridifrons","Green-fronted Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",23.9,21.1,3,2.4,4.5,56.2,36.3,19.9,64.6,31.8,6.3,"Amazilia viridifrons","Amazilia viridifrons","Green-fronted Hummingbird","Trochilidae","Zapotec",51,"Apodiformes","Ramosomyia","Amazilia"
"378","Anas crecca.1","Green-winged Teal","bǎd","Anatidae","Anseriformes",36.2,29.2,11.8,11.4,26.4,178.8,95.1,84.2,53.1,61.5,341.9,"Anas crecca","Anas crecca","Green-winged Teal","Anatidae","Zapotec",52,"Anseriformes","Anas","Anas"
"379","Dryobates villosus.1","Hairy Woodpecker","càrpìntêr","Picidae","Piciformes",31.6,24.1,8.2,8.1,23.1,126.7,32.4,95.5,25.3,81.7,62.7,"Picoides villosus","Dendrocopos villosus","Hairy Woodpecker","Picidae","Zapotec",53,"Piciformes","Dryobates","Dendrocopos"
"380","Setophaga occidentalis","Hermit Warbler","wǐt","Parulidae","Passeriformes",12.4,7.7,3.2,3.6,17.8,66.9,18,48.8,26.9,52.4,10.4,"Dendroica occidentalis","Dendroica occidentalis","Hermit Warbler","Parulidae","Zapotec",54,"Passeriformes","Setophaga","Dendroica"
"381","Eremophila alpestris.1","Horned Lark","mguîn̲-ló-liù","Alaudidae","Passeriformes",13.9,9.2,4.2,5,23.5,108.1,41.7,66.2,38.6,71.4,33.3,"Eremophila alpestris","Eremophila alpestris","Horned Lark","Alaudidae","Zapotec",55,"Passeriformes","Eremophila","Eremophila"
"382","Haemorhous mexicanus","House Finch","mguěy","Fringillidae","Passeriformes",10.6,8.4,6.6,8.2,17.4,77.2,21.2,55.8,27.5,66.2,21.4,"Carpodacus mexicanus","Carpodacus mexicanus","House Finch","Fringillidae","Zapotec",56,"Passeriformes","Haemorhous","Carpodacus"
"383","Vireo huttoni","Hutton's Vireo","mtsùu","Vireonidae","Passeriformes",13.1,6.9,3.7,3.8,19.5,63.2,10.8,52.6,17,49.1,11.3,"Vireo huttoni","Vireo huttoni","Hutton's Vireo","Vireonidae","Zapotec",57,"Passeriformes","Vireo","Vireo"
"384","Columbina inca","Inca Dove","côc","Columbidae","Columbiformes",16.1,7.1,3.5,3.8,15.5,92.5,24.2,69,26,88.7,47.5,"Columbina inca","Scardafella inca","Inca Dove","Columbidae","Zapotec",58,"Columbiformes","Columbina","Scardafella"
"385","Sarcoramphus papa","King Vulture","pěch","Cathartidae","Cathartiformes",61.9,46,22.8,30.6,89.9,508.2,191.6,317.6,37.6,239,3400,"Sarcoramphus papa","Sarcoramphus papa","King Vulture","Cathartidae","Zapotec",59,"Falconiformes","Sarcoramphus","Sarcoramphus"
"386","Dryobates scalaris","Ladder-backed Woodpecker","càrpìntêr","Picidae","Piciformes",19,13.8,6.9,6.3,17.8,96.8,23.8,73,24.6,58.2,31.6,"Picoides scalaris","Dendrocopos scalaris","Ladder-backed Woodpecker","Picidae","Zapotec",60,"Piciformes","Dryobates","Dendrocopos"
