"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974","Genus2023","Genus1974"
"231","Anas crecca","Green-winged Teal","s’elasheesh","Anatidae","Anseriformes",36.2,29.2,11.8,11.4,26.4,178.8,95.1,84.2,53.1,61.5,341.9,"Anas crecca","Anas crecca","Green-winged Teal","Anatidae","Tlingit",38,"Anseriformes","Anas","Anas"
"232","Dryobates villosus","Hairy Woodpecker","gandaadagóogu","Picidae","Piciformes",31.6,24.1,8.2,8.1,23.1,126.7,32.4,95.5,25.3,81.7,62.7,"Picoides villosus","Dendrocopos villosus","Hairy Woodpecker","Picidae","Tlingit",39,"Piciformes","Dryobates","Dendrocopos"
"233","Histrionicus histrionicus","Harlequin Duck","s’ús’","Anatidae","Anseriformes",27.3,16.9,12.7,10.5,33,194,95,95,50,87.5,561.6,"Histrionicus histrionicus","Histrionicus histrionicus","Harlequin Duck","Anatidae","Tlingit",40,"Anseriformes","Histrionicus","Histrionicus"
"234","Catharus guttatus","Hermit Thrush","ts’ats’ée tlein","Turdidae","Passeriformes",18.8,9.2,3.4,3.7,28.9,89,24,65.3,26.9,67.7,30.1,"Catharus guttatus","Catharus guttatus","Hermit Thrush","Turdidae","Tlingit",41,"Passeriformes","Catharus","Catharus"
"235","Larus argentatus","Herring Gull","kéidladi","Laridae","Charadriiformes",70.5,25.3,8.8,18.5,64.9,429,236.3,193.8,54.9,168.5,1091,"Larus argentatus","Larus argentatus","Herring Gull","Laridae","Tlingit",42,"Charadriiformes","Larus","Larus"
"236","Eremophila alpestris","Horned Lark","x’aakats’ítsgu","Alaudidae","Passeriformes",13.9,9.2,4.2,5,23.5,108.1,41.7,66.2,38.6,71.4,33.3,"Eremophila alpestris","Eremophila alpestris","Horned Lark","Alaudidae","Tlingit",43,"Passeriformes","Eremophila","Eremophila"
"237","Fratercula corniculata","Horned Puffin","lugwát","Alcidae","Charadriiformes",51,16.8,7.3,31.6,32.1,185.5,96.8,88.4,52.3,63.3,536.1,"Fratercula corniculata","Fratercula corniculata","Horned Puffin","Alcidae","Tlingit",44,"Charadriiformes","Fratercula","Fratercula"
"238","Brachyramphus brevirostris","Kittlitz's Murrelet","káax","Alcidae","Charadriiformes",20.7,9.7,3.7,5.4,15.3,138,73.6,64.4,53.2,36.8,234,"Brachyramphus brevirostris","Brachyramphus brevirostris","Kittlitz's Murrelet","Alcidae","Tlingit",45,"Charadriiformes","Brachyramphus","Brachyramphus"
"239","Calidris minutilla","Least Sandpiper","gus’yadóoli","Scolopacidae","Charadriiformes",20.3,15.1,2.4,3.2,18.4,86.4,32.1,53.1,37.7,39.2,22.9,"Calidris minutilla","Calidris minutilla","Least Sandpiper","Scolopacidae","Tlingit",46,"Charadriiformes","Calidris","Calidris"
"240","Aythya affinis","Lesser Scaup","atsik’íye","Anatidae","Anseriformes",47.3,29.4,19.6,13.4,34.9,198.2,101,97,51,53.4,819.5,"Aythya affinis","Aythya affinis","Lesser Scaup","Anatidae","Tlingit",47,"Anseriformes","Aythya","Aythya"
"241","Tringa flavipes","Lesser Yellowlegs","séitaa","Scolopacidae","Charadriiformes",41.4,30.6,2.9,4,49.6,152.6,79.8,71.5,52.8,65.6,77.5,"Tringa flavipes","Tringa flavipes","Lesser Yellowlegs","Scolopacidae","Tlingit",48,"Charadriiformes","Tringa","Tringa"
"242","Limnodromus scolopaceus","Long-billed Dowitcher","éek lukakées’i","Scolopacidae","Charadriiformes",70.7,61.9,4.5,7.1,38.6,145.5,74.2,71.2,51,56.5,104.4,"Limnodromus scolopaceus","Limnodromus scolopaceus","Long-billed Dowitcher","Scolopacidae","Tlingit",49,"Charadriiformes","Limnodromus","Limnodromus"
"243","Clangula hyemalis","Long-tailed Duck","yaa.aa.uné","Anatidae","Anseriformes",32.1,19.2,16,11.9,33.1,215.6,108.5,105,50.9,130.8,871,"Clangula hyemalis","Clangula hyemalis","Oldsquaw","Anatidae","Tlingit",50,"Anseriformes","Clangula","Clangula"
"244","Anas platyrhynchos","Mallard","Kindachooneit","Anatidae","Anseriformes",58.5,41,20.8,17.8,40.6,263.4,133.5,129.9,50.7,86.9,843.4,"Anas platyrhynchos","Anas platyrhynchos","Mallard","Anatidae","Tlingit",51,"Anseriformes","Anas","Anas"
"245","Fulmarus glacialis","Northern Fulmar","kichyaat yádi","Procellariidae","Procellariiformes",41.3,23.6,11.9,14.4,48.8,321.1,162.5,155,51.1,134.9,611.9,"Fulmarus glacialis","Fulmarus glacialis","Northern Fulmar","Procellariidae","Tlingit",52,"Procellariiformes ","Fulmarus","Fulmarus"
"246","Glaucidium gnoma","Northern Pygmy-Owl","k’ishagwát","Strigidae","Strigiformes",13.3,9,6.2,9.3,18.2,89.4,20.9,68.5,23.3,63.5,61.3,"Glaucidium gnoma","Glaucidium gnoma","Northern Pygmy Owl","Strigidae","Tlingit",53,"Strigiformes","Glaucidium","Glaucidium"
"247","Aegolius acadicus","Northern Saw-whet Owl","xéex","Strigidae","Strigiformes",18.2,9.9,7,10.5,23.6,135.2,40.2,95,29.8,78,100.7,"Aegolius acadicus","Aegolius acadicus","Saw-whet Owl","Strigidae","Tlingit",54,"Strigiformes","Aegolius","Aegolius"
"248","Leiothlypis celata","Orange-crowned Warbler","asx’aansháach’i","Parulidae","Passeriformes",11.8,7.8,3.8,4,18.4,59.9,13.8,46,23,46.5,9.2,"Vermivora celata","Vermivora celata","Orange-crowned Warbler","Parulidae","Tlingit",55,"Passeriformes","Leiothlypis","Vermivora"
