ScientificName2021,CommonName2021,Family2021,ScientificName2023,CommonName2023,Family2023
Buteo buteo,Common Buzzard,Accipitridae,,,
Buteo bannermani,Cape Verde Buzzard,Accipitridae,,,
,,,Buteo augur,Augur Buzzard,Accipitridae
Buteo augur,Augur Buzzard,Accipitridae,,,
Buteo archeri,Archer's Buzzard,Accipitridae,,,
Phalcoboenus carunculatus,Carunculated Caracara,Falconidae,Daptrius carunculatus,Carunculated Caracara,Falconidae
Phalcoboenus megalopterus,Mountain Caracara,Falconidae,Daptrius megalopterus,Mountain Caracara,Falconidae
Phalcoboenus albogularis,White-throated Caracara,Falconidae,Daptrius albogularis,White-throated Caracara,Falconidae
Phalcoboenus australis,Striated Caracara,Falconidae,Daptrius australis,Striated Caracara,Falconidae
Milvago chimachima,Yellow-headed Caracara,Falconidae,Daptrius chimachima,Yellow-headed Caracara,Falconidae
Milvago chimango,Chimango Caracara,Falconidae,Daptrius chimango,Chimango Caracara,Falconidae
Polihierax insignis,White-rumped Falcon,Falconidae,Neohierax insignis,White-rumped Falcon,Falconidae
Megapodius nicobariensis,Nicobar Scrubfowl,Megapodiidae,Megapodius nicobariensis,Nicobar Megapode,Megapodiidae
Megapodius cumingii,Tabon Scrubfowl,Megapodiidae,Megapodius cumingii,Philippine Megapode,Megapodiidae
Megapodius bernsteinii,Sula Scrubfowl,Megapodiidae,Megapodius bernsteinii,Sula Megapode,Megapodiidae
Megapodius reinwardt,Orange-footed Scrubfowl,Megapodiidae,Megapodius reinwardt,Orange-footed Megapode,Megapodiidae
Megapodius forsteni,Forsten's Scrubfowl,Megapodiidae,,,
Megapodius tenimberensis,Tanimbar Scrubfowl,Megapodiidae,Megapodius tenimberensis,Tanimbar Megapode,Megapodiidae
,,,Megapodius freycinet,Dusky Megapode,Megapodiidae
Megapodius freycinet,Dusky Scrubfowl,Megapodiidae,,,
Megapodius geelvinkianus,Biak Scrubfowl,Megapodiidae,Megapodius geelvinkianus,Biak Megapode,Megapodiidae
Megapodius decollatus,New Guinea Scrubfowl,Megapodiidae,Megapodius decollatus,New Guinea Megapode,Megapodiidae
Megapodius eremita,Melanesian Scrubfowl,Megapodiidae,Megapodius eremita,Melanesian Megapode,Megapodiidae
Megapodius layardi,Vanuatu Scrubfowl,Megapodiidae,Megapodius layardi,Vanuatu Megapode,Megapodiidae
Megapodius laperouse,Micronesian Scrubfowl,Megapodiidae,Megapodius laperouse,Micronesian Megapode,Megapodiidae
Megapodius pritchardii,Niuafoou Scrubfowl,Megapodiidae,Megapodius pritchardii,Tongan Megapode,Megapodiidae
Eulipoa wallacei,Moluccan Scrubfowl,Megapodiidae,Eulipoa wallacei,Moluccan Megapode,Megapodiidae
Penelope perspicax,Cauca Guan,Cracidae,Penelope perspicax,Cauca Guan,Cracidae
Pipile cumanensis,Blue-throated Piping-Guan,Cracidae,,,
,,,Pipile cumanensis,Blue-throated Piping-Guan,Cracidae
,,,Pipile grayi,White-throated Piping-Guan,Cracidae
Tetraophasis obscurus,Verreaux's Partridge,Phasianidae,Tetraophasis obscurus,Chestnut-throated Monal-Partridge,Phasianidae
Tetraophasis szechenyii,Szechenyi's Partridge,Phasianidae,Tetraophasis szechenyii,Buff-throated Monal-Partridge,Phasianidae
Scleroptila psilolaema,Moorland Francolin,Phasianidae,,,
,,,Scleroptila psilolaema,Moorland Francolin,Phasianidae
,,,Scleroptila elgonensis,Elgon Francolin,Phasianidae
Scleroptila shelleyi,Shelley's Francolin,Phasianidae,,,
,,,Scleroptila shelleyi,Shelley's Francolin,Phasianidae
,,,Scleroptila whytei,Whyte's Francolin,Phasianidae
Pternistis ahantensis,Ahanta Francolin,Phasianidae,Pternistis ahantensis,Ahanta Spurfowl,Phasianidae
Pternistis squamatus,Scaly Francolin,Phasianidae,Pternistis squamatus,Scaly Spurfowl,Phasianidae
Pternistis griseostriatus,Gray-striped Francolin,Phasianidae,Pternistis griseostriatus,Gray-striped Spurfowl,Phasianidae
Ptilopachus nahani,Nahan's Francolin,Odontophoridae,Ptilopachus nahani,Nahan's Partridge,Odontophoridae
Pternistis hartlaubi,Hartlaub's Francolin,Phasianidae,Pternistis hartlaubi,Hartlaub's Spurfowl,Phasianidae
Pternistis hildebrandti,Hildebrandt's Francolin,Phasianidae,Pternistis hildebrandti,Hildebrandt's Spurfowl,Phasianidae
Pternistis natalensis,Natal Francolin,Phasianidae,Pternistis natalensis,Natal Spurfowl,Phasianidae
Pternistis bicalcaratus,Double-spurred Francolin,Phasianidae,Pternistis bicalcaratus,Double-spurred Spurfowl,Phasianidae
Pternistis clappertoni,Clapperton's Francolin,Phasianidae,Pternistis clappertoni,Clapperton's Spurfowl,Phasianidae
Pternistis icterorhynchus,Heuglin's Francolin,Phasianidae,Pternistis icterorhynchus,Heuglin's Spurfowl,Phasianidae
Pternistis harwoodi,Harwood's Francolin,Phasianidae,Pternistis harwoodi,Harwood's Spurfowl,Phasianidae
Pternistis capensis,Cape Francolin,Phasianidae,Pternistis capensis,Cape Spurfowl,Phasianidae
Pternistis adspersus,Red-billed Francolin,Phasianidae,Pternistis adspersus,Red-billed Spurfowl,Phasianidae
Pternistis camerunensis,Cameroon Francolin,Phasianidae,Pternistis camerunensis,Mount Cameroon Spurfowl,Phasianidae
Pternistis swierstrai,Swierstra's Francolin,Phasianidae,Pternistis swierstrai,Swierstra's Spurfowl,Phasianidae
Pternistis erckelii,Erckel's Francolin,Phasianidae,Pternistis erckelii,Erckel's Spurfowl,Phasianidae
Pternistis ochropectus,Djibouti Francolin,Phasianidae,Pternistis ochropectus,Djibouti Spurfowl,Phasianidae
,,,Pternistis castaneicollis,Chestnut-naped Spurfowl,Phasianidae
Pternistis castaneicollis,Chestnut-naped Francolin,Phasianidae,,,
Pternistis atrifrons,Black-fronted Francolin,Phasianidae,,,
Pternistis nobilis,Handsome Francolin,Phasianidae,Pternistis nobilis,Handsome Spurfowl,Phasianidae
Pternistis jacksoni,Jackson's Francolin,Phasianidae,Pternistis jacksoni,Jackson's Spurfowl,Phasianidae
Pternistis leucoscepus,Yellow-necked Francolin,Phasianidae,Pternistis leucoscepus,Yellow-necked Spurfowl,Phasianidae
Pternistis rufopictus,Gray-breasted Francolin,Phasianidae,Pternistis rufopictus,Gray-breasted Spurfowl,Phasianidae
Pternistis afer,Red-necked Francolin,Phasianidae,Pternistis afer,Red-necked Spurfowl,Phasianidae
Pternistis swainsonii,Swainson's Francolin,Phasianidae,Pternistis swainsonii,Swainson's Spurfowl,Phasianidae
Tropicoperdix charltonii,Chestnut-necklaced Partridge,Phasianidae,,,
,,,Tropicoperdix charltonii,Chestnut-necklaced Partridge,Phasianidae
,,,Tropicoperdix graydoni,Sabah Partridge,Phasianidae
Lophura erythrophthalma,Crestless Fireback,Phasianidae,,,
,,,Lophura erythrophthalma,Malayan Crestless Fireback,Phasianidae
,,,Lophura pyronota,Bornean Crestless Fireback,Phasianidae
Lophura ignita,Crested Fireback,Phasianidae,,,
,,,Lophura ignita,Bornean Crested Fireback,Phasianidae
,,,Lophura rufa,Malayan Crested Fireback,Phasianidae
Syrmaticus humiae,Hume's Pheasant,Phasianidae,Syrmaticus humiae,Mrs. Hume's Pheasant,Phasianidae
Phasianus colchicus,Ring-necked Pheasant,Phasianidae,,,
,,,Phasianus colchicus,Ring-necked Pheasant,Phasianidae
,,,Phasianus versicolor,Green Pheasant,Phasianidae
Guttera pucherani,Crested Guineafowl,Numididae,,,
,,,Guttera pucherani,Eastern Crested Guineafowl,Numididae
,,,Guttera edouardi,Southern Crested Guineafowl,Numididae
,,,Guttera verreauxi,Western Crested Guineafowl,Numididae
Turnix varius,Painted Buttonquail,Turnicidae,,,
,,,Turnix varius,Painted Buttonquail,Turnicidae
,,,Turnix novaecaledoniae,New Caledonian Buttonquail,Turnicidae
Mentocrex kioloides,Madagascar Wood-Rail,Sarothruridae,Mentocrex kioloides,Madagascar Forest Rail,Sarothruridae
Mentocrex beankaensis,Tsingy Wood-Rail,Sarothruridae,Mentocrex beankaensis,Tsingy Forest Rail,Sarothruridae
Micropygia schomburgkii,Ocellated Crake,Rallidae,Rufirallus schomburgkii,Ocellated Crake,Rallidae
Rallina rubra,Chestnut Forest-Rail,Rallidae,Rallicula rubra,Chestnut Forest Rail,Sarothruridae
Rallina leucospila,White-striped Forest-Rail,Rallidae,Rallicula leucospila,White-striped Forest Rail,Sarothruridae
