CommonNameV3,ScientificNameV3,Recognised
Black Curassow,Crax alector,R
Wattled Curassow,Crax globulosa,R
Bare-faced Curassow,Crax fasciolata,R
Red-billed Curassow,Crax blumenbachii,R
White-breasted Guineafowl,Agelastes meleagrides,R
Black Guineafowl,Agelastes niger,R
Helmeted Guineafowl,Numida meleagris,R
Plumed Guineafowl,Guttera plumifera,R
Crested Guineafowl,Guttera pucherani,R
Vulturine Guineafowl,Acryllium vulturinum,R
Bearded Wood-partridge,Dendrortyx barbatus,R
Long-tailed Wood-partridge,Dendrortyx macroura,R
Buffy-crowned Wood-partridge,Dendrortyx leucophrys,R
Mountain Quail,Oreortyx pictus,R
Scaled Quail,Callipepla squamata,R
Elegant Quail,Callipepla douglasii,R
California Quail,Callipepla californica,R
Gambel's Quail,Callipepla gambelii,R
Banded Quail,Philortyx fasciatus,R
Northern Bobwhite,Colinus virginianus,R
,Colinus ridgwayi,NR
Black-throated Bobwhite,Colinus nigrogularis,R
Crested Bobwhite,Colinus cristatus,R
Marbled Wood-quail,Odontophorus gujanensis,R
Spot-winged Wood-quail,Odontophorus capueira,R
Black-eared Wood-quail,Odontophorus melanotis,R
Rufous-fronted Wood-quail,Odontophorus erythrops,R
Black-fronted Wood-quail,Odontophorus atrifrons,R
Chestnut Wood-quail,Odontophorus hyperythrus,R
Dark-backed Wood-quail,Odontophorus melanonotus,R
Rufous-breasted Wood-quail,Odontophorus speciosus,R
Tacarcuna Wood-quail,Odontophorus dialeucos,R
Gorgeted Wood-quail,Odontophorus strophium,R
Venezuelan Wood-quail,Odontophorus columbianus,R
Black-breasted Wood-quail,Odontophorus leucolaemus,R
Stripe-faced Wood-quail,Odontophorus balliviani,R
Starred Wood-quail,Odontophorus stellatus,R
Spotted Wood-quail,Odontophorus guttatus,R
Singing Quail,Dactylortyx thoracicus,R
Montezuma Quail,Cyrtonyx montezumae,R
,Cyrtonyx sallei,NR
Ocellated Quail,Cyrtonyx ocellatus,R
Tawny-faced Quail,Rhynchortyx cinctus,R
Wild Turkey,Meleagris gallopavo,R
Ocellated Turkey,Meleagris ocellata,R
Hazel Grouse,Bonasa bonasia,R
Chinese Grouse,Bonasa sewerzowi,R
Ruffed Grouse,Bonasa umbellus,R
Black Grouse,Tetrao tetrix,R
Caucasian Grouse,Tetrao mlokosiewiczi,R
Western Capercaillie,Tetrao urogallus,R
Black-billed Capercaillie,Tetrao parvirostris,R
,Centrocercus urophasianus,NR
Greater Sage-grouse,Centrocercus urophasianus,R
Gunnison Sage-grouse,Centrocercus minimus,R
Siberian Grouse,Dendragapus falcipennis,R
Spruce Grouse,Dendragapus canadensis,R
,Dendragapus obscurus,NR
Dusky Grouse,Dendragapus obscurus,R
Sooty Grouse,Dendragapus fuliginosus,R
Sharp-tailed Grouse,Tympanuchus phasianellus,R
Greater Prairie-chicken,Tympanuchus cupido,R
Lesser Prairie-chicken,Tympanuchus pallidicinctus,R
Willow Ptarmigan,Lagopus lagopus,R
Rock Ptarmigan,Lagopus muta,R
White-tailed Ptarmigan,Lagopus leucura,R
Snow Partridge,Lerwa lerwa,R
Chestnut-throated Partridge,Tetraophasis obscurus,R
Buff-throated Partridge,Tetraophasis szechenyii,R
Caucasian Snowcock,Tetraogallus caucasicus,R
Caspian Snowcock,Tetraogallus caspius,R
Tibetan Snowcock,Tetraogallus tibetanus,R
Altai Snowcock,Tetraogallus altaicus,R
Himalayan Snowcock,Tetraogallus himalayensis,R
Rock Partridge,Alectoris graeca,R
Chukar,Alectoris chukar,R
Philby's Partridge,Alectoris philbyi,R
Rusty-necklaced Partridge,Alectoris magna,R
Barbary Partridge,Alectoris barbara,R
Red-legged Partridge,Alectoris rufa,R
Arabian Partridge,Alectoris melanocephala,R
See-see Partridge,Ammoperdix griseogularis,R
Sand Partridge,Ammoperdix heyi,R
Stone Partridge,Ptilopachus petrosus,R
Black Francolin,Francolinus francolinus,R
Painted Francolin,Francolinus pictus,R
Chinese Francolin,Francolinus pintadeanus,R
Grey Francolin,Francolinus pondicerianus,R
Swamp Francolin,Francolinus gularis,R
Coqui Francolin,Francolinus coqui,R
White-throated Francolin,Francolinus albogularis,R
Schlegel's Francolin,Francolinus schlegelii,R
Forest Francolin,Francolinus lathami,R
Crested Francolin,Francolinus sephaena,R
Ring-necked Francolin,Francolinus streptophorus,R
Finsch's Francolin,Francolinus finschi,R
Grey-winged Francolin,Francolinus africanus,R
Red-winged Francolin,Francolinus levaillantii,R
Moorland Francolin,Francolinus psilolaemus,R
Shelley's Francolin,Francolinus shelleyi,R
Orange River Francolin,Francolinus levaillantoides,R
Nahan's Francolin,Francolinus nahani,R
Hartlaub's Francolin,Francolinus hartlaubi,R
Double-spurred Francolin,Francolinus bicalcaratus,R
Clapperton's Francolin,Francolinus clappertoni,R
Heuglin's Francolin,Francolinus icterorhynchus,R
Harwood's Francolin,Francolinus harwoodi,R
Red-billed Francolin,Francolinus adspersus,R
Cape Francolin,Francolinus capensis,R
Hildebrandt's Francolin,Francolinus hildebrandti,R
Natal Francolin,Francolinus natalensis,R
Ahanta Francolin,Francolinus ahantensis,R
Scaly Francolin,Francolinus squamatus,R
Grey-striped Francolin,Francolinus griseostriatus,R
Yellow-necked Spurfowl,Francolinus leucoscepus,R
Grey-breasted Spurfowl,Francolinus rufopictus,R
Red-necked Spurfowl,Francolinus afer,R
Swainson's Spurfowl,Francolinus swainsonii,R
Erckel's Francolin,Francolinus erckelii,R
Djibouti Francolin,Francolinus ochropectus,R
Chestnut-naped Francolin,Francolinus castaneicollis,R
Handsome Francolin,Francolinus nobilis,R
Jackson's Francolin,Francolinus jacksoni,R
Mount Cameroon Francolin,Francolinus camerunensis,R
Swierstra's Francolin,Francolinus swierstrai,R
Grey Partridge,Perdix perdix,R
Daurian Partridge,Perdix dauurica,R
Tibetan Partridge,Perdix hodgsoniae,R
Long-billed Partridge,Rhizothera longirostris,R
Madagascar Partridge,Margaroperdix madagascariensis,R
Black Partridge,Melanoperdix niger,R
Common Quail,Coturnix coturnix,R
Japanese Quail,Coturnix japonica,R
Stubble Quail,Coturnix pectoralis,R
New Zealand Quail,Coturnix novaezelandiae,R
Rain Quail,Coturnix coromandelica,R
Harlequin Quail,Coturnix delegorguei,R
Brown Quail,Coturnix ypsilophora,R
,Coturnix adansonii,NR
,Coturnix chinensis,NR
Blue Quail,Coturnix chinensis,R
Snow Mountain Quail,Anurophasis monorthonyx,R
Jungle Bush-quail,Perdicula asiatica,R
Rock Bush-quail,Perdicula argoondah,R
Painted Bush-quail,Perdicula erythrorhyncha,R
Manipur Bush-quail,Perdicula manipurensis,R
Himalayan Quail,Ophrysia superciliosa,R
Udzungwa Forest-partridge,Xenoperdix udzungwensis,R
,Xenoperdix obscurata,NR
Hill Partridge,Arborophila torqueola,R
Rufous-throated Partridge,Arborophila rufogularis,R
White-cheeked Partridge,Arborophila atrogularis,R
Taiwan Partridge,Arborophila crudigularis,R
Chestnut-breasted Partridge,Arborophila mandellii,R
Bar-backed Partridge,Arborophila brunneopectus,R
Sichuan Partridge,Arborophila rufipectus,R
,Arborophila orientalis,NR
White-faced Partridge,Arborophila orientalis,R
Grey-breasted Partridge,Arborophila sumatrana,R
Roll's Partridge,Arborophila rolli,R
Malaysian Partridge,Arborophila campbelli,R
Chestnut-bellied Partridge,Arborophila javanica,R
Red-breasted Partridge,Arborophila hyperythra,R
White-necklaced Partridge,Arborophila gingica,R
Orange-necked Partridge,Arborophila davidi,R
Chestnut-headed Partridge,Arborophila cambodiana,R
Red-billed Partridge,Arborophila rubrirostris,R
Hainan Partridge,Arborophila ardens,R
,Arborophila merlini,NR
,Arborophila chloropus,NR
Scaly-breasted Partridge,Arborophila chloropus,R
Chestnut-necklaced Partridge,Arborophila charltonii,R
Ferruginous Partridge,Caloperdix oculeus,R
Crimson-headed Partridge,Haematortyx sanguiniceps,R
Crested Partridge,Rollulus rouloul,R
Mountain Bamboo-partridge,Bambusicola fytchii,R
Chinese Bamboo-partridge,Bambusicola thoracicus,R
Red Spurfowl,Galloperdix spadicea,R
Painted Spurfowl,Galloperdix lunulata,R
Sri Lanka Spurfowl,Galloperdix bicalcarata,R
Blood Pheasant,Ithaginis cruentus,R
Western Tragopan,Tragopan melanocephalus,R
Satyr Tragopan,Tragopan satyra,R
Blyth's Tragopan,Tragopan blythii,R
Temminck's Tragopan,Tragopan temminckii,R
Cabot's Tragopan,Tragopan caboti,R
Koklass Pheasant,Pucrasia macrolopha,R
Himalayan Monal,Lophophorus impejanus,R
Sclater's Monal,Lophophorus sclateri,R
Chinese Monal,Lophophorus lhuysii,R
Red Junglefowl,Gallus gallus,R
Grey Junglefowl,Gallus sonneratii,R
Sri Lanka Junglefowl,Gallus lafayetii,R
Green Junglefowl,Gallus varius,R
Kalij Pheasant,Lophura leucomelanos,R
Silver Pheasant,Lophura nycthemera,R
,Lophura imperialis,NR
Edwards's Pheasant,Lophura edwardsi,R
Vietnamese Pheasant,Lophura hatinhensis,R
Swinhoe's Pheasant,Lophura swinhoii,R
Aceh Pheasant,Lophura hoogerwerfi,R
Salvadori's Pheasant,Lophura inornata,R
Crestless Fireback,Lophura erythrophthalma,R
Crested Fireback,Lophura ignita,R
Siamese Fireback,Lophura diardi,R
Wattled Pheasant,Lophura bulweri,R
Tibetan Eared-pheasant,Crossoptilon harmani,R
White Eared-pheasant,Crossoptilon crossoptilon,R
Brown Eared-pheasant,Crossoptilon mantchuricum,R
Blue Eared-pheasant,Crossoptilon auritum,R
Cheer Pheasant,Catreus wallichi,R
Elliot's Pheasant,Syrmaticus ellioti,R
Hume's Pheasant,Syrmaticus humiae,R
Mikado Pheasant,Syrmaticus mikado,R
Copper Pheasant,Syrmaticus soemmerringii,R
Reeves's Pheasant,Syrmaticus reevesii,R
Common Pheasant,Phasianus colchicus,R
Green Pheasant,Phasianus versicolor,UR
Golden Pheasant,Chrysolophus pictus,R
Lady Amherst's Pheasant,Chrysolophus amherstiae,R
Bronze-tailed Peacock-pheasant,Polyplectron chalcurum,R
Mountain Peacock-pheasant,Polyplectron inopinatum,R
Germain's Peacock-pheasant,Polyplectron germaini,R
,Polyplectron bicalcaratum,NR
Grey Peacock-pheasant,Polyplectron bicalcaratum,R
Hainan Peacock-pheasant,Polyplectron katsumatae,R
Malayan Peacock-pheasant,Polyplectron malacense,R
Bornean Peacock-pheasant,Polyplectron schleiermacheri,R
Palawan Peacock-pheasant,Polyplectron napoleonis,R
Crested Argus,Rheinardia ocellata,R
Double-banded Argus,Argusianus bipunctatus,R
Great Argus,Argusianus argus,R
Indian Peafowl,Pavo cristatus,R
Green Peafowl,Pavo muticus,R
Congo Peafowl,Afropavo congensis,R
Horned Screamer,Anhima cornuta,R
Northern Screamer,Chauna chavaria,R
Southern Screamer,Chauna torquata,R
Magpie Goose,Anseranas semipalmata,R
