CommonNameV3,ScientificNameV3,Recognised
White-tipped Sicklebill,Eutoxeres aquila,R
Buff-tailed Sicklebill,Eutoxeres condamini,R
Bronzy Hermit,Glaucis aeneus,R
Rufous-breasted Hermit,Glaucis hirsutus,R
Hook-billed Hermit,Glaucis dohrnii,R
Sooty Barbthroat,Threnetes niger,R
,Threnetes loehkeni,NR
Band-tailed Barbthroat,Threnetes ruckeri,R
Pale-tailed Barbthroat,Threnetes leucurus,R
Broad-tipped Hermit,Anopetia gounellei,R
White-whiskered Hermit,Phaethornis yaruqui,R
Green Hermit,Phaethornis guy,R
Tawny-bellied Hermit,Phaethornis syrmatophorus,R
,Phaethornis superciliosus,NR
Long-tailed Hermit,Phaethornis superciliosus,R
Long-billed Hermit,Phaethornis longirostris,R
,Phaethornis margarettae,NR
Great-billed Hermit,Phaethornis malaris,R
Scale-throated Hermit,Phaethornis eurynome,R
White-bearded Hermit,Phaethornis hispidus,R
Pale-bellied Hermit,Phaethornis anthophilus,R
Straight-billed Hermit,Phaethornis bourcieri,R
Koepcke's Hermit,Phaethornis koepckeae,R
Needle-billed Hermit,Phaethornis philippii,R
,Phaethornis squalidus,NR
Dusky-throated Hermit,Phaethornis squalidus,R
Streak-throated Hermit,Phaethornis rupurumii,R
Sooty-capped Hermit,Phaethornis augusti,R
Planalto Hermit,Phaethornis pretrei,R
Buff-bellied Hermit,Phaethornis subochraceus,R
Cinnamon-throated Hermit,Phaethornis nattereri,R
Reddish Hermit,Phaethornis ruber,R
White-browed Hermit,Phaethornis stuarti,R
Grey-chinned Hermit,Phaethornis griseogularis,R
,Phaethornis porcullae,NR
,Phaethornis longuemareus,NR
Little Hermit,Phaethornis longuemareus,R
Stripe-throated Hermit,Phaethornis striigularis,R
Black-throated Hermit,Phaethornis atrimentalis,R
Minute Hermit,Phaethornis idaliae,R
Tooth-billed Hummingbird,Androdon aequatorialis,R
Blue-fronted Lancebill,Doryfera johannae,R
Green-fronted Lancebill,Doryfera ludovicae,R
Scaly-breasted Hummingbird,Phaeochroa cuvierii,R
Wedge-tailed Sabrewing,Campylopterus curvipennis,R
Long-tailed Sabrewing,Campylopterus excellens,R
Grey-breasted Sabrewing,Campylopterus largipennis,R
Rufous Sabrewing,Campylopterus rufus,R
Rufous-breasted Sabrewing,Campylopterus hyperythrus,R
Buff-breasted Sabrewing,Campylopterus duidae,R
Violet Sabrewing,Campylopterus hemileucurus,R
White-tailed Sabrewing,Campylopterus ensipennis,R
Lazuline Sabrewing,Campylopterus falcatus,R
Santa Marta Sabrewing,Campylopterus phainopeplus,R
Napo Sabrewing,Campylopterus villaviscensio,R
Sombre Hummingbird,Aphantochroa cirrochloris,R
Swallow-tailed Hummingbird,Eupetomena macroura,R
White-necked Jacobin,Florisuga mellivora,R
Black Jacobin,Florisuga fusca,R
Brown Violet-ear,Colibri delphinae,R
Green Violet-ear,Colibri thalassinus,R
Sparkling Violet-ear,Colibri coruscans,R
White-vented Violet-ear,Colibri serrirostris,R
Green-throated Mango,Anthracothorax viridigula,R
,Anthracothorax prevostii,NR
Green-breasted Mango,Anthracothorax prevostii,R
Veraguan Mango,Anthracothorax veraguensis,R
Black-throated Mango,Anthracothorax nigricollis,R
Jamaican Mango,Anthracothorax mango,R
Antillean Mango,Anthracothorax dominicus,R
Green Mango,Anthracothorax viridis,R
Fiery-tailed Awlbill,Avocettula recurvirostris,R
Fiery Topaz,Topaza pyra,R
Crimson Topaz,Topaza pella,R
Purple-throated Carib,Eulampis jugularis,R
Green-throated Carib,Eulampis holosericeus,R
Ruby-topaz Hummingbird,Chrysolampis mosquitus,R
Antillean Crested Hummingbird,Orthorhyncus cristatus,R
Violet-headed Hummingbird,Klais guimeti,R
Plovercrest,Stephanoxis lalandi,R
Emerald-chinned Hummingbird,Abeillia abeillei,R
Tufted Coquette,Lophornis ornatus,R
Dot-eared Coquette,Lophornis gouldii,R
Frilled Coquette,Lophornis magnificus,R
Short-crested Coquette,Lophornis brachylophus,R
Rufous-crested Coquette,Lophornis delattrei,R
Spangled Coquette,Lophornis stictolophus,R
Festive Coquette,Lophornis chalybeus,R
Peacock Coquette,Lophornis pavoninus,R
Black-crested Coquette,Lophornis helenae,R
White-crested Coquette,Lophornis adorabilis,R
Wire-crested Thorntail,Discosura popelairii,R
Black-bellied Thorntail,Discosura langsdorffi,R
Coppery Thorntail,Discosura letitiae,R
Green Thorntail,Discosura conversii,R
Racket-tailed Coquette,Discosura longicaudus,R
,Trochilus polytmus,NR
Red-billed Streamertail,Trochilus polytmus,R
Black-billed Streamertail,Trochilus scitulus,R
Blue-chinned Sapphire,Chlorestes notata,R
,Chlorostilbon canivetii,NR
Fork-tailed Emerald,Chlorostilbon canivetii,R
Golden-crowned Emerald,Chlorostilbon auriceps,R
Cozumel Emerald,Chlorostilbon forficatus,R
Gould's Emerald,Chlorostilbon elegans,R
Garden Emerald,Chlorostilbon assimilis,R
,Chlorostilbon mellisugus,NR
Blue-tailed Emerald,Chlorostilbon mellisugus,R
Western Emerald,Chlorostilbon melanorhynchus,R
Chiribiquete Emerald,Chlorostilbon olivaresi,R
Glittering-bellied Emerald,Chlorostilbon lucidus,R
Cuban Emerald,Chlorostilbon ricordii,R
Brace's Emerald,Chlorostilbon bracei,R
Hispaniolan Emerald,Chlorostilbon swainsonii,R
Puerto Rican Emerald,Chlorostilbon maugaeus,R
Red-billed Emerald,Chlorostilbon gibsoni,R
Coppery Emerald,Chlorostilbon russatus,R
Narrow-tailed Emerald,Chlorostilbon stenurus,R
Green-tailed Emerald,Chlorostilbon alice,R
Short-tailed Emerald,Chlorostilbon poortmani,R
Fiery-throated Hummingbird,Panterpe insignis,R
White-tailed Emerald,Elvira chionura,R
Coppery-headed Emerald,Elvira cupreiceps,R
White-tailed Hummingbird,Eupherusa poliocerca,R
Stripe-tailed Hummingbird,Eupherusa eximia,R
Blue-capped Hummingbird,Eupherusa cyanophrys,R
Black-bellied Hummingbird,Eupherusa nigriventris,R
Rufous-cheeked Hummingbird,Goethalsia bella,R
Violet-capped Hummingbird,Goldmania violiceps,R
Dusky Hummingbird,Cynanthus sordidus,R
Broad-billed Hummingbird,Cynanthus latirostris,R
Blue-headed Hummingbird,Cyanophaia bicolor,R
Mexican Woodnymph,Thalurania ridgwayi,R
Blue-crowned Woodnymph,Thalurania colombica,R
,Thalurania hypochlora,NR
Green-crowned Woodnymph,Thalurania fannyi,R
Fork-tailed Woodnymph,Thalurania furcata,R
Long-tailed Woodnymph,Thalurania watertonii,R
Violet-capped Woodnymph,Thalurania glaucopis,R
Violet-bellied Hummingbird,Damophila julie,R
Sapphire-throated Hummingbird,Lepidopyga coeruleogularis,R
Sapphire-bellied Hummingbird,Lepidopyga lilliae,R
Shining-green Hummingbird,Lepidopyga goudoti,R
Xantus's Hummingbird,Hylocharis xantusii,R
White-eared Hummingbird,Hylocharis leucotis,R
Blue-throated Goldentail,Hylocharis eliciae,R
Rufous-throated Sapphire,Hylocharis sapphirina,R
White-chinned Sapphire,Hylocharis cyanus,R
,Hylocharis pyropygia,NR
Gilded Hummingbird,Hylocharis chrysura,R
,Hylocharis grayi,NR
Blue-headed Sapphire,Hylocharis grayi,R
Humboldt's Sapphire,Hylocharis humboldtii,R
Golden-tailed Sapphire,Chrysuronia oenone,R
White-throated Hummingbird,Leucochloris albicollis,R
White-tailed Goldenthroat,Polytmus guainumbi,R
Tepui Goldenthroat,Polytmus milleri,R
Green-tailed Goldenthroat,Polytmus theresiae,R
Buffy Hummingbird,Leucippus fallax,R
Tumbes Hummingbird,Leucippus baeri,R
Spot-throated Hummingbird,Leucippus taczanowskii,R
Olive-spotted Hummingbird,Leucippus chlorocercus,R
Many-spotted Hummingbird,Taphrospilus hypostictus,R
Green-and-white Hummingbird,Amazilia viridicauda,R
White-bellied Hummingbird,Amazilia chionogaster,R
White-bellied Emerald,Amazilia candida,R
White-chested Emerald,Amazilia brevirostris,R
Versicoloured Emerald,Amazilia versicolor,R
Honduran Emerald,Amazilia luciae,R
Glittering-throated Emerald,Amazilia fimbriata,R
,Amazilia distans,NR
Sapphire-spangled Emerald,Amazilia lactea,R
Blue-chested Hummingbird,Amazilia amabilis,R
Charming Hummingbird,Amazilia decora,R
Purple-chested Hummingbird,Amazilia rosenbergi,R
Mangrove Hummingbird,Amazilia boucardi,R
Andean Emerald,Amazilia franciae,R
Plain-bellied Emerald,Amazilia leucogaster,R
Azure-crowned Hummingbird,Amazilia cyanocephala,R
Indigo-capped Hummingbird,Amazilia cyanifrons,R
Berylline Hummingbird,Amazilia beryllina,R
Blue-tailed Hummingbird,Amazilia cyanura,R
Steely-vented Hummingbird,Amazilia saucerrottei,R
Copper-rumped Hummingbird,Amazilia tobaci,R
Green-bellied Hummingbird,Amazilia viridigaster,R
Snowy-breasted Hummingbird,Amazilia edward,R
Cinnamon Hummingbird,Amazilia rutila,R
Buff-bellied Hummingbird,Amazilia yucatanensis,R
Rufous-tailed Hummingbird,Amazilia tzacatl,R
,Amazilia tzacatl,NR
,Amazilia handleyi,NR
Chestnut-bellied Hummingbird,Amazilia castaneiventris,R
Amazilia Hummingbird,Amazilia amazilia,R
Green-fronted Hummingbird,Amazilia viridifrons,R
Violet-crowned Hummingbird,Amazilia violiceps,R
Snowcap,Microchera albocoronata,R
Blossomcrown,Anthocephala floriceps,R
White-vented Plumeleteer,Chalybura buffonii,R
Bronze-tailed Plumeleteer,Chalybura urochrysia,R
Blue-throated Hummingbird,Lampornis clemenciae,R
Amethyst-throated Hummingbird,Lampornis amethystinus,R
Green-throated Mountain-gem,Lampornis viridipallens,R
Green-breasted Mountain-gem,Lampornis sybillae,R
White-bellied Mountain-gem,Lampornis hemileucus,R
,Lampornis castaneoventris,NR
White-throated Mountain-gem,Lampornis castaneoventris,R
Purple-throated Mountain-gem,Lampornis calolaemus,R
,Lampornis cinereicauda,NR
Garnet-throated Hummingbird,Lamprolaima rhami,R
Speckled Hummingbird,Adelomyia melanogenys,R
Ecuadorian Piedtail,Phlogophilus hemileucurus,R
Peruvian Piedtail,Phlogophilus harterti,R
Brazilian Ruby,Clytolaema rubricauda,R
Empress Brilliant,Heliodoxa imperatrix,R
Velvet-browed Brilliant,Heliodoxa xanthogonys,R
Pink-throated Brilliant,Heliodoxa gularis,R
Rufous-webbed Brilliant,Heliodoxa branickii,R
Black-throated Brilliant,Heliodoxa schreibersii,R
Gould's Jewelfront,Heliodoxa aurescens,R
Fawn-breasted Brilliant,Heliodoxa rubinoides,R
Green-crowned Brilliant,Heliodoxa jacula,R
Violet-fronted Brilliant,Heliodoxa leadbeateri,R
Magnificent Hummingbird,Eugenes fulgens,R
Scissor-tailed Hummingbird,Hylonympha macrocerca,R
Violet-chested Hummingbird,Sternoclyta cyanopectus,R
White-tailed Hillstar,Urochroa bougueri,R
Buff-tailed Coronet,Boissonneaua flavescens,R
Chestnut-breasted Coronet,Boissonneaua matthewsii,R
Velvet-purple Coronet,Boissonneaua jardini,R
Shining Sunbeam,Aglaeactis cupripennis,R
White-tufted Sunbeam,Aglaeactis castelnaudii,R
Purple-backed Sunbeam,Aglaeactis aliciae,R
Black-hooded Sunbeam,Aglaeactis pamela,R
Ecuadorian Hillstar,Oreotrochilus chimborazo,R
Andean Hillstar,Oreotrochilus estella,R
White-sided Hillstar,Oreotrochilus leucopleurus,R
Black-breasted Hillstar,Oreotrochilus melanogaster,R
Wedge-tailed Hillstar,Oreotrochilus adela,R
Mountain Velvetbreast,Lafresnaya lafresnayi,R
Bronzy Inca,Coeligena coeligena,R
Brown Inca,Coeligena wilsoni,R
Black Inca,Coeligena prunellei,R
Collared Inca,Coeligena torquata,R
White-tailed Starfrontlet,Coeligena phalerata,R
Dusky Starfrontlet,Coeligena orina,R
Golden-bellied Starfrontlet,Coeligena bonapartei,R
Blue-throated Starfrontlet,Coeligena helianthea,R
Buff-winged Starfrontlet,Coeligena lutetiae,R
Violet-throated Starfrontlet,Coeligena violifer,R
Rainbow Starfrontlet,Coeligena iris,R
Sword-billed Hummingbird,Ensifera ensifera,R
Great Sapphirewing,Pterophanes cyanopterus,R
Giant Hummingbird,Patagona gigas,R
Green-backed Firecrown,Sephanoides sephaniodes,R
Juan Fernandez Firecrown,Sephanoides fernandensis,R
Orange-throated Sunangel,Heliangelus mavors,R
,Heliangelus spencei,NR
,Heliangelus amethysticollis,NR
Amethyst-throated Sunangel,Heliangelus amethysticollis,R
Gorgeted Sunangel,Heliangelus strophianus,R
,Heliangelus exortis,NR
Tourmaline Sunangel,Heliangelus exortis,R
Little Sunangel,Heliangelus micraster,R
Purple-throated Sunangel,Heliangelus viola,R
Bogota Sunangel,Heliangelus zusii,R
Royal Sunangel,Heliangelus regalis,R
Black-breasted Puffleg,Eriocnemis nigrivestis,R
Glowing Puffleg,Eriocnemis vestita,R
Gorgeted Puffleg,Eriocnemis isabellae,R
Turquoise-throated Puffleg,Eriocnemis godini,R
Sapphire-vented Puffleg,Eriocnemis luciani,R
Coppery-bellied Puffleg,Eriocnemis cupreoventris,R
Golden-breasted Puffleg,Eriocnemis mosquera,R
Blue-capped Puffleg,Eriocnemis glaucopoides,R
Colourful Puffleg,Eriocnemis mirabilis,R
Emerald-bellied Puffleg,Eriocnemis alinae,R
Black-thighed Puffleg,Eriocnemis derbyi,R
,Haplophaedia aureliae,NR
Greenish Puffleg,Haplophaedia aureliae,R
Buff-thighed Puffleg,Haplophaedia assimilis,R
Hoary Puffleg,Haplophaedia lugens,R
Purple-bibbed Whitetip,Urosticte benjamini,R
Rufous-vented Whitetip,Urosticte ruficrissa,R
Booted Racket-tail,Ocreatus underwoodii,R
Black-tailed Trainbearer,Lesbia victoriae,R
Green-tailed Trainbearer,Lesbia nuna,R
Red-tailed Comet,Sappho sparganura,R
Bronze-tailed Comet,Polyonymus caroli,R
Purple-backed Thornbill,Ramphomicron microrhynchum,R
Black-backed Thornbill,Ramphomicron dorsale,R
Bearded Mountaineer,Oreonympha nobilis,R
Bearded Helmetcrest,Oxypogon guerinii,R
Viridian Metaltail,Metallura williami,R
Violet-throated Metaltail,Metallura baroni,R
Neblina Metaltail,Metallura odomae,R
Coppery Metaltail,Metallura theresiae,R
Fire-throated Metaltail,Metallura eupogon,R
Scaled Metaltail,Metallura aeneocauda,R
Black Metaltail,Metallura phoebe,R
Tyrian Metaltail,Metallura tyrianthina,R
Perija Metaltail,Metallura iracunda,R
Rufous-capped Thornbill,Chalcostigma ruficeps,R
Olivaceous Thornbill,Chalcostigma olivaceum,R
Blue-mantled Thornbill,Chalcostigma stanleyi,R
Bronze-tailed Thornbill,Chalcostigma heteropogon,R
Rainbow-bearded Thornbill,Chalcostigma herrani,R
Mountain Avocetbill,Opisthoprora euryptera,R
Grey-bellied Comet,Taphrolesbia griseiventris,R
,Aglaiocercus kingi,NR
Long-tailed Sylph,Aglaiocercus kingi,R
Venezuelan Sylph,Aglaiocercus berlepschi,R
Violet-tailed Sylph,Aglaiocercus coelestis,R
Hooded Visorbearer,Augastes lumachella,R
Hyacinth Visorbearer,Augastes scutatus,R
Wedge-billed Hummingbird,Schistes geoffroyi,R
Purple-crowned Fairy,Heliothryx barroti,R
Black-eared Fairy,Heliothryx auritus,R
Horned Sungem,Heliactin bilophus,R
Marvellous Spatuletail,Loddigesia mirabilis,R
Plain-capped Starthroat,Heliomaster constantii,R
Long-billed Starthroat,Heliomaster longirostris,R
Stripe-breasted Starthroat,Heliomaster squamosus,R
Blue-tufted Starthroat,Heliomaster furcifer,R
Oasis Hummingbird,Rhodopis vesper,R
Peruvian Sheartail,Thaumastura cora,R
Sparkling-tailed Hummingbird,Tilmatura dupontii,R
Slender Sheartail,Doricha enicura,R
Mexican Sheartail,Doricha eliza,R
Bahama Woodstar,Calliphlox evelynae,R
Magenta-throated Woodstar,Calliphlox bryantae,R
Purple-throated Woodstar,Calliphlox mitchellii,R
Amethyst Woodstar,Calliphlox amethystina,R
Slender-tailed Woodstar,Microstilbon burmeisteri,R
Lucifer Hummingbird,Calothorax lucifer,R
Beautiful Hummingbird,Calothorax pulcher,R
Bee Hummingbird,Mellisuga helenae,R
Vervain Hummingbird,Mellisuga minima,R
Ruby-throated Hummingbird,Archilochus colubris,R
Black-chinned Hummingbird,Archilochus alexandri,R
Anna's Hummingbird,Calypte anna,R
Costa's Hummingbird,Calypte costae,R
Bumblebee Hummingbird,Atthis heloisa,R
Wine-throated Hummingbird,Atthis ellioti,R
Purple-collared Woodstar,Myrtis fanny,R
Chilean Woodstar,Eulidia yarrellii,R
Short-tailed Woodstar,Myrmia micrura,R
White-bellied Woodstar,Chaetocercus mulsant,R
Little Woodstar,Chaetocercus bombus,R
Gorgeted Woodstar,Chaetocercus heliodor,R
Santa Marta Woodstar,Chaetocercus astreans,R
Esmeraldas Woodstar,Chaetocercus berlepschi,R
Rufous-shafted Woodstar,Chaetocercus jourdanii,R
Broad-tailed Hummingbird,Selasphorus platycercus,R
Rufous Hummingbird,Selasphorus rufus,R
Allen's Hummingbird,Selasphorus sasin,R
Volcano Hummingbird,Selasphorus flammula,R
Scintillant Hummingbird,Selasphorus scintilla,R
Glow-throated Hummingbird,Selasphorus ardens,R
Calliope Hummingbird,Stellula calliope,R
Speckled Mousebird,Colius striatus,R
White-headed Mousebird,Colius leucocephalus,R
Red-backed Mousebird,Colius castanotus,R
White-backed Mousebird,Colius colius,R
Blue-naped Mousebird,Urocolius macrourus,R
Red-faced Mousebird,Urocolius indicus,R
Narina Trogon,Apaloderma narina,R
Bare-cheeked Trogon,Apaloderma aequatoriale,R
Bar-tailed Trogon,Apaloderma vittatum,R
,Harpactes reinwardtii,NR
Malabar Trogon,Harpactes fasciatus,R
Red-naped Trogon,Harpactes kasumba,R
Diard's Trogon,Harpactes diardii,R
Philippine Trogon,Harpactes ardens,R
Whitehead's Trogon,Harpactes whiteheadi,R
Cinnamon-rumped Trogon,Harpactes orrhophaeus,R
Scarlet-rumped Trogon,Harpactes duvaucelii,R
Orange-breasted Trogon,Harpactes oreskios,R
Red-headed Trogon,Harpactes erythrocephalus,R
Ward's Trogon,Harpactes wardi,R
Javan Trogon,Apalharpactes reinwardtii,R
Sumatran Trogon,Apalharpactes mackloti,R
Cuban Trogon,Priotelus temnurus,R
Hispaniolan Trogon,Priotelus roseigaster,R
Green-backed Trogon,Trogon viridis,R
White-tailed Trogon,Trogon chionurus,R
Slaty-tailed Trogon,Trogon massena,R
,Trogon melanurus,NR
Black-tailed Trogon,Trogon melanurus,R
Ecuadorian Trogon,Trogon mesurus,R
Lattice-tailed Trogon,Trogon clathratus,R
White-eyed Trogon,Trogon comptus,R
Baird's Trogon,Trogon bairdii,R
,Trogon viridis,NR
Citreoline Trogon,Trogon citreolus,R
Black-headed Trogon,Trogon melanocephalus,R
Mountain Trogon,Trogon mexicanus,R
Elegant Trogon,Trogon elegans,R
Collared Trogon,Trogon collaris,R
Orange-bellied Trogon,Trogon aurantiiventris,R
Masked Trogon,Trogon personatus,R
Black-throated Trogon,Trogon rufus,R
Surucua Trogon,Trogon surrucura,R
Blue-crowned Trogon,Trogon curucui,R
,Trogon violaceus,NR
Violaceous Trogon,Trogon violaceus,R
Gartered Trogon,Trogon caligatus,R
Eared Quetzal,Euptilotis neoxenus,R
Resplendent Quetzal,Pharomachrus mocinno,R
Crested Quetzal,Pharomachrus antisianus,R
White-tipped Quetzal,Pharomachrus fulgidus,R
Golden-headed Quetzal,Pharomachrus auriceps,R
Pavonine Quetzal,Pharomachrus pavoninus,R
European Roller,Coracias garrulus,R
Abyssinian Roller,Coracias abyssinicus,R
Lilac-breasted Roller,Coracias caudatus,R
Racket-tailed Roller,Coracias spatulatus,R
Rufous-crowned Roller,Coracias naevia,R
Indian Roller,Coracias benghalensis,R
Purple-winged Roller,Coracias temminckii,R
Blue-bellied Roller,Coracias cyanogaster,R
Broad-billed Roller,Eurystomus glaucurus,R
Blue-throated Roller,Eurystomus gularis,R
Asian Dollarbird,Eurystomus orientalis,R
Purple Dollarbird,Eurystomus azureus,R
Short-legged Ground-roller,Brachypteracias leptosomus,R
Scaly Ground-roller,Brachypteracias squamiger,R
Pitta-like Ground-roller,Atelornis pittoides,R
Rufous-headed Ground-roller,Atelornis crossleyi,R
Long-tailed Ground-roller,Uratelornis chimaera,R
Cuckoo-roller,Leptosomus discolor,R
Moustached Kingfisher,Actenoides bougainvillei,R
Rufous-collared Kingfisher,Actenoides concretus,R
Spotted Kingfisher,Actenoides lindsayi,R
Blue-capped Kingfisher,Actenoides hombroni,R
Green-backed Kingfisher,Actenoides monachus,R
Scaly Kingfisher,Actenoides princeps,R
Hook-billed Kingfisher,Melidora macrorrhina,R
Banded Kingfisher,Lacedo pulchella,R
Little Paradise-kingfisher,Tanysiptera hydrocharis,R
Common Paradise-kingfisher,Tanysiptera galatea,R
Kofiau Paradise-kingfisher,Tanysiptera ellioti,R
Biak Paradise-kingfisher,Tanysiptera riedelii,R
Numfor Paradise-kingfisher,Tanysiptera carolinae,R
Red-breasted Paradise-kingfisher,Tanysiptera nympha,R
Brown-headed Paradise-kingfisher,Tanysiptera danae,R
Buff-breasted Paradise-kingfisher,Tanysiptera sylvia,R
Lilac-cheeked Kingfisher,Cittura cyanotis,R
Shovel-billed Kookaburra,Clytoceyx rex,R
Laughing Kookaburra,Dacelo novaeguineae,R
Blue-winged Kookaburra,Dacelo leachii,R
Spangled Kookaburra,Dacelo tyro,R
Rufous-bellied Kookaburra,Dacelo gaudichaud,R
White-rumped Kingfisher,Caridonax fulgidus,R
Brown-winged Kingfisher,Pelargopsis amauroptera,R
Stork-billed Kingfisher,Pelargopsis capensis,R
Black-billed Kingfisher,Pelargopsis melanorhyncha,R
Ruddy Kingfisher,Halcyon coromanda,R
Chocolate-backed Kingfisher,Halcyon badia,R
White-throated Kingfisher,Halcyon smyrnensis,R
Black-capped Kingfisher,Halcyon pileata,R
Javan Kingfisher,Halcyon cyanoventris,R
Grey-headed Kingfisher,Halcyon leucocephala,R
Woodland Kingfisher,Halcyon senegalensis,R
Mangrove Kingfisher,Halcyon senegaloides,R
Blue-breasted Kingfisher,Halcyon malimbica,R
Brown-hooded Kingfisher,Halcyon albiventris,R
Striped Kingfisher,Halcyon chelicuti,R
Blue-black Kingfisher,Todiramphus nigrocyaneus,R
Rufous-lored Kingfisher,Todiramphus winchelli,R
Blue-and-white Kingfisher,Todiramphus diops,R
Lazuli Kingfisher,Todiramphus lazuli,R
Forest Kingfisher,Todiramphus macleayii,R
New Britain Kingfisher,Todiramphus albonotatus,R
Ultramarine Kingfisher,Todiramphus leucopygius,R
Chestnut-bellied Kingfisher,Todiramphus farquhari,R
Red-backed Kingfisher,Todiramphus pyrrhopygius,R
Flat-billed Kingfisher,Todiramphus recurvirostris,R
Micronesian Kingfisher,Todiramphus cinnamominus,R
,Todiramphus miyakoensis,NR
Sombre Kingfisher,Todiramphus funebris,R
Collared Kingfisher,Todiramphus chloris,R
Talaud Kingfisher,Todiramphus enigma,R
Beach Kingfisher,Todiramphus saurophaga,R
Cinnamon-banded Kingfisher,Todiramphus australasia,R
Sacred Kingfisher,Todiramphus sanctus,R
Tahiti Kingfisher,Todiramphus veneratus,R
Mangaia Kingfisher,Todiramphus ruficollaris,R
Chattering Kingfisher,Todiramphus tutus,R
Marquesan Kingfisher,Todiramphus godeffroyi,R
Tuamotu Kingfisher,Todiramphus gambieri,R
Yellow-billed Kingfisher,Syma torotoro,R
Mountain Kingfisher,Syma megarhyncha,R
Variable Kingfisher,Ceyx lepidus,R
Black-backed Kingfisher,Ceyx erithaca,R
Rufous-backed Kingfisher,Ceyx rufidorsa,R
Philippine Dwarf-kingfisher,Ceyx melanurus,R
Sulawesi Kingfisher,Ceyx fallax,R
Madagascar Pygmy-kingfisher,Ceyx madagascariensis,R
African Pygmy-kingfisher,Ceyx pictus,R
African Dwarf-kingfisher,Ceyx lecontei,R
Blyth's Kingfisher,Alcedo hercules,R
Common Kingfisher,Alcedo atthis,R
Half-collared Kingfisher,Alcedo semitorquata,R
Shining Blue Kingfisher,Alcedo quadribrachys,R
Blue-eared Kingfisher,Alcedo meninting,R
Azure Kingfisher,Alcedo azurea,R
Bismarck Kingfisher,Alcedo websteri,R
Blue-banded Kingfisher,Alcedo euryzona,R
Indigo-banded Kingfisher,Alcedo cyanopectus,R
Silvery Kingfisher,Alcedo argentata,R
,Alcedo cristata,NR
Malachite Kingfisher,Alcedo cristata,R
,Alcedo cristata,NR
Madagascar Kingfisher,Alcedo vintsioides,R
,Alcedo thomensis,NR
,Alcedo nais,NR
White-bellied Kingfisher,Alcedo leucogaster,R
,Alcedo leucogaster,NR
Small Blue Kingfisher,Alcedo coerulescens,R
Little Kingfisher,Alcedo pusilla,R
Amazon Kingfisher,Chloroceryle amazona,R
Green Kingfisher,Chloroceryle americana,R
Green-and-rufous Kingfisher,Chloroceryle inda,R
American Pygmy Kingfisher,Chloroceryle aenea,R
Crested Kingfisher,Megaceryle lugubris,R
Giant Kingfisher,Megaceryle maxima,R
Ringed Kingfisher,Megaceryle torquata,R
Belted Kingfisher,Megaceryle alcyon,R
Pied Kingfisher,Ceryle rudis,R
Cuban Tody,Todus multicolor,R
Narrow-billed Tody,Todus angustirostris,R
Puerto Rican Tody,Todus mexicanus,R
Jamaican Tody,Todus todus,R
Broad-billed Tody,Todus subulatus,R
Tody Motmot,Hylomanes momotula,R
Blue-throated Motmot,Aspatha gularis,R
Russet-crowned Motmot,Momotus mexicanus,R
Blue-crowned Motmot,Momotus momota,R
,Momotus momota,NR
,Momotus aequatorialis,NR
Rufous Motmot,Baryphthengus martii,R
Rufous-capped Motmot,Baryphthengus ruficapillus,R
Broad-billed Motmot,Electron platyrhynchum,R
Keel-billed Motmot,Electron carinatum,R
Turquoise-browed Motmot,Eumomota superciliosa,R
Red-bearded Bee-eater,Nyctyornis amictus,R
Blue-bearded Bee-eater,Nyctyornis athertoni,R
Purple-bearded Bee-eater,Meropogon forsteni,R
Black Bee-eater,Merops gularis,R
Blue-headed Bee-eater,Merops muelleri,R
Red-throated Bee-eater,Merops bulocki,R
White-fronted Bee-eater,Merops bullockoides,R
Little Bee-eater,Merops pusillus,R
Blue-breasted Bee-eater,Merops variegatus,R
Cinnamon-chested Bee-eater,Merops oreobates,R
Swallow-tailed Bee-eater,Merops hirundineus,R
Black-headed Bee-eater,Merops breweri,R
Somali Bee-eater,Merops revoilii,R
White-throated Bee-eater,Merops albicollis,R
Little Green Bee-eater,Merops orientalis,R
Boehm's Bee-eater,Merops boehmi,R
Blue-throated Bee-eater,Merops viridis,R
Blue-cheeked Bee-eater,Merops persicus,R
Madagascar Bee-eater,Merops superciliosus,R
Blue-tailed Bee-eater,Merops philippinus,R
Rainbow Bee-eater,Merops ornatus,R
European Bee-eater,Merops apiaster,R
Chestnut-headed Bee-eater,Merops leschenaulti,R
Rosy Bee-eater,Merops malimbicus,R
Northern Carmine Bee-eater,Merops nubicus,R
Southern Carmine Bee-eater,Merops nubicoides,R
St Helena Hoopoe,Upupa antaios,R
,Upupa epops,NR
Eurasian Hoopoe,Upupa epops,R
,Upupa africana,NR
Madagascar Hoopoe,Upupa marginata,R
Green Woodhoopoe,Phoeniculus purpureus,R
Violet Woodhoopoe,Phoeniculus damarensis,R
Black-billed Woodhoopoe,Phoeniculus somaliensis,R
White-headed Woodhoopoe,Phoeniculus bollei,R
Forest Woodhoopoe,Phoeniculus castaneiceps,R
Black Scimitarbill,Rhinopomastus aterrimus,R
Common Scimitarbill,Rhinopomastus cyanomelas,R
Abyssinian Scimitarbill,Rhinopomastus minor,R
,Anorrhinus tickelli,NR
Tickell's Brown Hornbill,Anorrhinus tickelli,R
Austen's Brown Hornbill,Anorrhinus austeni,R
Bushy-crested Hornbill,Anorrhinus galeritus,R
