"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974"
"69","Columba livia","Rock Pigeon","gus’yá kindachooneidí","Columbidae","Columbiformes",23.2,12.1,4.3,5,26.5,219.6,98.8,120.4,45.1,105.5,354.2,"Columba livia","Columba livia","Rock Dove","Columbidae","Tlingit",69,"Columbiformes"
"70","Lagopus muta","Rock Ptarmigan","shaayadaa x’eis’awáayi","Phasianidae","Galliformes",18.9,9.8,6.8,7.5,30.5,188.6,85.8,100.2,46.1,89.8,535.3,"Lagopus muta","Lagopus mutus","Rock Ptarmigan","Tetraonidae","Tlingit",70,"Galliformes"
"71","Buteo lagopus","Rough-legged Hawk","k’ákw","Accipitridae","Accipitriformes",34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,"Buteo lagopus","Buteo lagopus","Rough-legged Hawk","Accipitridae","Tlingit",71,"Falconiformes"
"72","Bonasa umbellus","Ruffed Grouse","kus’oolgé","Phasianidae","Galliformes",25.4,13.3,10,9.7,42.2,183.2,69.8,112.2,38.3,152,530.9,"Bonasa umbellus","Bonasa umbellus","Ruffed Grouse","Tetraonidae","Tlingit",72,"Galliformes"
"73","Selasphorus rufus","Rufous Hummingbird","dagitgiyáa","Trochilidae","Caprimulgiformes",20.4,15.4,1.6,1.7,2.5,40.7,28.2,13.9,67,29.8,3.5,"Selasphorus rufus","Selasphorus rufus","Rufous Hummingbird","Trochilidae","Tlingit",73,"Apodiformes"
"74","Antigone canadensis","Sandhill Crane","dool","Gruidae","Gruiformes",122.9,67.4,10.2,15.9,216.2,477.8,210,270,43.8,175.4,4296.2,"Grus canadensis","Grus canadensis","Sandhill Crane","Gruidae","Tlingit",74,"Gruiformes"
"75","Charadrius semipalmatus","Semipalmated Plover","sedaadak’éedaa","Charadriidae","Charadriiformes",14.5,8.5,3.2,3.7,22.9,118.4,65,51,56,51.8,46.7,"Charadrius semipalmatus","Charadrius semipalmatus","Semipalmated Plover","Charadriidae","Tlingit",75,"Charadriiformes"
"76","Asio flammeus","Short-eared Owl","xéex","Strigidae","Strigiformes",27.3,13.7,9,13,42.5,297.2,141,156.2,47.5,146.5,322.6,"Asio flammeus","Asio flammeus","Short-eared Owl","Strigidae","Tlingit",76,"Strigiformes"
"77","Bubo scandiacus","Snowy Owl","kéigán","Strigidae","Strigiformes",44.3,22.2,14.9,22.1,62.2,418.8,172,246.8,41.1,215,2028.8,"Bubo scandiaca","Nyctea scandiaca","Snowy Owl","Strigidae","Tlingit",77,"Strigiformes"
"78","Melospiza melodia","Song Sparrow","tlagoo ts’ats’éeyee","Passerellidae","Passeriformes",13.4,8.5,5.3,6.7,21.5,66.3,13.2,52.6,20.1,67.2,21.9,"Melospiza melodia","Zonotrichia melodia","Song Sparrow","Fringillidae","Tlingit",78,"Passeriformes"
