"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974"
"1","Onychoprion aleuticus","Aleutian Tern","kootl’éet’aa","Laridae","Charadriiformes",37.3,23.2,4.1,6.5,17.3,262.2,185,82,69.3,152.4,120,"Sterna aleutica","Sterna aleutica","Aleutian Tern","Laridae","Tlingit",1,"Charadriiformes"
"2","Cinclus mexicanus","American Dipper","hinyikl’eixí","Cinclidae","Passeriformes",21.6,11.7,3.4,4.8,29.8,89.1,23.6,65.3,26.5,51.8,56.7,"Cinclus mexicanus","Cinclus mexicanus","American Dipper","Cinclidae","Tlingit",2,"Passeriformes"
"3","Falco sparverius","American Kestrel","k’ákw","Falconidae","Falconiformes",17.1,11,8.4,10.1,33.7,182.4,77.9,100.1,43.7,126.5,114.6,"Falco sparverius","Falco sparverius","American Kestrel","Falconidae","Tlingit",3,"Falconiformes"
"4","Synthliboramphus antiquus","Ancient Murrelet","káax","Alcidae","Charadriiformes",23.6,12.7,5,7.1,25.9,135.5,70.2,65.2,51.9,35.5,217.7,"Synthliboramphus antiquus","Synthliboramphus antiquus","Ancient Murrelet","Alcidae","Tlingit",4,"Charadriiformes"
"5","Calypte anna","Anna's Hummingbird","dagitgiyáa","Trochilidae","Caprimulgiformes",20.6,15.7,1.6,1.7,4.6,49,32.1,16.9,65.6,30,4.2,"Calypte anna","Calypte anna","Anna's Hummingbird","Trochilidae","Tlingit",5,"Apodiformes"
"6","Sterna paradisaea","Arctic Tern","kootl’éet’aa","Laridae","Charadriiformes",37.8,22.8,3.8,7,16.1,262.7,181.1,80.9,69.1,179.6,110,"Sterna paradisaea","Sterna paradisaea","Arctic Tern","Laridae","Tlingit",6,"Charadriiformes"
"7","Haliaeetus leucocephalus","Bald Eagle","ch’áak’","Accipitridae","Accipitriformes",76,48.2,24,34.1,81.7,601.8,248.8,353,41.4,294,4700.6,"Haliaeetus leucocephalus","Haliaeetus leucocephalus","Bald Eagle","Accipitridae","Tlingit",7,"Falconiformes"
"8","Hirundo rustica","Barn Swallow","séewkooshdaneit","Hirundinidae","Passeriformes",12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,"Hirundo rustica","Hirundo rustica","Barn Swallow","Hirundinidae","Tlingit",8,"Passeriformes"
"9","Bucephala islandica","Barrow's Goldeneye","hinyik-gáaxu","Anatidae","Anseriformes",34.9,18.2,16.6,12.7,38.2,221.7,103,115,47.2,86,921.2,"Bucephala islandica","Bucephala islandica","Barrow's Goldeneye","Anatidae","Tlingit",9,"Anseriformes"
"10","Megaceryle alcyon","Belted Kingfisher","tlaxaneis’","Alcedinidae","Coraciiformes",58.6,44.8,9.5,13.4,12.5,158.8,53.2,105,33.6,94.3,148,"Megaceryle alcyon","Ceryle alcyon","Belted Kingfisher","Alcedinidae","Tlingit",10,"Coraciiformes"
"11","Haematopus bachmani","Black Oystercatcher","lugán","Haematopodidae","Charadriiformes",77.5,58.5,8.1,11.5,49.8,247.4,103.8,142.2,42.2,99.2,582,"Haematopus bachmani","Haematopus bachmani","Black Oystercatcher","Haematopodidae","Tlingit",11,"Charadriiformes"
"12","Arenaria melanocephala","Black Turnstone","x’at’daayéejayi","Scolopacidae","Charadriiformes",25.4,15.2,3.8,5,25.8,142,72.5,69.5,51.1,61.2,126.2,"Arenaria melanocephala","Arenaria melanocephala","Black Turnstone","Charadriidae","Tlingit",12,"Charadriiformes"
"13","Poecile atricapillus","Black-capped Chickadee","kaatoowú","Paridae","Passeriformes",10.3,7.2,3.7,4,16.8,64.4,12,52.5,18.6,61.7,10.8,"Parus atricapillus","Parus atricapillus","Black-capped Chickadee","Paridae","Tlingit",13,"Passeriformes"
"14","Phoebastria nigripes","Black-footed Albatross","kichyaat","Diomedeidae","Procellariiformes",101.2,67.8,23.8,30.8,87.4,476,313.2,171.2,64.7,136,3188.4,"Phoebastria nigripes","Diomedea nigripes","Black-footed Albatross","Diomedeidae","Tlingit",14,"Procellariiformes "
"15","Rissa tridactyla","Black-legged Kittiwake","k’eikw’w","Laridae","Charadriiformes",44.5,18.8,5.3,10.8,33.9,301,179.1,122.9,59.4,116,416,"Rissa tridactyla","Rissa tridactyla","Black-legged Kittiwake","Laridae","Tlingit",15,"Charadriiformes"
"16","Chroicocephalus philadelphia","Bonaparte's Gull","kootl’éet’aa","Laridae","Charadriiformes",35,16.2,3.6,6.6,32.3,259.4,153.2,106.5,59,95.6,210.7,"Larus philadelphia","Larus philadelphia","Bonaparte's Gull","Laridae","Tlingit",16,"Charadriiformes"
"17","Aegolius funereus","Boreal Owl","xéex","Strigidae","Strigiformes",18.2,11,7.9,10.5,23.4,169.1,53.2,115.9,31.5,102.5,137.2,"Aegolius funereus","Aegolius funereus","Tengmalm's Owl","Strigidae","Tlingit",17,"Strigiformes"
"18","Bucephala albeola","Bufflehead","hintakx’was’gi","Anatidae","Anseriformes",28.8,18.9,12.9,9.9,30.1,160.8,75,83.5,47.4,65.4,397.5,"Bucephala albeola","Bucephala albeola","Bufflehead","Anatidae","Tlingit",18,"Anseriformes"
"19","Perisoreus canadensis","Canada Jay","kooyéix","Corvidae","Passeriformes",24.6,14.3,9,8.6,36.3,150.4,27.2,123.2,18.1,135.9,71.6,"Perisoreus canadensis","Perisoreus canadensis","Gray Jay","Corvidae","Tlingit",19,"Passeriformes"
"20","Aythya valisineria","Canvasback","atsik’íye","Anatidae","Anseriformes",58.5,37,18.8,13.4,37.9,223.5,93.4,130.1,42,52.8,1202,"Aythya valisineria","Aythya valisineria","Canvasback","Anatidae","Tlingit",20,"Anseriformes"
"21","Ptychoramphus aleuticus","Cassin's Auklet","káax","Alcidae","Charadriiformes",24,13.2,6.6,8.5,23.5,121,49.2,71.8,40.7,32.2,184,"Ptychoramphus aleuticus","Ptychoramphus aleuticus","Cassin's Auklet","Alcidae","Tlingit",21,"Charadriiformes"
"22","Poecile rufescens","Chestnut-backed Chickadee","kaatoowú","Paridae","Passeriformes",10.8,6.7,2.8,3.2,15.8,61.1,10.9,50.2,17.8,47,9.4,"Parus rufescens","Parus rufescens","Chestnut-backed Chickadee","Paridae","Tlingit",22,"Passeriformes"
"23","Petrochelidon pyrrhonota","Cliff Swallow","séewkooshdaneit","Hirundinidae","Passeriformes",11.3,5.9,4.5,3,12.6,109.3,54.2,56.4,49,49.2,21.6,"Petrochelidon pyrrhonota","Petrochelidon pyrrhonota","Cliff Swallow","Hirundinidae","Tlingit",23,"Passeriformes"
"24","Bucephala clangula","Common Goldeneye","hinyik-gáaxu","Anatidae","Anseriformes",38.1,17.7,16.1,11.9,34.1,208.7,105.4,99.4,51.4,82,918.6,"Bucephala clangula","Bucephala clangula","Common Goldeneye","Anatidae","Tlingit",24,"Anseriformes"
"25","Gavia immer","Common Loon","kagit","Gaviidae","Gaviiformes",97,60.1,10.5,23,86.1,365.2,178,183.2,49.3,59,4956.8,"Gavia immer","Gavia immer","Common Loon","Gaviidae","Tlingit",25,"Gaviiformes"
"26","Mergus merganser","Common Merganser","salxúts","Anatidae","Anseriformes",69.4,38.4,10.4,11.7,50.9,270.8,123.8,145.7,46,107.2,1451,"Mergus merganser","Mergus merganser","Common Merganser","Anatidae","Tlingit",26,"Anseriformes"
"27","Uria aalge","Common Murre","keel","Alcidae","Charadriiformes",56.8,37.3,8.1,13.3,35.9,196.3,111.2,82.2,57.5,49.8,991.9,"Uria aalge","Uria aalge","Common Murre","Alcidae","Tlingit",27,"Charadriiformes"
"28","Corvus corax","Common Raven","yéil","Corvidae","Passeriformes",77,49.2,21.9,27.9,67.1,419.7,167.2,252.7,39.8,228.7,928,"Corvus corax","Corvus corax","Northern Raven","Corvidae","Tlingit",28,"Passeriformes"
"29","Nannopterum auritum","Double-crested Cormorant","x’adaax’aan","Phalacrocoracidae","Suliformes",68.2,49.8,12,17,64.2,311.8,126.8,185,40.8,154.2,1806.5,"Phalacrocorax auritus","Phalacrocorax auritus","Double-crested Cormorant","Phalacrocoracidae","Tlingit",29,"Pelecaniformes"
"30","Dryobates pubescens","Downy Woodpecker","gandaadagóogu","Picidae","Piciformes",17.4,12.2,4.9,4.8,15.8,91.3,24.3,65.9,27,58.6,25.6,"Picoides pubescens","Dendrocopos pubescens","Downy Woodpecker","Picidae","Tlingit",30,"Piciformes"
"31","Calidris alpina","Dunlin","hinxukadzéedzi","Scolopacidae","Charadriiformes",36.9,28.1,2.9,4.3,24.7,115.1,61.6,53.7,53.4,48.6,51.9,"Calidris alpina","Calidris alpina","Dunlin","Scolopacidae","Tlingit",31,"Charadriiformes"
"32","Hydrobates furcatus","Fork-tailed Storm-Petrel","ganook","Hydrobatidae","Procellariiformes",17.1,10.1,3,5.1,25.3,155.6,93.8,60.8,60.8,90,59.7,"Oceanodroma furcata","Oceanodroma furcata","Fork-tailed Storm Petrel","Hydrobatidae","Tlingit",32,"Procellariiformes "
"33","Larus glaucescens","Glaucous-winged Gull","kéidladi","Laridae","Charadriiformes",69.8,25.2,9.2,19.7,65.2,411.8,218.2,193.5,53,166,1056.5,"Larus glaucescens","Larus glaucescens","Glaucous-winged Gull","Laridae","Tlingit",33,"Charadriiformes"
"34","Aquila chrysaetos","Golden Eagle","kijook","Accipitridae","Accipitriformes",56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4248,"Aquila chrysaetos","Aquila chrysaetos","Golden Eagle","Accipitridae","Tlingit",34,"Falconiformes"
"35","Ardea herodias","Great Blue Heron","lax’","Ardeidae","Pelecaniformes",143.9,106,15.9,24.2,167.6,466.4,169.5,294,36.6,165.3,2523.4,"Ardea herodias","Ardea herodias","Great Blue Heron","Ardeidae","Tlingit",35,"Ciconiiformes"
"36","Aythya marila","Greater Scaup","atsik’íye","Anatidae","Anseriformes",47.8,29.7,22.9,14.3,34.2,213.5,104.1,108.9,48.9,53.5,1005.4,"Aythya marila","Aythya marila","Greater Scaup","Anatidae","Tlingit",36,"Anseriformes"
"37","Tringa melanoleuca","Greater Yellowlegs","séitaa tlein","Scolopacidae","Charadriiformes",59.9,45.9,4.8,6,60.5,194.5,97.6,96.9,50.2,79.8,161.7,"Tringa melanoleuca","Tringa melanoleucus","Greater Yellowlegs","Scolopacidae","Tlingit",37,"Charadriiformes"
"38","Anas crecca","Green-winged Teal","s’elasheesh","Anatidae","Anseriformes",36.2,29.2,11.8,11.4,26.4,178.8,95.1,84.2,53.1,61.5,341.9,"Anas crecca","Anas crecca","Green-winged Teal","Anatidae","Tlingit",38,"Anseriformes"
"39","Dryobates villosus","Hairy Woodpecker","gandaadagóogu","Picidae","Piciformes",31.6,24.1,8.2,8.1,23.1,126.7,32.4,95.5,25.3,81.7,62.7,"Picoides villosus","Dendrocopos villosus","Hairy Woodpecker","Picidae","Tlingit",39,"Piciformes"
"40","Histrionicus histrionicus","Harlequin Duck","s’ús’","Anatidae","Anseriformes",27.3,16.9,12.7,10.5,33,194,95,95,50,87.5,561.6,"Histrionicus histrionicus","Histrionicus histrionicus","Harlequin Duck","Anatidae","Tlingit",40,"Anseriformes"
"41","Catharus guttatus","Hermit Thrush","ts’ats’ée tlein","Turdidae","Passeriformes",18.8,9.2,3.4,3.7,28.9,89,24,65.3,26.9,67.7,30.1,"Catharus guttatus","Catharus guttatus","Hermit Thrush","Turdidae","Tlingit",41,"Passeriformes"
"42","Larus argentatus","Herring Gull","kéidladi","Laridae","Charadriiformes",70.5,25.3,8.8,18.5,64.9,429,236.3,193.8,54.9,168.5,1091,"Larus argentatus","Larus argentatus","Herring Gull","Laridae","Tlingit",42,"Charadriiformes"
"43","Eremophila alpestris","Horned Lark","x’aakats’ítsgu","Alaudidae","Passeriformes",13.9,9.2,4.2,5,23.5,108.1,41.7,66.2,38.6,71.4,33.3,"Eremophila alpestris","Eremophila alpestris","Horned Lark","Alaudidae","Tlingit",43,"Passeriformes"
"44","Fratercula corniculata","Horned Puffin","lugwát","Alcidae","Charadriiformes",51,16.8,7.3,31.6,32.1,185.5,96.8,88.4,52.3,63.3,536.1,"Fratercula corniculata","Fratercula corniculata","Horned Puffin","Alcidae","Tlingit",44,"Charadriiformes"
"45","Brachyramphus brevirostris","Kittlitz's Murrelet","káax","Alcidae","Charadriiformes",20.7,9.7,3.7,5.4,15.3,138,73.6,64.4,53.2,36.8,234,"Brachyramphus brevirostris","Brachyramphus brevirostris","Kittlitz's Murrelet","Alcidae","Tlingit",45,"Charadriiformes"
"46","Calidris minutilla","Least Sandpiper","gus’yadóoli","Scolopacidae","Charadriiformes",20.3,15.1,2.4,3.2,18.4,86.4,32.1,53.1,37.7,39.2,22.9,"Calidris minutilla","Calidris minutilla","Least Sandpiper","Scolopacidae","Tlingit",46,"Charadriiformes"
"47","Aythya affinis","Lesser Scaup","atsik’íye","Anatidae","Anseriformes",47.3,29.4,19.6,13.4,34.9,198.2,101,97,51,53.4,819.5,"Aythya affinis","Aythya affinis","Lesser Scaup","Anatidae","Tlingit",47,"Anseriformes"
