ScientificName2022,CommonName2022,Family2022,ScientificName2023,CommonName2023,Family2023,
Mirafra javanica,Horsfield's Bushlark,Alaudidae,Mirafra javanica,Singing Bushlark,Alaudidae,
Mirafra javanica [javanica Group],Horsfield's Bushlark (Australasian),Alaudidae,Mirafra javanica [javanica Group],Singing Bushlark (Australasian),Alaudidae,
Dicaeum hirundinaceum,Mistletoebird,Dicaeidae,,,,
Dicaeum hirundinaceum hirundinaceum,Mistletoebird (Mistletoebird),Dicaeidae,Dicaeum hirundinaceum,Mistletoebird,Dicaeidae,
Cinnyris jugularis,Olive-backed Sunbird,Nectariniidae,,,,
,,,Cinnyris jugularis,Garden Sunbird,Nectariniidae,
,,,Cinnyris frenatus,Sahul Sunbird,Nectariniidae,
Cinnyris jugularis [frenatus Group],Olive-backed Sunbird (Yellow-faced),Nectariniidae,,,,
Ardea/Egretta/Bubulcus sp.,white egret sp.,Ardeidae,Egretta/Bubulcus/Ardea sp.,white egret sp.,Ardeidae,
Passeriformes sp.,passerine sp.,Thraupidae,Passeriformes sp.,passerine sp.,Passeriformes sp.,
Charadriiformes sp.,shorebird sp.,Glareolidae,,,,
Aves sp.,bird sp.,Thraupidae,Aves sp.,bird sp.,Aves sp.,
,,,Poodytes/Cincloramphus/Megalurus sp.,Poodytes/Cincloramphus/Megalurus sp.,Locustellidae,
Poodytes/Cincloramphus sp.,Poodytes/Cincloramphus sp.,Locustellidae,,,,
,,,Apus/Tachymarptis sp.,Apus/Tachymarptis sp.,Apodidae,
