"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974"
"50","Contopus pertinax","Greater Pewee","pédrǐt","Tyrannidae","Passeriformes",23,13.4,7.8,5.6,17,108.3,30,77.6,28.3,83,27.2,"Contopus pertinax","Contopus pertinas","Coue's Flycatcher","Tyrannidae","Zapotec",50,"Passeriformes"
"51","Ramosomyia viridifrons","Green-fronted Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",23.9,21.1,3,2.4,4.5,56.2,36.3,19.9,64.6,31.8,6.3,"Amazilia viridifrons","Amazilia viridifrons","Green-fronted Hummingbird","Trochilidae","Zapotec",51,"Apodiformes"
"52","Anas crecca","Green-winged Teal","bǎd","Anatidae","Anseriformes",36.2,29.2,11.8,11.4,26.4,178.8,95.1,84.2,53.1,61.5,341.9,"Anas crecca","Anas crecca","Green-winged Teal","Anatidae","Zapotec",52,"Anseriformes"
"53","Dryobates villosus","Hairy Woodpecker","càrpìntêr","Picidae","Piciformes",31.6,24.1,8.2,8.1,23.1,126.7,32.4,95.5,25.3,81.7,62.7,"Picoides villosus","Dendrocopos villosus","Hairy Woodpecker","Picidae","Zapotec",53,"Piciformes"
"54","Setophaga occidentalis","Hermit Warbler","wǐt","Parulidae","Passeriformes",12.4,7.7,3.2,3.6,17.8,66.9,18,48.8,26.9,52.4,10.4,"Dendroica occidentalis","Dendroica occidentalis","Hermit Warbler","Parulidae","Zapotec",54,"Passeriformes"
"55","Eremophila alpestris","Horned Lark","mguîn̲-ló-liù","Alaudidae","Passeriformes",13.9,9.2,4.2,5,23.5,108.1,41.7,66.2,38.6,71.4,33.3,"Eremophila alpestris","Eremophila alpestris","Horned Lark","Alaudidae","Zapotec",55,"Passeriformes"
"56","Haemorhous mexicanus","House Finch","mguěy","Fringillidae","Passeriformes",10.6,8.4,6.6,8.2,17.4,77.2,21.2,55.8,27.5,66.2,21.4,"Carpodacus mexicanus","Carpodacus mexicanus","House Finch","Fringillidae","Zapotec",56,"Passeriformes"
"57","Vireo huttoni","Hutton's Vireo","mtsùu","Vireonidae","Passeriformes",13.1,6.9,3.7,3.8,19.5,63.2,10.8,52.6,17,49.1,11.3,"Vireo huttoni","Vireo huttoni","Hutton's Vireo","Vireonidae","Zapotec",57,"Passeriformes"
"58","Columbina inca","Inca Dove","côc","Columbidae","Columbiformes",16.1,7.1,3.5,3.8,15.5,92.5,24.2,69,26,88.7,47.5,"Columbina inca","Scardafella inca","Inca Dove","Columbidae","Zapotec",58,"Columbiformes"
"59","Sarcoramphus papa","King Vulture","pěch","Cathartidae","Cathartiformes",61.9,46,22.8,30.6,89.9,508.2,191.6,317.6,37.6,239,3400,"Sarcoramphus papa","Sarcoramphus papa","King Vulture","Cathartidae","Zapotec",59,"Falconiformes"
