"","ScientificName2023","CommonName2023","FolkGeneric","Family2023","Order2023","BeakLengthCulmen","BeakLengthNares","BeakWidth","BeakDepth","TarsusLength","WingLength","KippsDistance","Secondary","HandWingIndex","TailLength","Mass","ScientificNameV3","ScientificName1974","CommonName1974","Family1974","Language","LangID","Order1974"
"120","Anser cygnoides","Swan Goose","gâns","Anatidae","Anseriformes",92.7,42.5,24.2,19.9,76.1,422.2,195,227.2,46.1,122.8,3511.9,"Anser cygnoides","Anser cygnoid","Swan Goose","Anatidae","Zapotec",120,"Anseriformes"
"121","Meleagris gallopavo","Wild Turkey","mèr","Phasianidae","Galliformes",48.6,25.9,17.6,15.3,149.2,448.8,115,332.5,26,351.2,5791.4,"Meleagris gallopavo","Meleagris gallopavo","Wild Turkey","Meleagrididae","Zapotec",121,"Galliformes"
"122","Gallus gallus","Red Jungle Fowl","nguǐd","Phasianidae","Galliformes",30.9,15.4,8.9,8.9,68.1,218.2,48.9,167.6,22.5,194,751.7,"Gallus gallus","Gallus gallus","Red Jungle Fowl","Phasianidae","Zapotec",122,"Galliformes"
"123","Turdus migratorius","American Robin","miân","Turdidae","Passeriformes",23.4,12.5,5.6,6.8,32.7,127,36.9,90.3,29,95.7,78.5,"Turdus migratorius","Turdus migratorius","American Robin","Turdidae","Zapotec",123,"Passeriformes"
"124","Sayornis nigricans","Black Phoebe","mguîn̲-guiùu","Tyrannidae","Passeriformes",18.1,9.9,5.9,4,17.4,86.3,19.4,68.9,22,77.2,18.6,"Sayornis nigricans","Sayornis nigricans","Black Phoebe","Tyrannidae","Zapotec",124,"Passeriformes"
"125","Molothrus aeneus","Bronzed Cowbird","sànât-bûrr","Icteridae","Passeriformes",20.6,13.9,5.7,9.1,27.6,104.8,25.4,76.4,24.9,74.8,62.6,"Molothrus aeneus","Molothrus aeneus","Bronzed Cowbird","Icteridae","Zapotec",125,"Passeriformes"
"126","Bubulcus ibis","Western Cattle Egret","gàrs","Ardeidae","Pelecaniformes",63.3,43.5,8.6,11.5,76.8,244.4,73,171.2,29.9,90.9,366,"Bubulcus ibis","Bubulcus ibis","Cattle Egret","Ardeidae","Zapotec",126,"Ciconiiformes"
"127","Myiarchus tuberculifer","Dusky-capped Flycatcher","mguîn̲-rchǔup","Tyrannidae","Passeriformes",21.1,12.9,7.1,5.2,20.1,80.4,15.5,66.8,18.8,76.5,17.7,"Myiarchus tuberculifer","Myiarchus tuberculifer","Olivaceous Flycatcher","Tyrannidae","Zapotec",127,"Passeriformes"
"128","Henicorhina leucophrys","Gray-breasted Wood-Wren","nguzhǐn","Troglodytidae","Passeriformes",16.8,9.9,3.2,3.4,24.1,53.6,4.5,48.5,8.5,29.8,16.2,"Henicorhina leucophrys","Henicorhina leucophrys","Gray-breasted Wood-Wren","Troglodytidae","Zapotec",128,"Passeriformes"
"129","Bubo virginianus","Great Horned Owl","dǎm̲","Strigidae","Strigiformes",42.2,22.5,14.9,22.8,70.1,351.7,112.9,240.9,32,188.4,1354.5,"Bubo virginianus","Bubo virginianus","Great Horned Owl","Strigidae","Zapotec",129,"Strigiformes"
"130","Passer domesticus","House Sparrow","mguîn̲-mòlîn","Passeridae","Passeriformes",13.5,9.1,6.3,7.4,17.9,74.9,20.4,54.4,27.3,57.2,26.5,"Passer domesticus","Passer domesticus","House Sparrow","Ploceidae","Zapotec",130,"Passeriformes"
"131","Troglodytes aedon","House Wren","nguzhǐn","Troglodytidae","Passeriformes",15.9,9.8,3,3.1,20.1,51.4,6.7,44.9,12.9,41.1,10.9,"Troglodytes aedon","Troglodytes aedon","Northern House Wren","Troglodytidae","Zapotec",131,"Passeriformes"
"132","Colibri thalassinus","Mexican Violetear","dzǐn̲g","Trochilidae","Caprimulgiformes",23.9,20,2,1.8,6.1,63,33.2,24.8,57.2,42,5.9,"Colibri thalassinus","Colibri thalassinus","Green Violetear","Trochilidae","Zapotec",132,"Apodiformes"
"133","Zenaida macroura","Mourning Dove","mézh","Columbidae","Columbiformes",19.6,9.3,2.7,3.4,19.6,144.4,53.1,91.6,36.6,122.2,118.9,"Zenaida macroura","Zenaida macroura","Mourning Dove","Columbidae","Zapotec",133,"Columbiformes"
"134","Colaptes auratus","Northern Flicker","mguîn̲-pliêgw","Picidae","Piciformes",40.2,29.4,8.5,7.9,28.7,156.9,38.3,119.2,24.3,109.5,131.5,"Colaptes auratus","Colaptes auratus","Common Flicker","Picidae","Zapotec",134,"Piciformes"
"135","Eugenes fulgens","Rivoli's Hummingbird","dzǐn̲g","Trochilidae","Caprimulgiformes",33.4,26,2.8,2.5,6.4,67.4,44,23.4,65.3,44.5,8,"Eugenes fulgens","Eugenes fulgens","Rivoli's Hummingbird","Trochilidae","Zapotec",135,"Apodiformes"
"136","Oxyura jamaicensis","Ruddy Duck","bǎd","Anatidae","Anseriformes",45.4,24.4,20.9,10.5,31.8,139.6,59.5,82.8,41.9,70.2,608.2,"Oxyura jamaicensis","Oxyura jamaicensis","Ruddy Duck","Anatidae","Zapotec",136,"Anseriformes"
"137","Accipiter striatus","Sharp-shinned Hawk","msì","Accipitridae","Accipitriformes",18.3,10.1,7.3,9.4,49.9,181.6,56.6,126.8,30.7,134.3,130.6,"Accipiter striatus","Accipiter striatus","Sharp-shinned Hawk","Accipitridae","Zapotec",137,"Falconiformes"
"138","Mitrephanes phaeocercus","Tufted Flycatcher","wǐt","Tyrannidae","Passeriformes",12.1,6.4,4.4,2.6,12.6,70,17.4,51.4,25.3,63,8.6,"Mitrephanes phaeocercus","Mitrephanes phaeocercus","Tufted Flycatcher","Tyrannidae","Zapotec",138,"Passeriformes"
"139","Vireo gilvus","Warbling Vireo","mtsùu","Vireonidae","Passeriformes",14.3,7.5,3.7,3.7,17.6,70.1,16.5,53.5,23.5,51.3,12.7,"Vireo gilvus","Vireo gilvus","Warbling Vireo","Vireonidae","Zapotec",139,"Passeriformes"
"140","Ortalis poliocephala","West Mexican Chachalaca","chìchàlác","Cracidae","Galliformes",33,17.3,10.1,11.2,76,260,25.2,233,9.9,291.8,760,"Ortalis poliocephala","Ortalis poliocephala","West Mexican Chachalaca","Cracidae","Zapotec",140,"Galliformes"
"141","Zenaida asiatica","White-winged Dove","còolíchè","Columbidae","Columbiformes",24,14.4,4.2,4.5,24.8,160.8,57,104.8,35.2,116.2,153,"Zenaida asiatica","Zenaida asiatica","White-winged Dove","Columbidae","Zapotec",141,"Columbiformes"
"142","Sphyrapicus varius","Yellow-bellied Sapsucker","càrpìntêr","Picidae","Piciformes",24.8,19.2,6.7,6.3,20.5,124.8,42.2,82.6,33.9,74,50.3,"Sphyrapicus varius","Sphyrapicus varius","Common Sapsucker","Picidae","Zapotec",142,"Piciformes"
"143","Patagioenas fasciata","Band-tailed Pigeon","pàlôm","Columbidae","Columbiformes",25.5,15.1,6,6.1,26.5,205.4,73.8,131.3,36,141.5,366.3,"Patagioenas fasciata","Columba fasciata","Band-tailed Pigeon","Columbidae","Zapotec",143,"Columbiformes"
"144","Vireo cassinii","Cassin's Vireo","mtsùu","Vireonidae","Passeriformes",14.7,7.7,4.1,4.3,19.3,73.6,20.5,53,27.9,51,14.7,"Vireo cassinii","Vireo solitarius","Solitary Vireo","Vireonidae","Zapotec",144,"Passeriformes"
"145","Arremon brunneinucha","Chestnut-capped Brushfinch","mguîn̲-wchǔup","Passerellidae","Passeriformes",19.5,11.8,6.1,7.4,28.8,80.8,7.5,74.9,9.1,84.7,44,"Arremon brunneinucha","Atlapetes brunneinucha","Chestnut-capped Brush-Finch","Fringillidae","Zapotec",145,"Passeriformes"
"146","Caracara plancus","Crested Caracara","mguîn̲-rlæ̌-dzìt","Falconidae","Falconiformes",44.6,30.3,14.5,23.7,81.9,380,101.7,276.8,26.7,205.7,1078.6,"Caracara cheriway","Caracara cheriway","Northern Crested Caracara","Falconidae","Zapotec",146,"Falconiformes"
"147","Antrostomus arizonae","Mexican Whip-poor-will","pùrpùrwít","Caprimulgidae","Caprimulgiformes",22.1,7.7,4.4,3,16.8,159.3,76.9,82.4,48.3,111.9,53.3,"Caprimulgus vociferus","Caprimulgus vociferus","Whip-poor-will","Caprimulgidae","Zapotec",147,"Caprimulgiformes"
"148","Circus hudsonius","Northern Harrier","msì","Accipitridae","Accipitriformes",31.1,17.2,10.1,13.2,82,360.9,161.1,199.8,44.7,212.9,393,"Circus cyaneus","Circus cyaneus","Marsh Hawk","Accipitridae","Zapotec",148,"Falconiformes"
"149","Stelgidopteryx serripennis","Northern Rough-winged Swallow","xlútsǐ","Hirundinidae","Passeriformes",10.4,4.8,3.4,2.5,11.1,107.2,54.7,53.1,50.7,47.6,15.7,"Stelgidopteryx serripennis","Stelgidopteryx ruficollis","Rough-winged Swallow","Hirundinidae","Zapotec",149,"Passeriformes"
"150","Vireo plumbeus","Plumbeous Vireo","mtsùu","Vireonidae","Passeriformes",14.8,7.8,4.2,4.9,19.1,77,22.7,56.6,28.6,56.7,16.4,"Vireo plumbeus","Vireo solitarius","Solitary Vireo","Vireonidae","Zapotec",150,"Passeriformes"
"151","Pipilo maculatus","Spotted Towhee","mguîn̲-wǐx","Passerellidae","Passeriformes",17.2,10.3,5.9,8,27.9,84.3,11.8,74,13.7,97.6,39.3,"Pipilo maculatus","Pipilo erythrophthalmus","Rufous-sided Towhee","Fringillidae","Zapotec",151,"Passeriformes"
"152","Aphelocoma woodhouseii","Woodhouse's Scrub-Jay","cuǐl̲","Corvidae","Passeriformes",33.2,21.6,8.6,8.9,40.6,127.7,19.4,108.3,15.2,134.2,90.2,"Aphelocoma insularis","Aphelocoma ultramarina","Mexican Jay","Corvidae","Zapotec",152,"Passeriformes"
