"","Anindilyakwa","Innu","Saami","Tlingit","Tobelo","Tzeltal","Zapotec"
"74",2.7,6.62,8.31,2.52,3.53,1.31,2.32
"Phy",2.58,6.58,8.25,2.58,3.76,1.42,2.38
"Per",1.2,1.52,1.33,1.18,1.28,1.14,1.11
