"","Branta bernicla","Branta canadensis","Anser caerulescens","Spatula discors","Anas crecca","Anas acuta","Anas rubripes","Clangula hyemalis","Histrionicus histrionicus","Somateria spectabilis","Somateria mollissima","Mergus merganser","Mergus serrator","Bucephala clangula","Bucephala islandica","Melanitta deglandi","Melanitta perspicillata","Melanitta americana","Aythya collaris","Aythya affinis","Aythya marila","Lagopus muta","Lagopus lagopus","Canachites canadensis","Bonasa umbellus","Gavia stellata","Gavia immer","Morus bassanus","Phalacrocorax carbo.1","Nannopterum auritum","Botaurus lentiginosus","Numenius phaeopus.1","Tringa solitaria","Tringa melanoleuca","Actitis macularius","Phalaropus lobatus","Phalaropus fulicarius","Gallinago delicata","Calidris minutilla","Calidris melanotos","Sterna paradisaea","Sterna hirundo.1","Larus argentatus","Larus hyperboreus","Larus marinus","Larus glaucoides","Rissa tridactyla","Cepphus grylle","Alca torda","Alle alle","Uria aalge","Uria lomvia","Fratercula arctica","Stercorarius pomarinus","Charadrius vociferus","Charadrius semipalmatus","Pluvialis dominica","Empidonax flaviventris","Empidonax traillii","Perisoreus canadensis","Corvus brachyrhynchos","Corvus corax","Eremophila alpestris","Riparia riparia","Tachycineta bicolor","Poecile hudsonicus","Regulus satrapa","Sitta canadensis","Turdus migratorius","Euphagus carolinus","Quiscalus quiscula","Passerella iliaca","Zonotrichia leucophrys","Zonotrichia albicollis","Setophaga magnolia","Setophaga petechia","Plectrophenax nivalis","Loxia leucoptera","Loxia curvirostra","Acanthis flammea","Pinicola enucleator","Falco columbarius","Strix varia","Bubo scandiacus","Bubo virginianus","Asio flammeus","Surnia ulula","Aegolius funereus","Colaptes auratus","Picoides dorsalis","Picoides arcticus","Megaceryle alcyon","Chordeiles minor","Pandion haliaetus.1","Haliaeetus leucocephalus","Buteo lagopus","Circus hudsonius"
"Somateria mollissima",41.1386761097254,41.138676109717,41.1386761097369,18.8258473041252,18.7482776952982,18.7482776952623,17.6640526746067,16.0433006735928,15.8117291890991,13.2364032628506,0,9.48771898450568,13.9790008369773,15.134741821028,16.8578376751625,16.902259574911,16.9512606145702,19.4981157304029,19.7586441915415,19.7637280135595,19.7785833366991,159.034776786041,159.034776786143,159.034776786162,159.034776786368,206.54826696928,206.548266969367,206.548266969334,206.548266969407,206.548266969246,206.548266969367,206.548266968913,206.548266969115,206.548266969156,206.548266969064,206.548266969035,206.548266969191,206.548266968886,206.548266969427,206.548266969353,206.548266969363,206.548266969357,206.548266969312,206.548266969311,206.548266969324,206.548266969345,206.548266969345,206.548266969371,206.548266969333,206.548266969353,206.548266969376,206.548266969363,206.548266969366,206.548266969567,206.548266969423,206.548266969693,206.548266969307,206.548266969236,206.548266969088,206.548266969179,206.548266969261,206.548266969101,206.548266969368,206.54826696934,206.5482669694,206.548266969633,206.548266969279,206.548266968982,206.548266969426,206.548266969218,206.548266969675,206.548266969631,206.54826696961,206.548266969501,206.548266969589,206.548266969712,206.548266969532,206.548266969461,206.548266969199,206.548266969191,206.548266969203,206.548266969427,206.548266969537,206.548266969774,206.54826696941,206.54826696951,206.548266969582,206.548266969618,206.548266969417,206.548266969556,206.548266969446,206.548266969232,206.54826696892,206.548266969326,206.54826696899,206.54826696904,206.54826696924
"Mergus merganser",41.1386761097345,41.1386761097261,41.1386761097461,18.8307250532264,18.8008205500873,18.8008205500515,17.7165955293958,16.2952284035523,16.2309855957378,16.0850596379206,9.48771898450568,0,9.19552088768637,14.270912027475,16.5451106621148,16.6867912165569,16.7357922562161,19.2826473720488,19.7190957222418,19.7241795442598,19.7390348673995,159.03477678605,159.034776786152,159.034776786171,159.034776786377,206.548266969289,206.548266969376,206.548266969344,206.548266969416,206.548266969255,206.548266969376,206.548266968922,206.548266969124,206.548266969165,206.548266969073,206.548266969044,206.5482669692,206.548266968896,206.548266969436,206.548266969362,206.548266969372,206.548266969366,206.548266969321,206.548266969321,206.548266969334,206.548266969354,206.548266969355,206.548266969381,206.548266969342,206.548266969362,206.548266969385,206.548266969372,206.548266969375,206.548266969576,206.548266969431,206.548266969703,206.548266969316,206.548266969245,206.548266969097,206.548266969188,206.54826696927,206.54826696911,206.548266969377,206.548266969349,206.548266969409,206.548266969642,206.548266969288,206.548266968991,206.548266969435,206.548266969227,206.548266969684,206.54826696964,206.548266969619,206.54826696951,206.548266969599,206.548266969721,206.548266969541,206.54826696947,206.548266969208,206.5482669692,206.548266969212,206.548266969436,206.548266969547,206.548266969783,206.548266969419,206.548266969519,206.548266969591,206.548266969627,206.548266969426,206.548266969565,206.548266969455,206.548266969241,206.548266968929,206.548266969335,206.548266968999,206.548266969049,206.548266969249
"Mergus serrator",41.1386761098106,41.1386761098022,41.1386761098222,18.8384478549002,18.8094682787267,18.8094682786909,17.7252432580353,16.3038761321917,16.2458245998205,16.1176005609873,13.9790008369773,9.19552088768637,0,8.46795389732335,16.4462466906031,16.6341431458044,16.694589678382,19.2414447942148,19.6778931444077,19.7147432029057,19.7295985260454,159.034776786127,159.034776786228,159.034776786247,159.034776786453,206.548266969365,206.548266969452,206.548266969419,206.548266969492,206.548266969331,206.548266969452,206.548266968998,206.5482669692,206.548266969242,206.548266969149,206.54826696912,206.548266969276,206.548266968972,206.548266969512,206.548266969438,206.548266969448,206.548266969443,206.548266969397,206.548266969397,206.54826696941,206.54826696943,206.548266969431,206.548266969457,206.548266969418,206.548266969438,206.548266969461,206.548266969448,206.548266969452,206.548266969652,206.548266969508,206.548266969779,206.548266969392,206.548266969321,206.548266969173,206.548266969264,206.548266969346,206.548266969186,206.548266969453,206.548266969425,206.548266969485,206.548266969718,206.548266969364,206.548266969067,206.548266969511,206.548266969303,206.54826696976,206.548266969716,206.548266969696,206.548266969586,206.548266969675,206.548266969797,206.548266969617,206.548266969546,206.548266969285,206.548266969276,206.548266969288,206.548266969512,206.548266969622,206.548266969859,206.548266969495,206.548266969595,206.548266969667,206.548266969703,206.548266969502,206.548266969641,206.548266969531,206.548266969317,206.548266969006,206.548266969412,206.548266969075,206.548266969126,206.548266969325
"Bucephala clangula",41.1386761097565,41.1386761097481,41.138676109768,18.8796584945582,18.8519481374519,18.851948137416,18.1114879132132,16.6901207873697,16.6320692549984,16.6052008376388,15.134741821028,14.270912027475,8.46795389732335,0,13.8499007032104,16.1899750765164,16.3559351702922,19.2261072244271,19.66255557462,19.699405633118,19.7254080168448,159.034776786072,159.034776786174,159.034776786193,159.034776786399,206.548266969311,206.548266969398,206.548266969365,206.548266969438,206.548266969277,206.548266969398,206.548266968944,206.548266969146,206.548266969187,206.548266969095,206.548266969066,206.548266969222,206.548266968918,206.548266969458,206.548266969384,206.548266969394,206.548266969388,206.548266969343,206.548266969343,206.548266969356,206.548266969376,206.548266969376,206.548266969403,206.548266969364,206.548266969384,206.548266969407,206.548266969394,206.548266969398,206.548266969598,206.548266969454,206.548266969725,206.548266969338,206.548266969267,206.548266969119,206.54826696921,206.548266969292,206.548266969132,206.548266969399,206.548266969371,206.548266969431,206.548266969664,206.54826696931,206.548266969013,206.548266969457,206.548266969249,206.548266969706,206.548266969662,206.548266969641,206.548266969532,206.54826696962,206.548266969743,206.548266969563,206.548266969492,206.54826696923,206.548266969222,206.548266969234,206.548266969458,206.548266969569,206.548266969805,206.548266969441,206.548266969541,206.548266969613,206.548266969649,206.548266969448,206.548266969587,206.548266969477,206.548266969263,206.548266968951,206.548266969357,206.548266969021,206.548266969072,206.548266969271
"Bucephala islandica",41.1386761098628,41.1386761098544,41.1386761098743,19.4253249629599,19.4253249629989,19.425324962963,18.7120555908004,17.8165109377377,17.7584594053664,17.7315909880069,16.8578376751625,16.5451106621148,16.4462466906031,13.8499007032104,0,7.44723135338253,10.4843599738324,18.9599413672143,19.5259656626131,19.5628157211111,19.588818104838,159.034776786179,159.03477678628,159.034776786299,159.034776786506,206.548266969417,206.548266969505,206.548266969472,206.548266969544,206.548266969383,206.548266969505,206.548266969051,206.548266969252,206.548266969294,206.548266969201,206.548266969172,206.548266969328,206.548266969024,206.548266969564,206.548266969491,206.548266969501,206.548266969495,206.548266969449,206.548266969449,206.548266969462,206.548266969483,206.548266969483,206.548266969509,206.548266969471,206.54826696949,206.548266969513,206.5482669695,206.548266969504,206.548266969705,206.54826696956,206.548266969831,206.548266969445,206.548266969374,206.548266969226,206.548266969316,206.548266969398,206.548266969238,206.548266969505,206.548266969478,206.548266969537,206.54826696977,206.548266969416,206.548266969119,206.548266969563,206.548266969356,206.548266969812,206.548266969769,206.548266969748,206.548266969638,206.548266969727,206.548266969849,206.548266969669,206.548266969598,206.548266969337,206.548266969329,206.54826696934,206.548266969564,206.548266969675,206.548266969912,206.548266969547,206.548266969647,206.548266969719,206.548266969755,206.548266969555,206.548266969693,206.548266969583,206.548266969369,206.548266969058,206.548266969464,206.548266969127,206.548266969178,206.548266969377
"Melanitta deglandi",41.1386761098029,41.1386761097945,41.1386761098144,19.4253249629,19.4253249629389,19.4253249629031,18.7179218510117,17.8230322418502,17.8028813051149,17.7760128877553,16.902259574911,16.6867912165569,16.6341431458044,16.1899750765164,7.44723135338253,0,5.90903240179549,18.6860016823483,19.5162941733012,19.5628157210512,19.5888181047781,159.034776786119,159.034776786221,159.034776786239,159.034776786446,206.548266969357,206.548266969445,206.548266969412,206.548266969484,206.548266969323,206.548266969445,206.548266968991,206.548266969193,206.548266969234,206.548266969142,206.548266969113,206.548266969268,206.548266968964,206.548266969504,206.548266969431,206.54826696944,206.548266969435,206.54826696939,206.548266969389,206.548266969402,206.548266969423,206.548266969423,206.548266969449,206.548266969411,206.54826696943,206.548266969454,206.54826696944,206.548266969444,206.548266969645,206.5482669695,206.548266969771,206.548266969385,206.548266969314,206.548266969166,206.548266969256,206.548266969338,206.548266969178,206.548266969445,206.548266969418,206.548266969478,206.54826696971,206.548266969356,206.54826696906,206.548266969503,206.548266969296,206.548266969752,206.548266969709,206.548266969688,206.548266969578,206.548266969667,206.548266969789,206.548266969609,206.548266969538,206.548266969277,206.548266969269,206.54826696928,206.548266969504,206.548266969615,206.548266969852,206.548266969488,206.548266969587,206.548266969659,206.548266969695,206.548266969495,206.548266969633,206.548266969524,206.54826696931,206.548266968998,206.548266969404,206.548266969068,206.548266969118,206.548266969317
"Melanitta perspicillata",41.1386761098016,41.1386761097931,41.1386761098131,19.4253249628986,19.4253249629376,19.4253249629018,18.7389489009333,17.8451648641502,17.8250139274149,17.8250139274146,16.9512606145702,16.7357922562161,16.694589678382,16.3559351702922,10.4843599738324,5.90903240179549,0,17.5132128421405,19.5092896339023,19.5628157210499,19.5888181047767,159.034776786117,159.034776786219,159.034776786238,159.034776786444,206.548266969356,206.548266969443,206.54826696941,206.548266969483,206.548266969322,206.548266969443,206.548266968989,206.548266969191,206.548266969232,206.54826696914,206.548266969111,206.548266969267,206.548266968963,206.548266969503,206.548266969429,206.548266969439,206.548266969434,206.548266969388,206.548266969388,206.548266969401,206.548266969421,206.548266969422,206.548266969448,206.548266969409,206.548266969429,206.548266969452,206.548266969439,206.548266969443,206.548266969643,206.548266969499,206.54826696977,206.548266969383,206.548266969312,206.548266969164,206.548266969255,206.548266969337,206.548266969177,206.548266969444,206.548266969416,206.548266969476,206.548266969709,206.548266969355,206.548266969058,206.548266969502,206.548266969294,206.548266969751,206.548266969707,206.548266969686,206.548266969577,206.548266969666,206.548266969788,206.548266969608,206.548266969537,206.548266969275,206.548266969267,206.548266969279,206.548266969503,206.548266969614,206.54826696985,206.548266969486,206.548266969586,206.548266969658,206.548266969694,206.548266969493,206.548266969632,206.548266969522,206.548266969308,206.548266968997,206.548266969402,206.548266969066,206.548266969117,206.548266969316
"Melanitta americana",41.1386761097809,41.1386761097724,41.1386761097924,20.6353566756671,20.6353566757061,20.6353566756703,20.6353566756893,19.825438769175,19.8144836576685,19.8144836576682,19.4981157304029,19.2826473720488,19.2414447942148,19.2261072244271,18.9599413672143,18.6860016823483,17.5132128421405,0,10.9094943589367,11.6004184072567,13.9911618103522,159.034776786097,159.034776786199,159.034776786217,159.034776786424,206.548266969335,206.548266969423,206.54826696939,206.548266969462,206.548266969301,206.548266969423,206.548266968969,206.54826696917,206.548266969212,206.54826696912,206.548266969091,206.548266969246,206.548266968942,206.548266969482,206.548266969409,206.548266969418,206.548266969413,206.548266969367,206.548266969367,206.54826696938,206.548266969401,206.548266969401,206.548266969427,206.548266969389,206.548266969408,206.548266969431,206.548266969418,206.548266969422,206.548266969623,206.548266969478,206.548266969749,206.548266969363,206.548266969292,206.548266969144,206.548266969234,206.548266969316,206.548266969156,206.548266969423,206.548266969396,206.548266969455,206.548266969688,206.548266969334,206.548266969038,206.548266969481,206.548266969273,206.54826696973,206.548266969687,206.548266969666,206.548266969556,206.548266969645,206.548266969767,206.548266969587,206.548266969516,206.548266969255,206.548266969247,206.548266969258,206.548266969483,206.548266969593,206.54826696983,206.548266969466,206.548266969565,206.548266969637,206.548266969673,206.548266969473,206.548266969611,206.548266969502,206.548266969288,206.548266968976,206.548266969382,206.548266969045,206.548266969096,206.548266969295
"Aythya collaris",41.1386761097637,41.1386761097553,41.1386761097753,20.63535667565,20.635356675689,20.6353566756531,20.6353566756722,20.0647280889455,20.0647280889694,20.0647280889691,19.7586441915415,19.7190957222418,19.6778931444077,19.66255557462,19.5259656626131,19.5162941733012,19.5092896339023,10.9094943589367,0,6.63492620758145,10.2122049733847,159.03477678608,159.034776786181,159.0347767862,159.034776786406,206.548266969318,206.548266969406,206.548266969373,206.548266969445,206.548266969284,206.548266969405,206.548266968952,206.548266969153,206.548266969195,206.548266969102,206.548266969073,206.548266969229,206.548266968925,206.548266969465,206.548266969392,206.548266969401,206.548266969396,206.548266969351,206.54826696935,206.548266969363,206.548266969383,206.548266969384,206.54826696941,206.548266969371,206.548266969391,206.548266969414,206.548266969401,206.548266969405,206.548266969606,206.548266969461,206.548266969732,206.548266969345,206.548266969274,206.548266969127,206.548266969217,206.548266969299,206.548266969139,206.548266969406,206.548266969379,206.548266969438,206.548266969671,206.548266969317,206.54826696902,206.548266969464,206.548266969256,206.548266969713,206.54826696967,206.548266969649,206.548266969539,206.548266969628,206.54826696975,206.54826696957,206.548266969499,206.548266969238,206.54826696923,206.548266969241,206.548266969465,206.548266969576,206.548266969812,206.548266969449,206.548266969548,206.54826696962,206.548266969656,206.548266969456,206.548266969594,206.548266969484,206.54826696927,206.548266968959,206.548266969365,206.548266969028,206.548266969079,206.548266969278
"Aythya affinis",41.1386761097345,41.1386761097261,41.1386761097461,20.6353566756208,20.6353566756598,20.6353566756239,20.635356675643,20.0647280889163,20.0647280889402,20.0647280889399,19.7637280135595,19.7241795442598,19.7147432029057,19.699405633118,19.5628157211111,19.5628157210512,19.5628157210499,11.6004184072567,6.63492620758145,0,9.02731680727763,159.03477678605,159.034776786152,159.034776786171,159.034776786377,206.548266969289,206.548266969376,206.548266969343,206.548266969416,206.548266969255,206.548266969376,206.548266968922,206.548266969124,206.548266969165,206.548266969073,206.548266969044,206.5482669692,206.548266968896,206.548266969436,206.548266969362,206.548266969372,206.548266969367,206.548266969321,206.548266969321,206.548266969334,206.548266969354,206.548266969355,206.548266969381,206.548266969342,206.548266969362,206.548266969385,206.548266969372,206.548266969376,206.548266969576,206.548266969432,206.548266969703,206.548266969316,206.548266969245,206.548266969098,206.548266969188,206.54826696927,206.54826696911,206.548266969377,206.548266969349,206.548266969409,206.548266969642,206.548266969288,206.548266968991,206.548266969435,206.548266969227,206.548266969684,206.54826696964,206.548266969619,206.54826696951,206.548266969599,206.548266969721,206.548266969541,206.54826696947,206.548266969208,206.5482669692,206.548266969212,206.548266969436,206.548266969546,206.548266969783,206.548266969419,206.548266969519,206.548266969591,206.548266969627,206.548266969427,206.548266969565,206.548266969455,206.548266969241,206.548266968929,206.548266969335,206.548266968999,206.54826696905,206.548266969249
"Aythya marila",41.1386761097457,41.1386761097373,41.1386761097573,20.635356675632,20.635356675671,20.6353566756351,20.6353566756542,20.0647280889275,20.0647280889514,20.0647280889511,19.7785833366991,19.7390348673995,19.7295985260454,19.7254080168448,19.588818104838,19.5888181047781,19.5888181047767,13.9911618103522,10.2122049733847,9.02731680727763,0,159.034776786062,159.034776786164,159.034776786182,159.034776786388,206.5482669693,206.548266969387,206.548266969355,206.548266969427,206.548266969266,206.548266969387,206.548266968934,206.548266969135,206.548266969177,206.548266969084,206.548266969055,206.548266969211,206.548266968907,206.548266969447,206.548266969373,206.548266969383,206.548266969378,206.548266969332,206.548266969332,206.548266969345,206.548266969365,206.548266969366,206.548266969392,206.548266969353,206.548266969373,206.548266969396,206.548266969383,206.548266969387,206.548266969588,206.548266969443,206.548266969714,206.548266969327,206.548266969257,206.548266969109,206.548266969199,206.548266969281,206.548266969121,206.548266969388,206.548266969361,206.54826696942,206.548266969653,206.548266969299,206.548266969003,206.548266969446,206.548266969238,206.548266969695,206.548266969651,206.548266969631,206.548266969521,206.54826696961,206.548266969732,206.548266969552,206.548266969481,206.54826696922,206.548266969211,206.548266969224,206.548266969447,206.548266969558,206.548266969794,206.54826696943,206.54826696953,206.548266969602,206.548266969638,206.548266969438,206.548266969576,206.548266969466,206.548266969252,206.548266968941,206.548266969347,206.54826696901,206.548266969061,206.54826696926
"Lagopus muta",159.034776786066,159.034776786057,159.034776786077,159.034776786115,159.034776786154,159.034776786119,159.034776786138,159.034776786064,159.034776786088,159.034776786088,159.034776786041,159.03477678605,159.034776786127,159.034776786072,159.034776786179,159.034776786119,159.034776786117,159.034776786097,159.03477678608,159.03477678605,159.034776786062,0,11.637621287966,15.4160365222386,22.4911821708291,206.5482669683,206.548266968387,206.548266968355,206.548266968427,206.548266968266,206.548266968387,206.548266967934,206.548266968135,206.548266968176,206.548266968084,206.548266968055,206.548266968211,206.548266967907,206.548266968447,206.548266968373,206.548266968383,206.548266968378,206.548266968332,206.548266968332,206.548266968345,206.548266968365,206.548266968366,206.548266968392,206.548266968353,206.548266968373,206.548266968396,206.548266968383,206.548266968387,206.548266968587,206.548266968443,206.548266968714,206.548266968327,206.548266968256,206.548266968109,206.548266968199,206.548266968281,206.548266968121,206.548266968388,206.548266968361,206.54826696842,206.548266968653,206.548266968299,206.548266968002,206.548266968446,206.548266968238,206.548266968695,206.548266968651,206.54826696863,206.548266968521,206.54826696861,206.548266968732,206.548266968552,206.548266968481,206.54826696822,206.548266968211,206.548266968223,206.548266968447,206.548266968558,206.548266968794,206.54826696843,206.54826696853,206.548266968602,206.548266968638,206.548266968438,206.548266968576,206.548266968466,206.548266968252,206.548266967941,206.548266968346,206.54826696801,206.548266968061,206.54826696826
"Lagopus lagopus",159.034776786167,159.034776786159,159.034776786179,159.034776786217,159.034776786256,159.034776786221,159.03477678624,159.034776786166,159.03477678619,159.03477678619,159.034776786143,159.034776786152,159.034776786228,159.034776786174,159.03477678628,159.034776786221,159.034776786219,159.034776786199,159.034776786181,159.034776786152,159.034776786164,11.637621287966,0,10.4413509308334,21.447197008818,206.548266968402,206.548266968489,206.548266968457,206.548266968529,206.548266968368,206.548266968489,206.548266968035,206.548266968237,206.548266968278,206.548266968186,206.548266968157,206.548266968313,206.548266968009,206.548266968549,206.548266968475,206.548266968485,206.54826696848,206.548266968434,206.548266968434,206.548266968447,206.548266968467,206.548266968468,206.548266968494,206.548266968455,206.548266968475,206.548266968498,206.548266968485,206.548266968489,206.548266968689,206.548266968545,206.548266968816,206.548266968429,206.548266968358,206.54826696821,206.548266968301,206.548266968383,206.548266968223,206.54826696849,206.548266968462,206.548266968522,206.548266968755,206.548266968401,206.548266968104,206.548266968548,206.54826696834,206.548266968797,206.548266968753,206.548266968732,206.548266968623,206.548266968712,206.548266968834,206.548266968654,206.548266968583,206.548266968322,206.548266968313,206.548266968325,206.548266968549,206.54826696866,206.548266968896,206.548266968532,206.548266968632,206.548266968704,206.54826696874,206.54826696854,206.548266968678,206.548266968568,206.548266968354,206.548266968043,206.548266968449,206.548266968112,206.548266968163,206.548266968362
"Canachites canadensis",159.034776786186,159.034776786177,159.034776786198,159.034776786236,159.034776786275,159.034776786239,159.034776786258,159.034776786185,159.034776786208,159.034776786208,159.034776786162,159.034776786171,159.034776786247,159.034776786193,159.034776786299,159.034776786239,159.034776786238,159.034776786217,159.0347767862,159.034776786171,159.034776786182,15.4160365222386,10.4413509308334,0,20.9642609257669,206.548266968421,206.548266968508,206.548266968475,206.548266968547,206.548266968386,206.548266968508,206.548266968054,206.548266968256,206.548266968297,206.548266968205,206.548266968176,206.548266968331,206.548266968027,206.548266968567,206.548266968494,206.548266968504,206.548266968498,206.548266968453,206.548266968452,206.548266968465,206.548266968486,206.548266968486,206.548266968512,206.548266968474,206.548266968493,206.548266968517,206.548266968504,206.548266968507,206.548266968708,206.548266968563,206.548266968834,206.548266968448,206.548266968377,206.548266968229,206.548266968319,206.548266968401,206.548266968241,206.548266968508,206.548266968481,206.548266968541,206.548266968773,206.548266968419,206.548266968123,206.548266968567,206.548266968359,206.548266968815,206.548266968772,206.548266968751,206.548266968641,206.54826696873,206.548266968852,206.548266968672,206.548266968602,206.54826696834,206.548266968332,206.548266968344,206.548266968568,206.548266968678,206.548266968915,206.548266968551,206.548266968651,206.548266968722,206.548266968759,206.548266968558,206.548266968696,206.548266968587,206.548266968373,206.548266968061,206.548266968467,206.548266968131,206.548266968181,206.54826696838
"Bonasa umbellus",159.034776786393,159.034776786384,159.034776786404,159.034776786442,159.034776786481,159.034776786446,159.034776786465,159.034776786391,159.034776786415,159.034776786415,159.034776786368,159.034776786377,159.034776786453,159.034776786399,159.034776786506,159.034776786446,159.034776786444,159.034776786424,159.034776786406,159.034776786377,159.034776786388,22.4911821708291,21.447197008818,20.9642609257669,0,206.548266968627,206.548266968714,206.548266968682,206.548266968754,206.548266968593,206.548266968714,206.54826696826,206.548266968462,206.548266968503,206.548266968411,206.548266968382,206.548266968538,206.548266968234,206.548266968774,206.5482669687,206.54826696871,206.548266968705,206.548266968659,206.548266968659,206.548266968672,206.548266968692,206.548266968693,206.548266968719,206.54826696868,206.5482669687,206.548266968723,206.54826696871,206.548266968714,206.548266968914,206.54826696877,206.548266969041,206.548266968654,206.548266968583,206.548266968436,206.548266968526,206.548266968608,206.548266968448,206.548266968715,206.548266968688,206.548266968747,206.54826696898,206.548266968626,206.548266968329,206.548266968773,206.548266968565,206.548266969022,206.548266968978,206.548266968958,206.548266968848,206.548266968937,206.548266969059,206.548266968879,206.548266968808,206.548266968546,206.548266968538,206.54826696855,206.548266968774,206.548266968885,206.548266969121,206.548266968757,206.548266968857,206.548266968929,206.548266968965,206.548266968764,206.548266968903,206.548266968793,206.548266968579,206.548266968268,206.548266968674,206.548266968337,206.548266968388,206.548266968587
"Gavia stellata",206.548266969304,206.548266969296,206.548266969316,206.548266969354,206.548266969393,206.548266969357,206.548266969376,206.548266969303,206.548266969327,206.548266969326,206.54826696928,206.548266969289,206.548266969365,206.548266969311,206.548266969417,206.548266969357,206.548266969356,206.548266969335,206.548266969318,206.548266969289,206.5482669693,206.5482669683,206.548266968402,206.548266968421,206.548266968627,0,107.36106196423,124.764238285152,140.641972634815,141.456616907174,143.502608604867,156.282662415234,156.282662415436,156.282662415477,156.282662415385,156.282662415355,156.282662415511,156.282662415207,156.282662415747,156.282662415674,156.282662415684,156.282662415678,156.282662415633,156.282662415632,156.282662415645,156.282662415666,156.282662415666,156.282662415692,156.282662415654,156.282662415673,156.282662415697,156.282662415683,156.282662415687,156.282662415888,156.282662415743,156.282662416014,156.282662415628,170.160778772718,170.16077877257,170.160778772661,170.160778772743,170.160778772583,170.16077877285,170.160778772822,170.160778772882,170.160778773115,170.160778772761,170.160778772464,170.160778772908,170.1607787727,170.160778773157,170.160778773113,170.160778773092,170.160778772983,170.160778773072,170.160778773194,170.160778773014,170.160778772943,170.160778772681,170.160778772673,170.160778772685,170.160778772909,170.16077877302,170.160778773256,170.160778772892,170.160778772992,170.160778773064,170.1607787731,170.1607787729,170.160778773038,170.160778772928,170.160778772714,170.160778772403,170.160778772809,170.160778772472,170.160778772523,170.160778772722
"Gavia immer",206.548266969392,206.548266969383,206.548266969403,206.548266969442,206.54826696948,206.548266969445,206.548266969464,206.54826696939,206.548266969414,206.548266969414,206.548266969367,206.548266969376,206.548266969452,206.548266969398,206.548266969505,206.548266969445,206.548266969443,206.548266969423,206.548266969406,206.548266969376,206.548266969387,206.548266968387,206.548266968489,206.548266968508,206.548266968714,107.36106196423,0,89.0459592044875,130.478998888592,140.432249948955,142.478241646648,156.282662415321,156.282662415523,156.282662415564,156.282662415472,156.282662415443,156.282662415599,156.282662415294,156.282662415835,156.282662415761,156.282662415771,156.282662415765,156.28266241572,156.282662415719,156.282662415732,156.282662415753,156.282662415753,156.282662415779,156.282662415741,156.282662415761,156.282662415784,156.282662415771,156.282662415774,156.282662415975,156.28266241583,156.282662416101,156.282662415715,170.160778772806,170.160778772658,170.160778772748,170.16077877283,170.16077877267,170.160778772937,170.16077877291,170.160778772969,170.160778773202,170.160778772848,170.160778772552,170.160778772995,170.160778772787,170.160778773244,170.160778773201,170.16077877318,170.16077877307,170.160778773159,170.160778773281,170.160778773101,170.16077877303,170.160778772769,170.160778772761,170.160778772773,170.160778772996,170.160778773107,170.160778773344,170.16077877298,170.160778773079,170.160778773151,170.160778773187,170.160778772987,170.160778773125,170.160778773016,170.160778772801,170.16077877249,170.160778772896,170.160778772559,170.16077877261,170.160778772809
"Morus bassanus",206.548266969359,206.54826696935,206.54826696937,206.548266969409,206.548266969448,206.548266969412,206.548266969431,206.548266969357,206.548266969381,206.548266969381,206.548266969334,206.548266969344,206.548266969419,206.548266969365,206.548266969472,206.548266969412,206.54826696941,206.54826696939,206.548266969373,206.548266969343,206.548266969355,206.548266968355,206.548266968457,206.548266968475,206.548266968682,124.764238285152,89.0459592044875,0,105.224356730257,126.368424084128,142.22403976322,156.282662415288,156.28266241549,156.282662415531,156.282662415439,156.28266241541,156.282662415566,156.282662415262,156.282662415802,156.282662415728,156.282662415738,156.282662415732,156.282662415687,156.282662415687,156.2826624157,156.28266241572,156.282662415721,156.282662415747,156.282662415708,156.282662415728,156.282662415751,156.282662415738,156.282662415742,156.282662415942,156.282662415798,156.282662416069,156.282662415682,170.160778772773,170.160778772625,170.160778772715,170.160778772798,170.160778772637,170.160778772904,170.160778772877,170.160778772937,170.160778773169,170.160778772815,170.160778772519,170.160778772962,170.160778772755,170.160778773211,170.160778773168,170.160778773147,170.160778773037,170.160778773126,170.160778773248,170.160778773068,170.160778772998,170.160778772736,170.160778772728,170.16077877274,170.160778772964,170.160778773074,170.160778773311,170.160778772947,170.160778773047,170.160778773119,170.160778773155,170.160778772954,170.160778773093,170.160778772983,170.160778772769,170.160778772457,170.160778772863,170.160778772527,170.160778772577,170.160778772776
