"","Eulipoa wallacei","Megapodius freycinet","Gallus gallus.1","Meleagris gallopavo.1","Radjah radjah.1","Calonectris leucomelas","Hydrobates matsudairae","Ardea alba.2","Ardea sumatrana.1","Nycticorax caledonicus.1","Egretta sacra.2","Ixobrychus flavicollis.1","Fregata minor","Fregata ariel.1","Sula leucogaster.1","Pelecanus conspicillatus.1","Tachybaptus ruficollis","Gallirallus philippensis","Rallina fasciata","Gallirallus wallacii","Gymnocrex plumbeiventris","Amaurornis olivacea","Numenius phaeopus.4","Tringa brevipes.1","Actitis hypoleucos.3","Xenus cinereus.2","Calidris ruficollis.1","Sterna hirundo.2","Anarhynchus leschenaultii.1","Aegotheles crinifrons","Aerodramus vanikorensis","Collocalia esculenta","Hemiprocne mystacea","Caprimulgus macrurus.1","Otus magicus","Ninox scutulata","Ninox squamipila","Ninox connivens","Rhyticeros plicatus","Merops ornatus.1","Alcedo atthis","Ceyx lepidus","Tanysiptera galatea","Todiramphus sanctus.1","Todiramphus diops","Todiramphus funebris","Eurystomus azureus","Eurystomus orientalis","Pandion haliaetus.4","Aviceda subcristata.1","Haliastur indus.1","Icthyophaga leucogaster.1","Accipiter erythrauchen","Accipiter hiogaster","Accipiter henicogrammus","Accipiter soloensis","Cacatua alba","Lorius garrulus","Eos squamata","Hypocharmosyna placentis","Loriculus amabilis","Alisterus amboinensis","Geoffroyus geoffroyi","Tanygnathus megalorynchos","Eclectus roratus","Erythropitta rufiventris","Pitta maxima","Myzomela obscura.1","Melitograis gilolensis","Corvus validus","Corvus orru.1","Lycocorax pyrrhopterus","Semioptera wallacii","Carterornis pileatus","Symposiachrus trivirgatus","Myiagra alecto.1","Myiagra galeata","Rhipidura leucophrys.1","Dicrurus hottentottus","Oriolus phaeochromus","Pachycephala mentalis","Lalage aurea","Coracina papuensis.1","Coracina atriceps","Artamus leucorynchus.1","Aplonis metallica","Aplonis mysolensis","Cinnyris clementiae","Leptocoma aspasia","Dicaeum erythrothorax","Lonchura molucca","Hirundo tahitica","Hirundo rustica.2","Helopsaltes fasciolatus","Zosterops atriceps","Hypsipetes affinis","Falco moluccensis","Eudynamys scolopaceus","Cacomantis variolosus.1","Centropus goliath","Centropus bengalensis","Ptilinopus hyogastrus","Ptilinopus superbus","Ptilinopus granulifrons","Ducula basilica","Ducula bicolor","Ducula perspicillata","Ducula concinna","Chalcophaps indica","Caloenas nicobarica","Macropygia amboinensis","Reinwardtoena reinwardti","Spilopelia chinensis","Columba vitiensis","Columba livia.1","Myiagra alecto.2","Myiagra alecto.3","Egretta sacra.3","Symposiachrus trivirgatus.1","Myiagra galeata.1","Zosterops atriceps.1"
"Collocalia esculenta",206.149534604522,206.149534604468,206.149534604497,206.149534604334,206.149534604609,170.503143166781,170.503143166702,170.503143166502,170.503143166509,170.50314316616,170.503143166701,170.50314316604,170.503143166444,170.50314316702,170.503143166504,170.503143166357,170.503143166629,170.503143166718,170.503143166762,170.503143166969,170.503143166856,170.503143166226,170.503143166792,170.503143166807,170.503143166837,170.503143166822,170.503143166676,170.503143166547,170.503143166493,118.586371228004,40.2834547333498,0,60.0615708166662,155.839767279218,159.902478375304,159.967869315215,159.967869315315,161.532390987027,161.532390986977,161.532390987194,161.532390987103,161.532390987019,161.532390987279,163.584424553507,164.311656829852,164.311656830344,164.311656830062,164.311656829844,164.311656829967,164.311656830139,164.311656829837,164.311656829894,166.090246359886,166.090246360003,166.090246360082,166.090246360133,166.971006001521,166.971006001217,166.97100600148,166.971006001622,166.971006001323,166.97100600115,166.97100600139,166.971006001268,166.971006001129,166.971006001748,166.971006001916,166.971006001866,166.971006001778,166.971006002096,166.971006001571,166.97100600184,166.971006001861,166.971006001833,166.971006001699,166.971006001485,166.971006001816,166.9710060019,166.971006001834,166.971006001615,166.971006002031,166.971006001995,166.971006001811,166.97100600187,166.971006001747,166.971006001968,166.971006001926,166.971006001822,166.971006001965,166.971006002004,166.971006001815,166.971006001743,166.971006001612,166.971006001874,166.971006001724,166.971006001742,166.971006001281,169.841548111675,169.841548112269,169.841548111638,169.841548111905,175.19463662387,175.194636623811,175.194636624008,175.194636624003,175.19463662388,175.194636623979,175.194636623943,175.194636624108,175.194636624137,175.194636624008,175.194636624037,175.194636624089,175.194636624197,175.194636624214,166.971006001485,166.971006001485,170.503143166701,166.971006001699,166.971006001816,166.971006001724
"Hemiprocne mystacea",206.149534604474,206.14953460442,206.149534604449,206.149534604286,206.149534604561,170.503143166733,170.503143166654,170.503143166453,170.503143166461,170.503143166112,170.503143166653,170.503143165992,170.503143166396,170.503143166972,170.503143166456,170.503143166309,170.503143166581,170.50314316667,170.503143166714,170.503143166921,170.503143166808,170.503143166178,170.503143166745,170.503143166759,170.503143166789,170.503143166774,170.503143166628,170.503143166499,170.503143166445,118.586371227956,68.9630545100685,60.0615708166662,0,154.978879943874,159.834598248488,159.967869315167,159.967869315267,161.532390986979,161.532390986929,161.532390987145,161.532390987055,161.532390986971,161.532390987231,163.584424553459,164.311656829804,164.311656830296,164.311656830014,164.311656829796,164.311656829919,164.31165683009,164.311656829789,164.311656829846,166.090246359838,166.090246359955,166.090246360034,166.090246360085,166.971006001473,166.971006001169,166.971006001432,166.971006001574,166.971006001275,166.971006001102,166.971006001342,166.97100600122,166.971006001081,166.9710060017,166.971006001868,166.971006001818,166.97100600173,166.971006002048,166.971006001523,166.971006001792,166.971006001813,166.971006001785,166.971006001651,166.971006001437,166.971006001768,166.971006001851,166.971006001786,166.971006001567,166.971006001983,166.971006001947,166.971006001763,166.971006001821,166.971006001699,166.97100600192,166.971006001878,166.971006001774,166.971006001917,166.971006001956,166.971006001767,166.971006001695,166.971006001564,166.971006001826,166.971006001676,166.971006001694,166.971006001233,169.841548111627,169.841548112221,169.841548111589,169.841548111857,175.194636623822,175.194636623764,175.19463662396,175.194636623956,175.194636623832,175.194636623931,175.194636623895,175.19463662406,175.194636624088,175.19463662396,175.194636623989,175.194636624041,175.194636624149,175.194636624166,166.971006001437,166.971006001437,170.503143166653,166.971006001651,166.971006001768,166.971006001676
"Caprimulgus macrurus.1",206.149534604143,206.149534604089,206.149534604118,206.149534603955,206.14953460423,170.503143166402,170.503143166323,170.503143166122,170.50314316613,170.503143165781,170.503143166321,170.503143165661,170.503143166065,170.503143166641,170.503143166124,170.503143165977,170.50314316625,170.503143166339,170.503143166383,170.50314316659,170.503143166476,170.503143165847,170.503143166413,170.503143166428,170.503143166458,170.503143166443,170.503143166297,170.503143166168,170.503143166113,161.178174012961,158.273283856088,155.839767279218,154.978879943874,0,120.782227211958,120.924210147813,120.924210147912,150.366270545545,150.366270545494,150.366270545711,150.366270545621,150.527571436732,150.527571436992,158.958612964809,159.685845241154,159.685845241646,159.685845241364,161.434226943262,161.802290789382,161.802290789553,161.802290789252,161.802290789309,163.580880319301,163.580880319418,163.580880319496,163.580880319548,166.971006001142,166.971006000838,166.971006001101,166.971006001242,166.971006000944,166.971006000771,166.971006001011,166.971006000888,166.97100600075,166.971006001369,166.971006001537,166.971006001486,166.971006001399,166.971006001717,166.971006001192,166.97100600146,166.971006001482,166.971006001454,166.97100600132,166.971006001106,166.971006001437,166.97100600152,166.971006001454,166.971006001235,166.971006001652,166.971006001616,166.971006001432,166.97100600149,166.971006001368,166.971006001588,166.971006001547,166.971006001442,166.971006001586,166.971006001624,166.971006001436,166.971006001363,166.971006001233,166.971006001495,166.971006001345,166.971006001363,166.971006000902,169.841548111296,169.84154811189,169.841548111258,169.841548111526,175.19463662349,175.194636623432,175.194636623629,175.194636623624,175.194636623501,175.1946366236,175.194636623563,175.194636623729,175.194636623757,175.194636623629,175.194636623657,175.19463662371,175.194636623818,175.194636623835,166.971006001106,166.971006001106,170.503143166321,166.97100600132,166.971006001437,166.971006001345
"Otus magicus",206.149534604199,206.149534604145,206.149534604174,206.149534604011,206.149534604286,170.503143166458,170.503143166379,170.503143166179,170.503143166186,170.503143165837,170.503143166378,170.503143165717,170.503143166121,170.503143166697,170.503143166181,170.503143166034,170.503143166306,170.503143166395,170.503143166439,170.503143166646,170.503143166532,170.503143165903,170.50314316647,170.503143166484,170.503143166514,170.503143166499,170.503143166353,170.503143166224,170.50314316617,161.178174013017,160.371451702145,159.902478375304,159.834598248488,120.782227211958,0,76.93192381295,81.0133621111504,135.895560456001,138.581376303231,138.581376303448,138.581376303357,140.39499691994,140.3949969202,158.183858003977,159.435229171354,159.435229171846,159.435229171564,161.183610873462,161.802290789438,161.80229078961,161.802290789308,161.802290789365,163.580880319357,163.580880319474,163.580880319553,163.580880319604,166.971006001198,166.971006000894,166.971006001157,166.971006001299,166.971006001,166.971006000827,166.971006001067,166.971006000945,166.971006000806,166.971006001425,166.971006001593,166.971006001543,166.971006001455,166.971006001773,166.971006001248,166.971006001517,166.971006001538,166.97100600151,166.971006001376,166.971006001162,166.971006001493,166.971006001576,166.971006001511,166.971006001292,166.971006001708,166.971006001672,166.971006001488,166.971006001546,166.971006001424,166.971006001645,166.971006001603,166.971006001499,166.971006001642,166.971006001681,166.971006001492,166.97100600142,166.971006001289,166.971006001551,166.971006001401,166.971006001419,166.971006000958,169.841548111352,169.841548111946,169.841548111314,169.841548111582,175.194636623546,175.194636623488,175.194636623685,175.194636623681,175.194636623557,175.194636623656,175.194636623619,175.194636623785,175.194636623813,175.194636623685,175.194636623714,175.194636623767,175.194636623874,175.194636623891,166.971006001162,166.971006001162,170.503143166378,166.971006001376,166.971006001493,166.971006001401
"Ninox scutulata",206.14953460463,206.149534604576,206.149534604605,206.149534604442,206.149534604717,170.50314316689,170.50314316681,170.50314316661,170.503143166617,170.503143166268,170.503143166809,170.503143166148,170.503143166552,170.503143167128,170.503143166612,170.503143166465,170.503143166737,170.503143166826,170.50314316687,170.503143167077,170.503143166964,170.503143166334,170.503143166901,170.503143166916,170.503143166946,170.50314316693,170.503143166784,170.503143166656,170.503143166601,161.178174013448,160.371451702576,159.967869315215,159.967869315167,120.924210147813,76.93192381295,0,26.0566802433654,98.0129750247999,105.261044469341,114.044855173284,114.044855173194,139.778162210804,139.823227342381,157.612088426158,159.435229171785,159.435229172278,159.435229171995,161.183610873893,161.802290789869,161.802290790041,161.802290789739,161.802290789797,163.580880319789,163.580880319905,163.580880319984,163.580880320035,166.97100600163,166.971006001325,166.971006001588,166.97100600173,166.971006001431,166.971006001258,166.971006001499,166.971006001376,166.971006001238,166.971006001856,166.971006002024,166.971006001974,166.971006001887,166.971006002204,166.971006001679,166.971006001948,166.971006001969,166.971006001941,166.971006001807,166.971006001593,166.971006001925,166.971006002008,166.971006001942,166.971006001723,166.971006002139,166.971006002103,166.971006001919,166.971006001978,166.971006001855,166.971006002076,166.971006002035,166.97100600193,166.971006002073,166.971006002112,166.971006001923,166.971006001851,166.97100600172,166.971006001982,166.971006001832,166.97100600185,166.971006001389,169.841548111783,169.841548112377,169.841548111746,169.841548112014,175.194636623978,175.19463662392,175.194636624116,175.194636624112,175.194636623988,175.194636624087,175.194636624051,175.194636624216,175.194636624245,175.194636624116,175.194636624145,175.194636624198,175.194636624305,175.194636624323,166.971006001593,166.971006001593,170.503143166809,166.971006001807,166.971006001925,166.971006001832
"Ninox squamipila",206.14953460473,206.149534604676,206.149534604705,206.149534604542,206.149534604817,170.503143166989,170.50314316691,170.503143166709,170.503143166716,170.503143166368,170.503143166908,170.503143166248,170.503143166651,170.503143167228,170.503143166711,170.503143166564,170.503143166836,170.503143166926,170.50314316697,170.503143167177,170.503143167063,170.503143166434,170.503143167,170.503143167015,170.503143167045,170.50314316703,170.503143166884,170.503143166755,170.5031431667,161.178174013548,160.371451702676,159.967869315315,159.967869315267,120.924210147912,81.0133621111504,26.0566802433654,0,91.6131268634019,100.94953224073,111.766505850863,112.375049344197,138.108356381807,139.823227342481,157.612088426257,159.435229171885,159.435229172377,159.435229172095,161.183610873993,161.802290789969,161.80229079014,161.802290789839,161.802290789896,163.580880319888,163.580880320005,163.580880320083,163.580880320135,166.971006001729,166.971006001425,166.971006001688,166.971006001829,166.971006001531,166.971006001358,166.971006001598,166.971006001475,166.971006001337,166.971006001956,166.971006002124,166.971006002073,166.971006001986,166.971006002304,166.971006001779,166.971006002047,166.971006002069,166.971006002041,166.971006001907,166.971006001692,166.971006002024,166.971006002107,166.971006002041,166.971006001822,166.971006002239,166.971006002203,166.971006002019,166.971006002077,166.971006001955,166.971006002175,166.971006002134,166.971006002029,166.971006002173,166.971006002211,166.971006002022,166.971006001951,166.97100600182,166.971006002082,166.971006001932,166.97100600195,166.971006001489,169.841548111883,169.841548112477,169.841548111845,169.841548112113,175.194636624077,175.194636624019,175.194636624216,175.194636624211,175.194636624088,175.194636624186,175.19463662415,175.194636624316,175.194636624344,175.194636624216,175.194636624244,175.194636624297,175.194636624404,175.194636624422,166.971006001692,166.971006001692,170.503143166908,166.971006001907,166.971006002024,166.971006001932
"Ninox connivens",206.149534604627,206.149534604573,206.149534604602,206.149534604439,206.149534604714,170.503143166886,170.503143166807,170.503143166606,170.503143166614,170.503143166265,170.503143166805,170.503143166145,170.503143166548,170.503143167125,170.503143166608,170.503143166461,170.503143166734,170.503143166823,170.503143166867,170.503143167074,170.50314316696,170.503143166331,170.503143166897,170.503143166912,170.503143166942,170.503143166927,170.503143166781,170.503143166652,170.503143166597,161.738796993765,161.532390986877,161.532390987027,161.532390986979,150.366270545545,135.895560456001,98.0129750247999,91.6131268634019,0,83.0209851517574,94.5996703944409,97.1243374139945,132.34223131611,134.057102276783,151.845963360559,153.669104106187,153.669104106679,153.669104106397,161.094103801499,161.712783717475,161.712783717647,161.712783717345,161.76916827555,163.580880319785,163.580880319902,163.58088031998,163.580880320032,166.971006001626,166.971006001322,166.971006001585,166.971006001726,166.971006001428,166.971006001255,166.971006001495,166.971006001372,166.971006001234,166.971006001853,166.971006002021,166.97100600197,166.971006001883,166.971006002201,166.971006001676,166.971006001944,166.971006001966,166.971006001938,166.971006001804,166.97100600159,166.971006001921,166.971006002004,166.971006001939,166.971006001719,166.971006002136,166.9710060021,166.971006001916,166.971006001974,166.971006001852,166.971006002072,166.971006002031,166.971006001926,166.97100600207,166.971006002108,166.971006001919,166.971006001847,166.971006001717,166.971006001979,166.971006001829,166.971006001847,166.971006001386,169.84154811178,169.841548112374,169.841548111742,169.84154811201,175.194636623974,175.194636623916,175.194636624113,175.194636624108,175.194636623985,175.194636624084,175.194636624047,175.194636624213,175.194636624241,175.194636624113,175.194636624141,175.194636624194,175.194636624302,175.194636624319,166.97100600159,166.97100600159,170.503143166805,166.971006001804,166.971006001921,166.971006001829
"Rhyticeros plicatus",206.149534604577,206.149534604522,206.149534604551,206.149534604388,206.149534604663,170.503143166836,170.503143166756,170.503143166556,170.503143166563,170.503143166214,170.503143166755,170.503143166094,170.503143166498,170.503143167075,170.503143166558,170.503143166411,170.503143166683,170.503143166772,170.503143166816,170.503143167023,170.50314316691,170.50314316628,170.503143166847,170.503143166862,170.503143166892,170.503143166877,170.50314316673,170.503143166602,170.503143166547,161.738796993714,161.532390986826,161.532390986977,161.532390986929,150.366270545494,138.581376303231,105.261044469341,100.94953224073,83.0209851517574,0,79.427725485586,83.0351727057452,121.171804221218,123.479532611123,141.268393694899,143.091534440527,144.795914897309,144.795914897026,160.520723068803,161.712783717425,161.712783717596,161.712783717295,161.7691682755,163.580880319735,163.580880319851,163.58088031993,163.580880319981,166.971006001576,166.971006001271,166.971006001534,166.971006001676,166.971006001378,166.971006001204,166.971006001445,166.971006001322,166.971006001184,166.971006001802,166.97100600197,166.97100600192,166.971006001833,166.97100600215,166.971006001625,166.971006001894,166.971006001915,166.971006001888,166.971006001753,166.971006001539,166.97100600187,166.971006001954,166.971006001888,166.971006001669,166.971006002085,166.971006002049,166.971006001865,166.971006001924,166.971006001801,166.971006002022,166.97100600198,166.971006001876,166.971006002019,166.971006002058,166.971006001869,166.971006001797,166.971006001666,166.971006001928,166.971006001778,166.971006001797,166.971006001335,169.841548111729,169.841548112323,169.841548111692,169.84154811196,175.194636623924,175.194636623866,175.194636624062,175.194636624058,175.194636623934,175.194636624033,175.194636623997,175.194636624162,175.194636624191,175.194636624062,175.194636624091,175.194636624144,175.194636624251,175.194636624268,166.971006001539,166.971006001539,170.503143166755,166.971006001753,166.97100600187,166.971006001778
"Merops ornatus.1",206.149534604794,206.149534604739,206.149534604768,206.149534604605,206.14953460488,170.503143167053,170.503143166973,170.503143166773,170.50314316678,170.503143166432,170.503143166972,170.503143166311,170.503143166715,170.503143167291,170.503143166775,170.503143166628,170.5031431669,170.503143166989,170.503143167033,170.50314316724,170.503143167127,170.503143166497,170.503143167064,170.503143167078,170.503143167108,170.503143167093,170.503143166947,170.503143166819,170.503143166764,161.738796993931,161.532390987043,161.532390987194,161.532390987145,150.366270545711,138.581376303448,114.044855173284,111.766505850863,94.5996703944409,79.427725485586,0,28.8242303386376,88.5434003399625,92.9516844818529,119.080041354306,120.903182099933,143.789174199781,143.895440034549,159.620248206326,161.712783717642,161.712783717813,161.712783717512,161.769168275717,163.580880319952,163.580880320068,163.580880320147,163.580880320198,166.971006001792,166.971006001488,166.971006001751,166.971006001893,166.971006001594,166.971006001421,166.971006001661,166.971006001539,166.971006001401,166.971006002019,166.971006002187,166.971006002137,166.971006002049,166.971006002367,166.971006001842,166.971006002111,166.971006002132,166.971006002104,166.97100600197,166.971006001756,166.971006002087,166.971006002171,166.971006002105,166.971006001886,166.971006002302,166.971006002266,166.971006002082,166.971006002141,166.971006002018,166.971006002239,166.971006002197,166.971006002093,166.971006002236,166.971006002275,166.971006002086,166.971006002014,166.971006001883,166.971006002146,166.971006001995,166.971006002013,166.971006001552,169.841548111946,169.84154811254,169.841548111909,169.841548112177,175.194636624141,175.194636624083,175.194636624279,175.194636624275,175.194636624151,175.19463662425,175.194636624214,175.194636624379,175.194636624408,175.194636624279,175.194636624308,175.194636624361,175.194636624468,175.194636624485,166.971006001756,166.971006001756,170.503143166972,166.97100600197,166.971006002087,166.971006001995
"Alcedo atthis",206.149534604703,206.149534604649,206.149534604678,206.149534604515,206.149534604789,170.503143166962,170.503143166883,170.503143166682,170.503143166689,170.503143166341,170.503143166881,170.503143166221,170.503143166625,170.503143167201,170.503143166684,170.503143166537,170.503143166809,170.503143166899,170.503143166943,170.50314316715,170.503143167036,170.503143166407,170.503143166973,170.503143166988,170.503143167018,170.503143167003,170.503143166857,170.503143166728,170.503143166673,161.738796993841,161.532390986952,161.532390987103,161.532390987055,150.366270545621,138.581376303357,114.044855173194,112.375049344197,97.1243374139945,83.0351727057452,28.8242303386376,0,81.0775490064892,87.8641935044689,116.027210619669,118.861349960755,141.747342060602,143.895440034458,159.620248206235,161.712783717551,161.712783717723,161.712783717421,161.769168275626,163.580880319861,163.580880319978,163.580880320056,163.580880320108,166.971006001702,166.971006001398,166.971006001661,166.971006001802,166.971006001504,166.971006001331,166.971006001571,166.971006001448,166.97100600131,166.971006001929,166.971006002097,166.971006002046,166.971006001959,166.971006002277,166.971006001752,166.97100600202,166.971006002042,166.971006002014,166.97100600188,166.971006001665,166.971006001997,166.97100600208,166.971006002014,166.971006001795,166.971006002212,166.971006002176,166.971006001991,166.97100600205,166.971006001928,166.971006002148,166.971006002107,166.971006002002,166.971006002146,166.971006002184,166.971006001995,166.971006001923,166.971006001793,166.971006002055,166.971006001905,166.971006001923,166.971006001462,169.841548111856,169.84154811245,169.841548111818,169.841548112086,175.19463662405,175.194636623992,175.194636624189,175.194636624184,175.194636624061,175.19463662416,175.194636624123,175.194636624288,175.194636624317,175.194636624189,175.194636624217,175.19463662427,175.194636624377,175.194636624395,166.971006001665,166.971006001665,170.503143166881,166.97100600188,166.971006001997,166.971006001905
"Ceyx lepidus",206.149534604619,206.149534604564,206.149534604593,206.14953460443,206.149534604705,170.503143166878,170.503143166798,170.503143166598,170.503143166605,170.503143166257,170.503143166797,170.503143166136,170.50314316654,170.503143167117,170.5031431666,170.503143166453,170.503143166725,170.503143166814,170.503143166858,170.503143167065,170.503143166952,170.503143166322,170.503143166889,170.503143166904,170.503143166933,170.503143166919,170.503143166772,170.503143166644,170.503143166589,161.738796993756,161.532390986868,161.532390987019,161.532390986971,150.527571436732,140.39499691994,139.778162210804,138.108356381807,132.34223131611,121.171804221218,88.5434003399625,81.0775490064892,0,29.8384860718361,106.481068671686,111.10309417504,141.462583674447,143.610681648304,159.33548982008,161.428025331396,161.428025331568,161.428025331266,161.711259124498,163.522971168733,163.522971168849,163.522971168928,163.576150220395,166.971006001617,166.971006001313,166.971006001576,166.971006001718,166.97100600142,166.971006001246,166.971006001487,166.971006001364,166.971006001226,166.971006001844,166.971006002013,166.971006001962,166.971006001875,166.971006002192,166.971006001667,166.971006001936,166.971006001957,166.971006001929,166.971006001795,166.971006001581,166.971006001913,166.971006001996,166.97100600193,166.971006001711,166.971006002127,166.971006002091,166.971006001907,166.971006001966,166.971006001843,166.971006002064,166.971006002023,166.971006001918,166.971006002061,166.9710060021,166.971006001911,166.971006001839,166.971006001708,166.971006001971,166.97100600182,166.971006001838,166.971006001377,169.841548111772,169.841548112365,169.841548111734,169.841548112002,175.194636623966,175.194636623908,175.194636624104,175.1946366241,175.194636623976,175.194636624075,175.194636624039,175.194636624204,175.194636624233,175.194636624104,175.194636624133,175.194636624186,175.194636624293,175.194636624311,166.971006001581,166.971006001581,170.503143166797,166.971006001795,166.971006001913,166.97100600182
"Tanysiptera galatea",206.149534604879,206.149534604824,206.149534604853,206.14953460469,206.149534604965,170.503143167138,170.503143167058,170.503143166858,170.503143166865,170.503143166517,170.503143167057,170.503143166396,170.5031431668,170.503143167377,170.50314316686,170.503143166713,170.503143166985,170.503143167075,170.503143167118,170.503143167325,170.503143167212,170.503143166582,170.503143167149,170.503143167164,170.503143167194,170.503143167179,170.503143167032,170.503143166904,170.503143166849,161.738796994016,161.532390987128,161.532390987279,161.532390987231,150.527571436992,140.3949969202,139.823227342381,139.823227342481,134.057102276783,123.479532611123,92.9516844818529,87.8641935044689,29.8384860718361,0,100.114282514618,108.681294167594,140.620872347139,143.317715605454,159.042523777231,161.135059288547,161.193268899618,161.193268899316,161.711259124758,163.522971168993,163.522971169109,163.522971169188,163.576150220655,166.971006001878,166.971006001573,166.971006001836,166.971006001978,166.97100600168,166.971006001506,166.971006001747,166.971006001624,166.971006001486,166.971006002105,166.971006002273,166.971006002222,166.971006002135,166.971006002452,166.971006001928,166.971006002196,166.971006002217,166.971006002189,166.971006002056,166.971006001841,166.971006002172,166.971006002256,166.97100600219,166.971006001971,166.971006002387,166.971006002352,166.971006002167,166.971006002226,166.971006002104,166.971006002324,166.971006002282,166.971006002178,166.971006002322,166.97100600236,166.971006002171,166.971006002099,166.971006001968,166.971006002231,166.97100600208,166.971006002099,166.971006001637,169.841548112032,169.841548112625,169.841548111994,169.841548112262,175.194636624226,175.194636624168,175.194636624365,175.19463662436,175.194636624236,175.194636624335,175.194636624299,175.194636624464,175.194636624493,175.194636624364,175.194636624393,175.194636624446,175.194636624553,175.194636624571,166.971006001841,166.971006001841,170.503143167057,166.971006002056,166.971006002172,166.97100600208
"Todiramphus sanctus.1",206.1495346046,206.149534604546,206.149534604575,206.149534604412,206.149534604687,170.50314316686,170.50314316678,170.50314316658,170.503143166587,170.503143166238,170.503143166779,170.503143166118,170.503143166522,170.503143167098,170.503143166582,170.503143166435,170.503143166707,170.503143166796,170.50314316684,170.503143167047,170.503143166934,170.503143166304,170.503143166871,170.503143166885,170.503143166915,170.5031431669,170.503143166754,170.503143166626,170.503143166571,163.790830560245,163.584424553356,163.584424553507,163.584424553459,158.958612964809,158.183858003977,157.612088426158,157.612088426257,151.845963360559,141.268393694899,119.080041354306,116.027210619669,106.481068671686,100.114282514618,0,95.8047994745118,139.485688711556,142.413214584872,158.138022756649,160.230558267965,161.193268899339,161.193268899038,161.711259124479,163.522971168714,163.522971168831,163.52297116891,163.576150220377,166.971006001599,166.971006001295,166.971006001558,166.9710060017,166.971006001401,166.971006001228,166.971006001468,166.971006001346,166.971006001207,166.971006001826,166.971006001994,166.971006001944,166.971006001856,166.971006002174,166.971006001649,166.971006001918,166.971006001939,166.971006001911,166.971006001777,166.971006001563,166.971006001894,166.971006001977,166.971006001912,166.971006001693,166.971006002109,166.971006002073,166.971006001889,166.971006001947,166.971006001825,166.971006002046,166.971006002004,166.9710060019,166.971006002043,166.971006002082,166.971006001893,166.971006001821,166.97100600169,166.971006001952,166.971006001802,166.97100600182,166.971006001359,169.841548111753,169.841548112347,169.841548111716,169.841548111984,175.194636623948,175.19463662389,175.194636624086,175.194636624082,175.194636623958,175.194636624057,175.194636624021,175.194636624186,175.194636624214,175.194636624086,175.194636624115,175.194636624168,175.194636624275,175.194636624292,166.971006001563,166.971006001563,170.503143166779,166.971006001777,166.971006001894,166.971006001802
"Todiramphus diops",206.14953460452,206.149534604465,206.149534604495,206.149534604331,206.149534604606,170.503143166779,170.503143166699,170.503143166499,170.503143166506,170.503143166158,170.503143166698,170.503143166037,170.503143166441,170.503143167018,170.503143166501,170.503143166354,170.503143166626,170.503143166716,170.503143166759,170.503143166966,170.503143166853,170.503143166223,170.50314316679,170.503143166805,170.503143166835,170.50314316682,170.503143166673,170.503143166545,170.50314316649,164.311656829595,164.311656829701,164.311656829852,164.311656829804,159.685845241154,159.435229171354,159.435229171785,159.435229171885,153.669104106187,143.091534440527,120.903182099933,118.861349960755,111.10309417504,108.681294167594,95.8047994745118,0,118.449116650864,122.736646850306,138.461455022083,140.553990533399,141.516701164774,141.516701164472,142.034691389914,163.522971168634,163.52297116875,163.522971168829,163.576150220297,166.971006001519,166.971006001214,166.971006001478,166.971006001619,166.971006001321,166.971006001147,166.971006001388,166.971006001265,166.971006001127,166.971006001745,166.971006001914,166.971006001863,166.971006001776,166.971006002093,166.971006001569,166.971006001837,166.971006001858,166.971006001831,166.971006001697,166.971006001482,166.971006001814,166.971006001897,166.971006001831,166.971006001612,166.971006002029,166.971006001993,166.971006001808,166.971006001867,166.971006001744,166.971006001965,166.971006001924,166.971006001819,166.971006001963,166.971006002001,166.971006001812,166.97100600174,166.971006001609,166.971006001872,166.971006001722,166.97100600174,166.971006001278,169.841548111673,169.841548112267,169.841548111635,169.841548111903,175.194636623867,175.194636623809,175.194636624005,175.194636624001,175.194636623877,175.194636623976,175.19463662394,175.194636624105,175.194636624134,175.194636624005,175.194636624034,175.194636624087,175.194636624194,175.194636624212,166.971006001482,166.971006001482,170.503143166698,166.971006001697,166.971006001814,166.971006001722
