"","Cygnus cygnus","Anser erythropus","Anser fabalis","Anas acuta.1","Anas crecca.1","Anas platyrhynchos","Mareca penelope","Aythya fuligula","Aythya marila.1","Mergus serrator.1","Mergus merganser.1","Bucephala clangula.1","Melanitta fusca","Melanitta perspicillata.1","Clangula hyemalis.1","Polysticta stelleri","Somateria spectabilis.1","Somateria mollissima.1","Lagopus muta.1","Lagopus lagopus.1","Tetrao urogallus","Gavia stellata.1","Gavia arctica","Phalacrocorax carbo.2","Fulmarus glacialis","Numenius phaeopus.2","Xenus cinereus.1","Phalaropus lobatus.1","Tringa erythropus","Tringa nebularia.1","Tringa totanus","Actitis hypoleucos.2","Gallinago gallinago","Calidris pugnax","Larus canus","Larus marinus.1","Larus argentatus.1","Sterna paradisaea.1","Uria aalge.1","Charadrius hiaticula.2","Eudromias morinellus","Haematopus ostralegus","Pluvialis apricaria","Grus grus","Falco tinnunculus","Falco rusticolus","Falco peregrinus.1","Falco columbarius.1","Pica pica","Corvus corone","Corvus corax.1","Perisoreus infaustus","Poecile cinctus","Parus major","Riparia riparia.1","Delichon urbicum.1","Turdus pilaris","Turdus iliacus","Luscinia svecica","Cinclus cinclus","Plectrophenax nivalis.1","Motacilla alba","Motacilla flava.1","Surnia ulula.1","Aegolius funereus.1","Strix nebulosa","Bubo scandiacus.1","Asio flammeus.1","Dryobates minor","Picoides tridactylus","Dryocopus martius","Pandion haliaetus.2","Accipiter gentilis","Circus cyaneus","Accipiter nisus","Haliaeetus albicilla","Buteo lagopus.1","Aquila chrysaetos","Cuculus canorus","Larus argentatus.2"
"Mergus merganser.1",41.9348217974478,41.9348217974272,41.9348217974353,19.2120145812033,19.1695383393282,18.5663368024703,18.4100497338188,16.8822286555873,15.6821918161323,9.49808592836809,0,9.61950350374962,16.1921697275925,16.9724540366699,19.4393376203774,19.5139797136188,19.8144509164638,19.8667292049584,159.411182695491,159.411182695545,159.411182695568,205.724024135989,205.724024134991,205.724024135618,205.724024135466,205.724024135232,205.724024134632,205.72402413495,205.724024135188,205.724024134924,205.724024134943,205.724024134967,205.724024135005,205.724024135302,205.724024134595,205.724024134605,205.724024134608,205.724024134587,205.724024134646,205.724024135417,205.724024135476,205.724024134939,205.724024135305,205.724024135711,205.724024135402,205.724024135544,205.724024135474,205.72402413545,205.724024135928,205.724024135897,205.724024135551,205.72402413567,205.724024135738,205.724024135717,205.724024136026,205.724024135476,205.72402413538,205.724024135703,205.724024135955,205.72402413586,205.724024135676,205.724024135764,205.724024135945,205.724024135513,205.724024135496,205.72402413541,205.724024135517,205.724024135657,205.724024135295,205.724024135289,205.724024135749,205.724024135354,205.724024135617,205.724024135412,205.724024135503,205.724024135211,205.724024135311,205.724024135288,205.72402413471,205.724024134608
"Bucephala clangula.1",41.9348217974428,41.9348217974222,41.9348217974303,19.2487516972872,19.2062754554121,18.6036783429028,18.5584746977241,17.1452568679855,16.842483378832,14.583131302069,9.61950350374962,0,13.4953606281045,15.9463058026576,19.286728840554,19.3613709337954,19.8144509164588,19.8667292049534,159.411182695486,159.41118269554,159.411182695563,205.724024135984,205.724024134986,205.724024135613,205.724024135461,205.724024135227,205.724024134627,205.724024134945,205.724024135183,205.724024134919,205.724024134938,205.724024134962,205.724024135,205.724024135297,205.72402413459,205.7240241346,205.724024134603,205.724024134582,205.724024134641,205.724024135412,205.724024135471,205.724024134934,205.7240241353,205.724024135706,205.724024135397,205.724024135539,205.724024135469,205.724024135445,205.724024135923,205.724024135892,205.724024135546,205.724024135665,205.724024135734,205.724024135713,205.724024136021,205.724024135471,205.724024135375,205.724024135698,205.72402413595,205.724024135855,205.724024135671,205.724024135759,205.72402413594,205.724024135508,205.724024135491,205.724024135405,205.724024135512,205.724024135652,205.72402413529,205.724024135284,205.724024135744,205.724024135349,205.724024135612,205.724024135407,205.724024135498,205.724024135206,205.724024135306,205.724024135283,205.724024134705,205.724024134603
"Melanitta fusca",41.9348217974282,41.9348217974075,41.9348217974156,19.809764335565,19.8097643356208,19.2071672231115,19.1619635779328,18.1828646989155,18.1090946969101,17.0997835334862,16.1921697275925,13.4953606281045,0,6.28720537805977,18.8093722329745,19.1933863833367,19.7757453114121,19.8667292049388,159.411182695472,159.411182695525,159.411182695549,205.724024135969,205.724024134971,205.724024135599,205.724024135446,205.724024135213,205.724024134612,205.72402413493,205.724024135168,205.724024134904,205.724024134924,205.724024134948,205.724024134986,205.724024135283,205.724024134576,205.724024134586,205.724024134588,205.724024134567,205.724024134626,205.724024135397,205.724024135456,205.72402413492,205.724024135285,205.724024135692,205.724024135383,205.724024135525,205.724024135454,205.72402413543,205.724024135909,205.724024135877,205.724024135532,205.724024135651,205.724024135719,205.724024135698,205.724024136006,205.724024135457,205.72402413536,205.724024135683,205.724024135935,205.72402413584,205.724024135657,205.724024135745,205.724024135925,205.724024135493,205.724024135476,205.724024135391,205.724024135497,205.724024135637,205.724024135276,205.724024135269,205.724024135729,205.724024135335,205.724024135598,205.724024135392,205.724024135484,205.724024135191,205.724024135291,205.724024135269,205.72402413469,205.724024134588
"Melanitta perspicillata.1",41.9348217974701,41.9348217974494,41.9348217974576,19.8097643356069,19.8097643356627,19.2309138492614,19.1857102040827,18.2080318791446,18.1776762031753,17.2380568018561,16.9724540366699,15.9463058026576,6.28720537805977,0,17.2803672471293,18.6246091020114,19.6828327984453,19.7738166919719,159.411182695514,159.411182695567,159.411182695591,205.724024136011,205.724024135013,205.724024135641,205.724024135488,205.724024135255,205.724024134654,205.724024134972,205.72402413521,205.724024134946,205.724024134965,205.72402413499,205.724024135028,205.724024135325,205.724024134618,205.724024134628,205.72402413463,205.724024134609,205.724024134668,205.724024135439,205.724024135498,205.724024134962,205.724024135327,205.724024135734,205.724024135424,205.724024135567,205.724024135496,205.724024135472,205.72402413595,205.724024135919,205.724024135574,205.724024135693,205.724024135761,205.72402413574,205.724024136048,205.724024135499,205.724024135402,205.724024135725,205.724024135977,205.724024135882,205.724024135698,205.724024135787,205.724024135967,205.724024135535,205.724024135518,205.724024135433,205.724024135539,205.724024135679,205.724024135317,205.724024135311,205.724024135771,205.724024135377,205.72402413564,205.724024135434,205.724024135526,205.724024135233,205.724024135333,205.72402413531,205.724024134732,205.72402413463
"Clangula hyemalis.1",41.9348217974233,41.9348217974027,41.9348217974108,20.9207782796012,20.920778279657,20.9207782797197,20.9207782796478,19.9430999547097,19.9127442787403,19.4977366739644,19.4393376203774,19.286728840554,18.8093722329745,17.2803672471293,0,7.98319319270367,10.5848729088198,12.5686020103126,159.411182695467,159.411182695521,159.411182695544,205.724024135964,205.724024134967,205.724024135594,205.724024135442,205.724024135208,205.724024134608,205.724024134925,205.724024135164,205.7240241349,205.724024134919,205.724024134943,205.724024134981,205.724024135278,205.724024134571,205.724024134581,205.724024134583,205.724024134562,205.724024134622,205.724024135392,205.724024135451,205.724024134915,205.72402413528,205.724024135687,205.724024135378,205.72402413552,205.724024135449,205.724024135426,205.724024135904,205.724024135872,205.724024135527,205.724024135646,205.724024135714,205.724024135693,205.724024136001,205.724024135452,205.724024135355,205.724024135679,205.72402413593,205.724024135836,205.724024135652,205.72402413574,205.72402413592,205.724024135488,205.724024135471,205.724024135386,205.724024135492,205.724024135632,205.724024135271,205.724024135264,205.724024135724,205.72402413533,205.724024135593,205.724024135388,205.724024135479,205.724024135186,205.724024135286,205.724024135264,205.724024134685,205.724024134583
"Polysticta stelleri",41.9348217974401,41.9348217974195,41.9348217974276,20.920778279618,20.9207782796738,20.9207782797365,20.9207782796646,19.9817379547985,19.9513822788292,19.536450349701,19.5139797136188,19.3613709337954,19.1933863833367,18.6246091020114,7.98319319270367,0,9.31377387557868,12.1150709455302,159.411182695484,159.411182695537,159.411182695561,205.724024135981,205.724024134983,205.724024135611,205.724024135458,205.724024135225,205.724024134624,205.724024134942,205.72402413518,205.724024134917,205.724024134936,205.72402413496,205.724024134998,205.724024135295,205.724024134588,205.724024134598,205.7240241346,205.724024134579,205.724024134638,205.724024135409,205.724024135468,205.724024134932,205.724024135297,205.724024135704,205.724024135394,205.724024135537,205.724024135466,205.724024135442,205.724024135921,205.724024135889,205.724024135543,205.724024135663,205.724024135731,205.72402413571,205.724024136018,205.724024135469,205.724024135372,205.724024135695,205.724024135947,205.724024135852,205.724024135668,205.724024135757,205.724024135937,205.724024135505,205.724024135488,205.724024135403,205.724024135509,205.724024135649,205.724024135287,205.724024135281,205.724024135741,205.724024135347,205.72402413561,205.724024135405,205.724024135496,205.724024135203,205.724024135303,205.72402413528,205.724024134703,205.7240241346
"Somateria spectabilis.1",41.9348217974624,41.9348217974417,41.9348217974498,20.9214377216398,20.9214377216955,20.9214377217582,20.9214377216864,20.2518534816923,20.2518534816742,19.836921552546,19.8144509164638,19.8144509164588,19.7757453114121,19.6828327984453,10.5848729088198,9.31377387557868,0,8.23938169889877,159.411182695506,159.41118269556,159.411182695583,205.724024136003,205.724024135006,205.724024135633,205.724024135481,205.724024135247,205.724024134647,205.724024134964,205.724024135203,205.724024134939,205.724024134958,205.724024134982,205.72402413502,205.724024135317,205.72402413461,205.72402413462,205.724024134622,205.724024134601,205.724024134661,205.724024135431,205.72402413549,205.724024134954,205.724024135319,205.724024135726,205.724024135417,205.724024135559,205.724024135488,205.724024135465,205.724024135943,205.724024135911,205.724024135566,205.724024135685,205.724024135753,205.724024135732,205.72402413604,205.724024135491,205.724024135394,205.724024135717,205.724024135969,205.724024135874,205.724024135691,205.724024135779,205.724024135959,205.724024135527,205.72402413551,205.724024135425,205.724024135531,205.724024135671,205.72402413531,205.724024135303,205.724024135764,205.724024135369,205.724024135632,205.724024135427,205.724024135518,205.724024135226,205.724024135325,205.724024135303,205.724024134724,205.724024134622
"Somateria mollissima.1",41.9348217974636,41.934821797443,41.9348217974511,20.921437721641,20.9214377216969,20.9214377217595,20.9214377216876,20.2518534816936,20.2518534816754,19.8891998410406,19.8667292049584,19.8667292049534,19.8667292049388,19.7738166919719,12.5686020103126,12.1150709455302,8.23938169889877,0,159.411182695507,159.411182695561,159.411182695584,205.724024136004,205.724024135007,205.724024135634,205.724024135482,205.724024135248,205.724024134648,205.724024134966,205.724024135204,205.72402413494,205.724024134959,205.724024134983,205.724024135021,205.724024135318,205.724024134611,205.724024134621,205.724024134623,205.724024134603,205.724024134662,205.724024135432,205.724024135492,205.724024134955,205.72402413532,205.724024135727,205.724024135418,205.72402413556,205.72402413549,205.724024135466,205.724024135944,205.724024135912,205.724024135567,205.724024135686,205.724024135754,205.724024135733,205.724024136041,205.724024135492,205.724024135396,205.724024135719,205.72402413597,205.724024135876,205.724024135692,205.72402413578,205.724024135961,205.724024135528,205.724024135512,205.724024135426,205.724024135532,205.724024135673,205.724024135311,205.724024135304,205.724024135765,205.72402413537,205.724024135633,205.724024135428,205.724024135519,205.724024135227,205.724024135327,205.724024135304,205.724024134726,205.724024134623
"Lagopus muta.1",159.411182695545,159.411182695525,159.411182695533,159.411182695448,159.411182695504,159.411182695566,159.411182695495,159.411182695535,159.411182695517,159.41118269551,159.411182695491,159.411182695486,159.411182695472,159.411182695514,159.411182695467,159.411182695484,159.411182695506,159.411182695507,0,10.4473173518311,14.301744814163,205.724024135646,205.724024134648,205.724024135276,205.724024135124,205.72402413489,205.724024134289,205.724024134607,205.724024134845,205.724024134582,205.724024134601,205.724024134625,205.724024134663,205.72402413496,205.724024134253,205.724024134263,205.724024134265,205.724024134244,205.724024134303,205.724024135074,205.724024135133,205.724024134597,205.724024134962,205.724024135369,205.724024135059,205.724024135202,205.724024135131,205.724024135108,205.724024135586,205.724024135554,205.724024135209,205.724024135328,205.724024135396,205.724024135375,205.724024135683,205.724024135134,205.724024135037,205.72402413536,205.724024135612,205.724024135518,205.724024135334,205.724024135422,205.724024135602,205.72402413517,205.724024135153,205.724024135068,205.724024135174,205.724024135314,205.724024134953,205.724024134946,205.724024135406,205.724024135012,205.724024135275,205.72402413507,205.724024135161,205.724024134868,205.724024134968,205.724024134945,205.724024134367,205.724024134265
"Lagopus lagopus.1",159.411182695599,159.411182695578,159.411182695587,159.411182695502,159.411182695558,159.41118269562,159.411182695548,159.411182695589,159.411182695571,159.411182695564,159.411182695545,159.41118269554,159.411182695525,159.411182695567,159.411182695521,159.411182695537,159.41118269556,159.411182695561,10.4473173518311,0,10.135819898804,205.7240241357,205.724024134702,205.72402413533,205.724024135177,205.724024134944,205.724024134343,205.724024134661,205.724024134899,205.724024134635,205.724024134654,205.724024134679,205.724024134717,205.724024135014,205.724024134307,205.724024134317,205.724024134319,205.724024134298,205.724024134357,205.724024135128,205.724024135187,205.724024134651,205.724024135016,205.724024135422,205.724024135113,205.724024135256,205.724024135185,205.724024135161,205.72402413564,205.724024135608,205.724024135263,205.724024135381,205.724024135449,205.724024135429,205.724024135737,205.724024135188,205.724024135091,205.724024135414,205.724024135666,205.724024135571,205.724024135387,205.724024135476,205.724024135656,205.724024135224,205.724024135207,205.724024135122,205.724024135228,205.724024135368,205.724024135007,205.724024135,205.72402413546,205.724024135066,205.724024135329,205.724024135124,205.724024135215,205.724024134922,205.724024135022,205.724024134999,205.724024134421,205.724024134319
"Tetrao urogallus",159.411182695623,159.411182695602,159.41118269561,159.411182695525,159.411182695581,159.411182695644,159.411182695572,159.411182695612,159.411182695594,159.411182695587,159.411182695568,159.411182695563,159.411182695549,159.411182695591,159.411182695544,159.411182695561,159.411182695583,159.411182695584,14.301744814163,10.135819898804,0,205.724024135723,205.724024134726,205.724024135353,205.724024135201,205.724024134967,205.724024134367,205.724024134684,205.724024134923,205.724024134659,205.724024134678,205.724024134702,205.72402413474,205.724024135037,205.72402413433,205.72402413434,205.724024134342,205.724024134321,205.724024134381,205.724024135151,205.72402413521,205.724024134674,205.724024135039,205.724024135446,205.724024135137,205.724024135279,205.724024135208,205.724024135185,205.724024135663,205.724024135631,205.724024135286,205.724024135405,205.724024135473,205.724024135452,205.72402413576,205.724024135211,205.724024135115,205.724024135438,205.724024135689,205.724024135595,205.724024135411,205.724024135499,205.72402413568,205.724024135247,205.72402413523,205.724024135145,205.724024135251,205.724024135391,205.72402413503,205.724024135023,205.724024135484,205.724024135089,205.724024135352,205.724024135147,205.724024135238,205.724024134946,205.724024135046,205.724024135023,205.724024134445,205.724024134342
